HOG	OG	Gene Tree Parent Clade	aip_longest_isoforms	nvec_longest_isoform	spis_longest_isoform_marker	xenia_longest_isoforms
N2.HOG0001170	OG0000890	n5	XP_028517918.1	XP_032219868.2		
N2.HOG0001171	OG0000890	n7	XP_028517905.1, XP_020911227.1	XP_032219870.2		
N2.HOG0001172	OG0000891	n0	XP_020910315.2	XP_048586618.1, XP_048577473.1, XP_032220294.2, XP_032238952.1, XP_048581429.1, XP_048578055.1, XP_048583370.1, XP_048575395.1		
N2.HOG0001173	OG0000892	n0	XP_020910427.2			
N2.HOG0001174	OG0000893	n5	XP_020910510.1, XP_020910455.1	XP_001641133.3		
N2.HOG0001175	OG0000893	n8	XP_028519510.1	XP_032222886.2		
N2.HOG0001176	OG0000894	n2	XP_028514825.1	XP_001638933.2		
N2.HOG0001177	OG0000894	n3	XP_028514824.1, XP_020912117.1	XP_048586960.1		
N2.HOG0001178	OG0000895	n0	XP_020912481.1	XP_001627427.2		
N2.HOG0001179	OG0000896	n2	XP_028518653.1	XP_032222526.1		
N2.HOG0001180	OG0000896	n4	XP_020913633.1	XP_032222523.2		
N2.HOG0001181	OG0000897	n0	XP_020913933.1	XP_048585758.1, XP_048586314.1, XP_048582669.1, XP_048577956.1, XP_048582320.1, XP_048586824.1, XP_048585087.1, XP_048582021.1, XP_048583975.1, XP_048583875.1		
N2.HOG0001182	OG0000898	n0	XP_020914069.1, XP_028515691.1, XP_020914002.1, XP_028518801.1, XP_028518794.1, XP_020914041.1, XP_020916345.1, XP_028518793.1, XP_020914066.1, XP_028516113.1, XP_020914065.1			
N2.HOG0001183	OG0000899	n8	XP_028519018.1	XP_001640450.1		
N2.HOG0001184	OG0000899	n9	XP_020914250.1	XP_048577379.1		
N2.HOG0001185	OG0000900	n0	XP_020916047.1, XP_020915968.1	XP_048584002.1		
N2.HOG0001186	OG0000901	n2	XP_028512568.1, XP_028512577.1	XP_032232203.2, XP_048584124.1, XP_048583422.1, XP_032229849.2		
N2.HOG0001187	OG0000901	n8	XP_020915994.2	XP_048576428.1		
N2.HOG0001188	OG0000902	n1	XP_020917039.2	XP_032236190.2		
N2.HOG0001189	OG0000902	n7	XP_020917040.1	XP_032236219.2		
N2.HOG0001190	OG0000902	n9		XP_048582893.1		
N2.HOG0001191	OG0000903	n1	XP_020917246.1	XP_048581379.1		
N2.HOG0001192	OG0000903	n5		XP_048581377.1, XP_048581375.1, XP_048581382.1, XP_048580956.1, XP_048581063.1		
N2.HOG0001193	OG0000904	n2		XP_048580230.1		
N2.HOG0001194	OG0000904	n3	XP_020917646.1	XP_001637848.2		
N2.HOG0001195	OG0000905	n0	XP_028513923.1	XP_048583030.1		
N2.HOG0001196	OG0000906	n0	XP_028514187.1	XP_048575962.1, XP_048586769.1, XP_048586107.1, XP_048587445.1, XP_032227972.1, XP_048586081.1, XP_048586093.1, XP_048583604.1, XP_048583616.1, XP_048586100.1		
N2.HOG0001197	OG0000907	n0	XP_028514418.1, XP_028518762.1			
N2.HOG0001198	OG0000908	n1	XP_028517064.1	XP_032237067.2		
N2.HOG0001199	OG0000908	n7	XP_028514420.1			
N2.HOG0001200	OG0000908	n8	XP_028518702.1			
N2.HOG0001201	OG0000909	n1	XP_028518858.1	XP_048576932.1, XP_048583426.1		
N2.HOG0001202	OG0000909	n4	XP_028519120.1, XP_028519025.1, XP_028518638.1, XP_028517057.1, XP_028515966.1			
N2.HOG0001203	OG0000910	n0	XP_028517158.1	XP_001640775.3		
N2.HOG0001204	OG0000911	n2		XP_048583257.1, XP_048579012.1		
N2.HOG0001205	OG0000911	n7		XP_048576451.1		
N2.HOG0001206	OG0000911	n9		XP_048590434.1		
N2.HOG0001207	OG0000912	n0	XP_028518564.1			
N2.HOG0001208	OG0000913	n0		XP_048578938.1, XP_048578984.1, XP_032238018.2, XP_032227689.2, XP_001624683.1, XP_048576064.1, XP_048576234.1, XP_048576319.1, XP_032221545.2, XP_032232992.1, XP_048576460.1		
N2.HOG0001209	OG0000914	n0		XP_048576926.1, XP_048588072.1, XP_048588069.1, XP_001625574.3, XP_048576636.1, XP_048576638.1, XP_048576418.1, XP_048577077.1, XP_032231390.2, XP_048576943.1, XP_001633201.3		
N2.HOG0001210	OG0000915	n0		XP_032229232.2, XP_048585728.1, XP_048585729.1, XP_048585803.1, XP_032229230.2, XP_001625827.3, XP_001634269.3, XP_032234139.2, XP_048580351.1		
N2.HOG0001211	OG0000916	n0		XP_048587905.1, XP_048579915.1, XP_032221259.2		
N2.HOG0001212	OG0000917	n0		XP_032232276.1, XP_048582194.1, XP_032224037.1, XP_032237570.2, XP_048582223.1, XP_048587596.1, XP_048583662.1, XP_032223771.1, XP_032224038.2, XP_048582070.1, XP_032232275.1		
N2.HOG0001213	OG0000918	n0		XP_032229873.2, XP_032227307.2		
N2.HOG0001214	OG0000919	n0		XP_048582835.1, XP_048578061.1, XP_048576390.1, XP_048587413.1, XP_048583580.1, XP_048586794.1, XP_032228084.2, XP_032228575.2, XP_048578060.1, XP_048587422.1, XP_032228574.2		
N2.HOG0001215	OG0000920	n0		XP_048588895.1, XP_032228660.2, XP_048588695.1, XP_048588887.1, XP_048588898.1, XP_048588694.1, XP_032229404.2, XP_048588697.1, XP_048587978.1, XP_048588894.1, XP_048587979.1		
N2.HOG0001216	OG0000921	n0		XP_048590468.1		
N2.HOG0001217	OG0000962	n0	XP_020891839.1, XP_028516625.1, XP_028512506.1, XP_028517079.1, XP_020912001.1, XP_028518204.1	XP_048581090.1		
N2.HOG0001218	OG0000963	n2	XP_020914673.1, XP_020892255.2	XP_032231002.1		
N2.HOG0001219	OG0000963	n7	XP_020892224.1	XP_048584507.1		
N2.HOG0001220	OG0000963	n8	XP_020892263.1	XP_032231006.2		
N2.HOG0001221	OG0000964	n3	XP_028514703.1	XP_048579022.1		
N2.HOG0001222	OG0000964	n5		XP_032236097.1		
N2.HOG0001223	OG0000964	n7	XP_020892402.1	XP_032238886.2		
N2.HOG0001224	OG0000965	n0	XP_020892501.1, XP_028512680.1, XP_028512696.1, XP_028515897.1, XP_028512699.1, XP_028515890.1	XP_048580468.1, XP_048580785.1, XP_048575358.1, XP_032236982.1		
N2.HOG0001225	OG0000966	n1	XP_020892849.1	XP_001628531.2		
N2.HOG0001226	OG0000966	n4	XP_020892890.1	XP_032241060.2		
N2.HOG0001227	OG0000967	n0	XP_020893581.1, XP_020893582.1	XP_048577926.1		
N2.HOG0001228	OG0000968	n1	XP_028517103.1, XP_020916353.2, XP_020910144.1, XP_020910104.1, XP_020893681.1	XP_048583262.1		
N2.HOG0001229	OG0000968	n7	XP_020914970.1, XP_020904394.1			
N2.HOG0001230	OG0000969	n0	XP_020893759.1	XP_032238474.2		
N2.HOG0001231	OG0000970	n1	XP_020893874.1	XP_048578654.1		
N2.HOG0001232	OG0000970	n3	XP_020901772.1, XP_020901765.2	XP_048579093.1, XP_001630372.2, XP_048578713.1		
N2.HOG0001233	OG0000971	n0	XP_020893937.1	XP_048583061.1		
N2.HOG0001234	OG0000972	n1	XP_020894030.1	XP_048589930.1, XP_032240198.2		
N2.HOG0001235	OG0000972	n4	XP_028513113.1, XP_020894008.1	XP_048589977.1		
N2.HOG0001236	OG0000973	n0	XP_020913355.2, XP_020913384.1, XP_020909085.1, XP_028514568.1, XP_020899299.1, XP_020907450.1, XP_020901760.1, XP_020894067.1, XP_020896297.1	XP_048580399.1		
N2.HOG0001237	OG0000974	n1	XP_020894072.1	XP_032242838.2		
N2.HOG0001238	OG0000974	n6		XP_032235043.2		
N2.HOG0001239	OG0000975	n0	XP_020912164.2, XP_020912160.2, XP_020907422.1, XP_020916968.1, XP_020894887.1, XP_020895683.1, XP_020894299.1, XP_020894295.1, XP_020901859.1			
N2.HOG0001240	OG0000976	n0	XP_028513215.1, XP_020894362.1, XP_020894364.1, XP_020894867.1, XP_028517871.1	XP_001625867.1, XP_032229273.2		
N2.HOG0001241	OG0000977	n7	XP_020894766.1			
N2.HOG0001242	OG0000977	n8	XP_020904254.1			
N2.HOG0001243	OG0000978	n2	XP_020915822.1	XP_032230073.2, XP_032230075.1		
N2.HOG0001244	OG0000978	n5	XP_020915740.1, XP_020894770.1, XP_020894775.1	XP_048586811.1		
N2.HOG0001245	OG0000979	n0	XP_020911912.2, XP_028517833.1, XP_020910742.1, XP_020896488.1, XP_020898361.1, XP_020898359.1, XP_020894926.1	XP_032230740.2, XP_048587527.1		
N2.HOG0001246	OG0000980	n1	XP_020895630.1, XP_020895631.1	XP_001634103.3		
N2.HOG0001247	OG0000980	n5	XP_020903257.1	XP_048584456.1		
N2.HOG0001248	OG0000981	n0	XP_020895694.1	XP_032219410.2		
N2.HOG0001249	OG0000982	n1	XP_028513750.1	XP_032220115.1		
N2.HOG0001250	OG0000982	n4	XP_020896360.1, XP_020906364.1, XP_020906600.1	XP_048587740.1, XP_048587743.1		
N2.HOG0001251	OG0000983	n0	XP_028516204.1, XP_028516906.1, XP_028518036.1, XP_028517178.1, XP_020896550.1, XP_028518176.1, XP_028513184.1, XP_028518368.1	XP_048587493.1		
N2.HOG0001252	OG0000984	n0	XP_028513892.1, XP_020896715.2, XP_020896893.1, XP_028517426.1, XP_020896946.1, XP_028518379.1, XP_028513925.1, XP_020896768.1, XP_028513868.1			
N2.HOG0001253	OG0000985	n0	XP_020905061.1, XP_020896817.1	XP_032239949.2		
N2.HOG0001254	OG0000986	n0	XP_020898693.1, XP_020915612.1, XP_020915512.1, XP_020910457.1, XP_020896851.1, XP_020896859.1, XP_020897000.1, XP_020896850.1	XP_048577052.1, XP_032220237.2		
N2.HOG0001255	OG0000987	n0	XP_028513967.1, XP_020911500.2, XP_020914339.1, XP_020908959.1, XP_020897125.1, XP_020903559.1, XP_020904466.1, XP_028517644.1, XP_020907425.2, XP_028513283.1			
N2.HOG0001256	OG0000988	n5	XP_028515305.1	XP_032224162.1		
N2.HOG0001257	OG0000988	n6	XP_020897203.1	XP_048583775.1, XP_048583715.1, XP_048590147.1		
N2.HOG0001258	OG0000989	n1	XP_020897426.1, XP_020899101.1	XP_032233697.2		
N2.HOG0001259	OG0000989	n4		XP_048582314.1, XP_048586506.1, XP_048582316.1, XP_048581870.1, XP_048587264.1		
N2.HOG0001260	OG0000990	n1	XP_020897526.1	XP_032232164.2		
N2.HOG0001261	OG0000990	n4	XP_028514405.1	XP_048579328.1		
N2.HOG0001262	OG0000991	n4	XP_020898018.1, XP_020913106.1, XP_028518491.1, XP_028518492.1	XP_048587906.1		
N2.HOG0001263	OG0000991	n8	XP_020897978.1	XP_032218833.1		
N2.HOG0001264	OG0000992	n0	XP_020898267.1, XP_028518719.1, XP_020904736.1, XP_020898123.1, XP_028514385.1, XP_028514345.1, XP_020898083.2, XP_028513807.1, XP_028518715.1	XP_032233096.1		
N2.HOG0001265	OG0000993	n1	XP_020898408.1	XP_032230538.1		
N2.HOG0001266	OG0000993	n3	XP_020902230.2, XP_020904002.1	XP_048577004.1		
N2.HOG0001267	OG0000994	n2	XP_020898608.1, XP_028516136.1	XP_048586034.1		
N2.HOG0001268	OG0000994	n5	XP_020898550.2	XP_048588479.1		
N2.HOG0001269	OG0000995	n0	XP_020912696.2, XP_020898596.2, XP_020907864.1, XP_020916380.2, XP_028516338.1, XP_020907028.1, XP_020913086.1, XP_028519015.1, XP_028516218.1, XP_020906294.1			
N2.HOG0001270	OG0000996	n0	XP_020904239.1, XP_020898632.1, XP_028515924.1, XP_020904231.1, XP_020904229.2, XP_020898633.1	XP_001632924.3, XP_048581357.1		
N2.HOG0001271	OG0000997	n2	XP_020899001.1, XP_020914118.1	XP_032238078.2		
N2.HOG0001272	OG0000997	n5	XP_020914119.1	XP_048581074.1		
N2.HOG0001273	OG0000997	n7	XP_020916755.1	XP_001634768.1		
N2.HOG0001274	OG0000998	n0	XP_020899057.1, XP_020913431.1, XP_028518223.1, XP_020899059.1, XP_028513555.1, XP_028514506.1, XP_020909172.1, XP_020909169.2, XP_020909168.1, XP_028517334.1			
N2.HOG0001275	OG0000999	n0	XP_020899168.1			
N2.HOG0001276	OG0001000	n3	XP_020908848.1	XP_032234905.1		
N2.HOG0001277	OG0001000	n4	XP_020900032.1	XP_048590477.1		
N2.HOG0001278	OG0001000	n6	XP_020909958.1	XP_001630358.3		
N2.HOG0001279	OG0001000	n7	XP_020899270.1	XP_001632002.2, XP_032217838.2		
N2.HOG0001280	OG0001001	n0	XP_020900400.1, XP_020900403.2, XP_020900374.2, XP_020900402.1, XP_020899528.1, XP_020899536.1	XP_048589205.1		
N2.HOG0001281	OG0001002	n2	XP_020899707.1	XP_048582629.1		
N2.HOG0001282	OG0001002	n5	XP_020899710.1	XP_048582887.1, XP_001633356.3		
N2.HOG0001283	OG0001003	n1		XP_048577422.1		
N2.HOG0001284	OG0001003	n2	XP_028513606.1, XP_028515965.1, XP_028518642.1, XP_020899777.2	XP_032226841.1		
N2.HOG0001285	OG0001004	n0	XP_028514742.1, XP_020917777.1, XP_020899989.1, XP_028514737.1	XP_048584691.1		
N2.HOG0001286	OG0001005	n2	XP_020913069.1	XP_048576730.1		
N2.HOG0001287	OG0001005	n6	XP_020900069.1	XP_048576985.1		
N2.HOG0001288	OG0001005	n7	XP_020900065.1	XP_001638547.2, XP_048576733.1		
N2.HOG0001289	OG0001006	n0	XP_020900068.1, XP_020912966.1	XP_048577829.1		
N2.HOG0001290	OG0001007	n3	XP_020914809.1, XP_020908909.1			
N2.HOG0001291	OG0001007	n5	XP_020909729.1, XP_020900117.1			
N2.HOG0001292	OG0001008	n3	XP_020900461.1	XP_048580948.1		
N2.HOG0001293	OG0001009	n1	XP_020904261.1			
N2.HOG0001294	OG0001009	n4	XP_020914958.1			
N2.HOG0001295	OG0001009	n6	XP_020900468.2, XP_020901902.1	XP_048578417.1		
N2.HOG0001296	OG0001010	n1	XP_020900516.1			
N2.HOG0001297	OG0001010	n3	XP_020900572.1, XP_020900571.1			
N2.HOG0001298	OG0001010	n5		XP_048585691.1		
N2.HOG0001299	OG0001010	n6		XP_048586541.1		
N2.HOG0001300	OG0001011	n1	XP_020916433.1			
N2.HOG0001301	OG0001011	n4	XP_020900746.1, XP_020900712.1, XP_020914305.1			
N2.HOG0001302	OG0001011	n7	XP_020900715.2	XP_001622053.2		
N2.HOG0001303	OG0001012	n0	XP_020902648.1, XP_020902737.1, XP_020902749.1, XP_020902618.1, XP_028518562.1, XP_028518561.1, XP_028516216.1, XP_028515100.1, XP_020901166.2, XP_028515186.1			
N2.HOG0001304	OG0001013	n0	XP_020901194.1, XP_020908588.1, XP_028514421.1			
N2.HOG0001305	OG0001014	n1	XP_028519003.1	XP_032230569.1		
N2.HOG0001306	OG0001014	n6	XP_020901224.1, XP_028519536.1	XP_032225758.2		
N2.HOG0001307	OG0001015	n3	XP_020915722.1	XP_048578869.1		
N2.HOG0001308	OG0001015	n6	XP_020905903.1			
N2.HOG0001309	OG0001015	n8	XP_020901592.1			
N2.HOG0001310	OG0001016	n0	XP_020902261.1	XP_048577957.1		
N2.HOG0001311	OG0001017	n0	XP_020902276.1	XP_032232975.1		
N2.HOG0001312	OG0001018	n3		XP_032237753.2		
N2.HOG0001313	OG0001018	n6	XP_020903198.1, XP_020904997.1	XP_032228690.2		
N2.HOG0001314	OG0001018	n8	XP_028515114.1	XP_001638399.2		
N2.HOG0001315	OG0001019	n4	XP_028515870.1, XP_020904022.1, XP_028515880.1	XP_048577659.1, XP_048577660.1		
N2.HOG0001316	OG0001019	n8	XP_028519436.1	XP_048588242.1		
N2.HOG0001317	OG0001020	n0	XP_020904075.1, XP_020905090.1, XP_020910170.1	XP_048577013.1, XP_048589802.1		
N2.HOG0001318	OG0001021	n0	XP_020904109.2			
N2.HOG0001319	OG0001022	n0	XP_020904121.1	XP_048577927.1		
N2.HOG0001320	OG0001023	n1	XP_020909150.1			
N2.HOG0001321	OG0001023	n3	XP_028516114.1, XP_020905083.2, XP_020905097.1	XP_048582884.1		
N2.HOG0001322	OG0001023	n8	XP_028516116.1			
N2.HOG0001323	OG0001024	n0	XP_020905415.1			
N2.HOG0001324	OG0001025	n1	XP_020906327.1	XP_048589972.1		
N2.HOG0001325	OG0001025	n4	XP_020910309.1			
N2.HOG0001326	OG0001025	n7	XP_028517129.1	XP_048589269.1		
N2.HOG0001327	OG0001026	n0	XP_020906572.1	XP_001624524.2		
N2.HOG0001328	OG0001027	n0	XP_020907042.2	XP_032237924.1		
N2.HOG0001329	OG0001028	n2	XP_020908871.1, XP_028516734.1	XP_048584487.1		
N2.HOG0001330	OG0001028	n5	XP_020907282.1			
N2.HOG0001331	OG0001029	n0	XP_020907368.1, XP_020915529.1, XP_028519163.1	XP_048584848.1, XP_001639752.3		
N2.HOG0001332	OG0001030	n0	XP_020911665.1, XP_020907544.1, XP_020907487.1, XP_020908121.1			
N2.HOG0001333	OG0001031	n0	XP_020907774.1, XP_020907775.1, XP_020907773.1, XP_020912120.1, XP_028518233.1, XP_028518234.1, XP_020912119.1			
N2.HOG0001334	OG0001032	n4	XP_028517295.1	XP_001627015.2, XP_032221506.2, XP_032232444.1		
N2.HOG0001335	OG0001032	n8	XP_020907876.1	XP_048577714.1		
N2.HOG0001336	OG0001033	n3	XP_028519076.1, XP_020912955.1			
N2.HOG0001337	OG0001033	n6	XP_020909320.1	XP_032231960.2, XP_032232888.1		
N2.HOG0001338	OG0001034	n0	XP_020909747.2, XP_020909703.2, XP_020909639.1, XP_020909744.1	XP_032225261.1, XP_048582041.1, XP_032225376.2		
N2.HOG0001339	OG0001035	n1	XP_020911243.1, XP_028513676.1	XP_048583937.1		
N2.HOG0001340	OG0001035	n5	XP_020910830.1			
N2.HOG0001341	OG0001035	n6	XP_020910368.2			
N2.HOG0001342	OG0001035	n8		XP_032229429.1		
N2.HOG0001343	OG0001036	n0	XP_020916857.1, XP_020910417.1, XP_028519566.1	XP_001637925.1, XP_032223569.1, XP_048590136.1, XP_048590339.1, XP_032229766.2, XP_048590331.1		
N2.HOG0001344	OG0001037	n0	XP_020910634.1, XP_020910773.1, XP_020910760.1, XP_020910795.2, XP_020910818.1, XP_020910828.1, XP_020910784.1, XP_020910807.1	XP_048577517.1		
N2.HOG0001345	OG0001038	n0	XP_020910676.1	XP_001632158.2		
N2.HOG0001346	OG0001039	n1	XP_020911111.2, XP_020912622.1	XP_048576192.1		
N2.HOG0001347	OG0001039	n8	XP_028513214.1			
N2.HOG0001348	OG0001040	n1	XP_020911821.1	XP_032231137.1, XP_048588445.1, XP_032225088.2, XP_032235749.1		
N2.HOG0001349	OG0001040	n6	XP_028517100.1			
N2.HOG0001350	OG0001041	n0	XP_020912582.1, XP_028517650.1, XP_028516714.1	XP_048583640.1, XP_032226972.1		
N2.HOG0001351	OG0001042	n0	XP_020913300.1, XP_020916496.1, XP_020913303.1, XP_020915718.1, XP_020913301.1, XP_028518532.1, XP_020913187.1, XP_020915701.1	XP_032221476.1		
N2.HOG0001352	OG0001043	n1	XP_028518629.1	XP_048587915.1, XP_048587917.1		
N2.HOG0001353	OG0001043	n5	XP_020913453.1	XP_048587909.1, XP_048588873.1		
N2.HOG0001354	OG0001044	n1	XP_020916094.1	XP_032230226.2, XP_048584142.1, XP_048583359.1		
N2.HOG0001355	OG0001044	n6	XP_020916085.1	XP_032239436.2		
N2.HOG0001356	OG0001045	n0	XP_020916123.1	XP_032229857.1, XP_032229852.2, XP_048584184.1, XP_032229850.1		
N2.HOG0001357	OG0001046	n0	XP_028515150.1, XP_020916336.1			
N2.HOG0001358	OG0001047	n0	XP_020916401.1	XP_032221565.2		
N2.HOG0001359	OG0001048	n0	XP_020917066.1			
N2.HOG0001360	OG0001049	n3	XP_028519762.1	XP_001628684.2		
N2.HOG0001361	OG0001049	n5	XP_020917654.1	XP_001628685.3		
N2.HOG0001362	OG0001049	n7	XP_020917668.1	XP_001624610.2		
N2.HOG0001363	OG0001050	n7	XP_028512640.1	XP_032225612.2		
N2.HOG0001364	OG0001050	n8	XP_028519381.1	XP_048577134.1		
N2.HOG0001365	OG0001051	n0	XP_028517690.1, XP_028512812.1	XP_048576998.1, XP_048586130.1, XP_048586890.1		
N2.HOG0001366	OG0001052	n0	XP_028513288.1	XP_048577661.1, XP_048578026.1		
N2.HOG0001367	OG0001053	n1	XP_028513501.1			
N2.HOG0001368	OG0001053	n2	XP_028515943.1			
N2.HOG0001369	OG0001054	n0	XP_028514449.1	XP_032226091.2, XP_048585844.1, XP_048585766.1, XP_048578209.1, XP_048584560.1, XP_048578161.1, XP_048578084.1, XP_048581061.1		
N2.HOG0001370	OG0001055	n1	XP_028515877.1	XP_048577392.1		
N2.HOG0001371	OG0001055	n6	XP_028514458.1	XP_048588087.1		
N2.HOG0001372	OG0001055	n8		XP_001627703.3		
N2.HOG0001373	OG0001056	n0	XP_028514748.1			
N2.HOG0001374	OG0001057	n0	XP_028514813.1	XP_001630977.2, XP_001630976.3		
N2.HOG0001375	OG0001058	n0	XP_028516604.1	XP_001629657.1		
N2.HOG0001376	OG0001059	n0	XP_028517018.1	XP_001623049.1		
N2.HOG0001377	OG0001060	n0	XP_028517066.1	XP_048579158.1, XP_048578727.1, XP_048584056.1, XP_048578821.1, XP_048575330.1, XP_048587031.1, XP_048587171.1, XP_048587294.1		
N2.HOG0001378	OG0001061	n1	XP_028519056.1			
N2.HOG0001379	OG0001061	n3	XP_028517302.1			
N2.HOG0001380	OG0001061	n4	XP_028518887.1	XP_048584871.1, XP_048578893.1		
N2.HOG0001381	OG0001062	n0	XP_028517983.1			
N2.HOG0001382	OG0001063	n0		XP_001626562.3, XP_001625294.3, XP_048578854.1, XP_048584134.1, XP_048584156.1, XP_048576426.1, XP_032242798.1		
N2.HOG0001383	OG0001064	n0		XP_001625807.2		
N2.HOG0001384	OG0001065	n0		XP_001633225.1		
N2.HOG0001385	OG0001066	n0		XP_048588431.1, XP_048588430.1, XP_048588432.1, XP_048588427.1, XP_048588433.1, XP_032219222.2, XP_048576440.1, XP_048577152.1, XP_048576609.1, XP_048588428.1		
N2.HOG0001386	OG0001067	n0		XP_032220658.1		
N2.HOG0001387	OG0001068	n0		XP_032221168.2, XP_032243326.2		
N2.HOG0001388	OG0001069	n0		XP_048588415.1, XP_032223092.2, XP_048590193.1, XP_048588005.1, XP_048583959.1, XP_048578446.1, XP_048585496.1, XP_048588554.1, XP_048580778.1, XP_048578829.1		
N2.HOG0001389	OG0001070	n0		XP_048581417.1, XP_048589997.1, XP_048581723.1, XP_048590564.1, XP_048584803.1, XP_048588968.1, XP_048587263.1, XP_032228110.2, XP_048584090.1, XP_048586796.1		
N2.HOG0001390	OG0001071	n0		XP_048587469.1, XP_048584892.1, XP_048577568.1, XP_048576593.1, XP_048576988.1, XP_032229451.1, XP_048581426.1, XP_048580509.1, XP_032230413.2, XP_048577069.1		
N2.HOG0001391	OG0001072	n0		XP_032230692.2		
N2.HOG0001392	OG0001073	n0		XP_032230719.2, XP_048584000.1, XP_048579586.1, XP_048579575.1, XP_048579480.1, XP_048579362.1, XP_048579413.1, XP_048579544.1, XP_048579508.1, XP_048579521.1		
N2.HOG0001393	OG0001074	n0		XP_032235097.2		
N2.HOG0001394	OG0001075	n1		XP_048589966.1, XP_048579038.1		
N2.HOG0001395	OG0001075	n3		XP_048578020.1, XP_048589507.1, XP_048583473.1, XP_048588421.1, XP_048588417.1, XP_048577104.1		
N2.HOG0001396	OG0001076	n0		XP_048583127.1		
N2.HOG0001397	OG0001077	n0		XP_048589292.1		
N2.HOG0001398	OG0001130	n0	XP_020891918.1, XP_028516868.1, XP_020907745.1, XP_020900670.1, XP_020891932.1	XP_032241093.2, XP_048576379.1		
N2.HOG0001399	OG0001131	n0	XP_028512499.1, XP_020894762.2, XP_020892138.1, XP_020901347.1, XP_020910134.1, XP_020908438.2, XP_028513619.1	XP_048578287.1		
N2.HOG0001400	OG0001132	n0	XP_020892188.1	XP_001639786.3		
N2.HOG0001401	OG0001133	n0	XP_020892215.1, XP_020892207.1	XP_032233158.2		
N2.HOG0001402	OG0001134	n0	XP_028515040.1, XP_020897408.1, XP_020915098.1, XP_020892278.1, XP_020893818.1, XP_020901062.1, XP_028515042.1, XP_020901061.1, XP_020901072.1			
N2.HOG0001403	OG0001135	n0	XP_020892523.1	XP_032228945.1		
N2.HOG0001404	OG0001136	n0	XP_020898100.1, XP_020898108.1, XP_020898118.1, XP_020898107.1, XP_020898104.2, XP_028516482.1, XP_020906401.1, XP_020892576.1, XP_020906405.1			
N2.HOG0001405	OG0001137	n1	XP_020910418.1, XP_020892731.1	XP_048587789.1		
N2.HOG0001406	OG0001137	n5	XP_020906771.1	XP_048587001.1		
N2.HOG0001407	OG0001138	n1	XP_020892818.1			
N2.HOG0001408	OG0001138	n3	XP_020911204.2	XP_032219908.2		
N2.HOG0001409	OG0001139	n2	XP_020893026.1	XP_032232681.1		
N2.HOG0001410	OG0001139	n4	XP_020893027.1	XP_032232711.2		
N2.HOG0001411	OG0001140	n0	XP_020906297.1, XP_020893040.1, XP_020893921.1, XP_028519026.1, XP_028513088.1, XP_020914283.1	XP_048589769.1		
N2.HOG0001412	OG0001141	n1	XP_020893258.1	XP_032218422.2		
N2.HOG0001413	OG0001141	n4	XP_020906480.1	XP_032236267.2		
N2.HOG0001414	OG0001142	n0	XP_020907398.1, XP_020905449.1, XP_020905466.2, XP_020907404.1, XP_020905451.2, XP_028514197.1, XP_028514135.1, XP_020896236.1, XP_020893412.1			
N2.HOG0001415	OG0001143	n0	XP_020912971.1, XP_028512942.1, XP_020901193.1, XP_020898271.2, XP_028514050.1, XP_020912972.2, XP_020893421.1	XP_048576149.1		
N2.HOG0001416	OG0001144	n1	XP_028519380.1			
N2.HOG0001417	OG0001144	n2	XP_020910124.1, XP_020909572.1, XP_028518315.1, XP_020893508.1			
N2.HOG0001418	OG0001145	n0	XP_020893614.1, XP_028519457.1, XP_020893604.2, XP_028513054.1, XP_020897545.2			
N2.HOG0001419	OG0001146	n0	XP_020911859.1, XP_020909009.1, XP_028518157.1, XP_020913166.1, XP_020893619.1, XP_020911862.1, XP_020909011.1	XP_048578885.1		
N2.HOG0001420	OG0001147	n0	XP_020897632.2, XP_020893838.1, XP_020917063.1, XP_020896173.1, XP_028513046.1, XP_020893755.1, XP_028513061.1	XP_032232148.2, XP_032225107.2		
N2.HOG0001421	OG0001148	n0	XP_020898522.1, XP_020893768.1	XP_048581962.1		
N2.HOG0001422	OG0001149	n2	XP_020909261.1, XP_020901822.1			
N2.HOG0001423	OG0001149	n4	XP_020893823.1	XP_048582497.1, XP_048582498.1, XP_048582496.1		
N2.HOG0001424	OG0001150	n0	XP_020893832.1	XP_032239415.2		
N2.HOG0001425	OG0001151	n0	XP_020898258.1, XP_028513138.1, XP_020894083.1, XP_028513145.1, XP_028513141.1	XP_032242894.2, XP_048581552.1		
N2.HOG0001426	OG0001152	n1	XP_020894121.1	XP_032227746.2		
N2.HOG0001427	OG0001152	n3	XP_028516671.1			
N2.HOG0001428	OG0001153	n0	XP_020894211.1, XP_020905067.1, XP_020897087.1, XP_020905076.1			
N2.HOG0001429	OG0001154	n0	XP_020894215.1	XP_001641098.2		
N2.HOG0001430	OG0001155	n0	XP_028516750.1, XP_020908502.1, XP_020900081.1, XP_020911223.2, XP_028516737.1, XP_020895150.1, XP_020894671.1, XP_028513463.1	XP_048581473.1		
N2.HOG0001431	OG0001156	n0	XP_020894965.1	XP_048586648.1, XP_048586650.1, XP_001627780.2		
N2.HOG0001432	OG0001157	n0	XP_020894968.2, XP_020917196.1, XP_020917195.1, XP_028519648.1, XP_020898576.1, XP_020907322.1, XP_028519637.1, XP_020906763.1, XP_020906700.1			
N2.HOG0001433	OG0001158	n1	XP_028516350.1, XP_028516360.1			
N2.HOG0001434	OG0001158	n5	XP_020895127.1	XP_048579987.1		
