Orthogroup	spis_longest_isoform_marker	nvec_longest_isoform
OG0000993	XP_022804737.1	XP_032230538.1
OG0000993	XP_022810113.1, XP_022805463.1, XP_022794387.1, XP_022790962.1	XP_048577004.1
OG0000994	XP_022781220.1	XP_048586034.1
OG0000994	XP_022799868.1, XP_022809777.1, XP_022810041.1	XP_048588479.1
OG0000996	XP_022792506.1	XP_001632924.3, XP_048581357.1
OG0000997	XP_022809046.1	XP_048581074.1
OG0000997	XP_022809045.1	XP_001634768.1
OG0001000	XP_022781835.1	XP_032234905.1, XP_048590477.1, XP_001630358.3, XP_001632002.2, XP_032217838.2
OG0001001	XP_022792936.1, XP_022781679.1, XP_022792974.1	XP_048589205.1
OG0001002	XP_022790735.1, XP_022790734.1	XP_048582629.1
OG0001002	XP_022790717.1	XP_048582887.1, XP_001633356.3
OG0001003	XP_022777527.1	XP_032226841.1
OG0001004	XP_022781009.1, XP_022807782.1, XP_022809771.1, XP_022783667.1	XP_048584691.1
OG0001005	XP_022789303.1	XP_048576730.1
OG0001005	XP_022784808.1	XP_048576985.1, XP_001638547.2, XP_048576733.1
OG0001006	XP_022795688.1, XP_022777896.1, XP_022777622.1, XP_022806582.1, XP_022792197.1, XP_022777893.1, XP_022777827.1	XP_048577829.1
OG0001008	XP_022793232.1, XP_022793264.1, XP_022783437.1	XP_048580948.1
OG0001009	XP_022779520.1	XP_048578417.1
OG0001010	XP_022791167.1, XP_022791170.1	XP_048586541.1
OG0001011	XP_022796440.1	XP_001622053.2
OG0001014	XP_022777858.1, XP_022791844.1, XP_022784654.1, XP_022809517.1	XP_032230569.1
OG0001014	XP_022806462.1	XP_032225758.2
OG0001015	XP_022785031.1	XP_048578869.1
OG0001016	XP_022785379.1	XP_048577957.1
OG0001017	XP_022780052.1	XP_032232975.1
OG0001018	XP_022781667.1	XP_032237753.2
OG0001018	XP_022781483.1	XP_032228690.2, XP_001638399.2
OG0001020	XP_022805595.1, XP_022801325.1, XP_022809893.1, XP_022807222.1, XP_022804156.1	XP_048577013.1, XP_048589802.1
OG0001022	XP_022788883.1	XP_048577927.1
OG0001023	XP_022800379.1, XP_022800378.1	XP_048582884.1
OG0001025	XP_022806483.1	XP_048589972.1
OG0001025	XP_022807578.1	XP_048589269.1
OG0001026	XP_022778638.1, XP_022780918.1, XP_022807351.1	XP_001624524.2
OG0001027	XP_022783617.1, XP_022794361.1, XP_022787492.1, XP_022787264.1, XP_022787256.1, XP_022787246.1, XP_022787248.1, XP_022787240.1	XP_032237924.1
OG0001028	XP_022804607.1	XP_048584487.1
OG0001029	XP_022783292.1, XP_022783271.1, XP_022801123.1, XP_022810181.1, XP_022781246.1	XP_048584848.1, XP_001639752.3
OG0001032	XP_022782663.1	XP_001627015.2, XP_032221506.2, XP_032232444.1
OG0001033	XP_022791162.1	XP_032231960.2, XP_032232888.1
OG0001034	XP_022799425.1, XP_022799421.1, XP_022799436.1	XP_032225261.1, XP_048582041.1, XP_032225376.2
OG0001035	XP_022809282.1	XP_032229429.1
OG0001036	XP_022781901.1	XP_001637925.1, XP_032223569.1, XP_048590136.1, XP_048590339.1, XP_032229766.2, XP_048590331.1
OG0001037	XP_022788528.1	XP_048577517.1
OG0001039	XP_022799870.1, XP_022783263.1, XP_022781742.1, XP_022783298.1, XP_022795007.1	XP_048576192.1
OG0001040	XP_022790326.1	XP_032231137.1, XP_048588445.1, XP_032225088.2, XP_032235749.1
OG0001041	XP_022791786.1, XP_022808694.1, XP_022795598.1, XP_022788132.1, XP_022807271.1	XP_048583640.1, XP_032226972.1
OG0001042	XP_022799886.1	XP_032221476.1
OG0001043	XP_022779176.1	XP_048587915.1, XP_048587917.1
OG0001043	XP_022779213.1	XP_048587909.1, XP_048588873.1
OG0001044	XP_022792700.1	XP_032230226.2, XP_048584142.1, XP_048583359.1
OG0001044	XP_022781047.1	XP_032239436.2
OG0001045	XP_022809165.1, XP_022789094.1, XP_022777816.1, XP_022789110.1, XP_022789111.1	XP_032229857.1, XP_032229852.2, XP_048584184.1, XP_032229850.1
OG0001047	XP_022788438.1, XP_022794904.1, XP_022794880.1, XP_022794907.1, XP_022794903.1, XP_022794878.1, XP_022794873.1	XP_032221565.2
OG0001049	XP_022785382.1	XP_001628684.2
OG0001049	XP_022785504.1	XP_001628685.3
OG0001049	XP_022779112.1	XP_001624610.2
OG0001050	XP_022801933.1	XP_032225612.2, XP_048577134.1
OG0001051	XP_022806505.1, XP_022796100.1, XP_022808159.1, XP_022808409.1, XP_022806592.1	XP_048576998.1, XP_048586130.1, XP_048586890.1
OG0001052	XP_022781454.1, XP_022781452.1, XP_022781462.1, XP_022781451.1, XP_022781324.1, XP_022781214.1	XP_048577661.1, XP_048578026.1
OG0001054	XP_022796637.1	XP_032226091.2, XP_048585844.1, XP_048585766.1, XP_048578209.1, XP_048584560.1, XP_048578161.1, XP_048578084.1, XP_048581061.1
OG0001055	XP_022781427.1	XP_048577392.1
OG0001055	XP_022788912.1	XP_048588087.1
OG0001055	XP_022805941.1	XP_001627703.3
OG0001057	XP_022797023.1, XP_022797021.1, XP_022797026.1, XP_022797025.1, XP_022797015.1, XP_022797007.1, XP_022796979.1	XP_001630977.2, XP_001630976.3
OG0001058	XP_022795087.1, XP_022803670.1, XP_022795058.1, XP_022803684.1, XP_022795056.1, XP_022795088.1, XP_022809679.1, XP_022795074.1	XP_001629657.1
OG0001059	XP_022797207.1, XP_022797206.1, XP_022797223.1, XP_022797209.1, XP_022797222.1, XP_022797218.1, XP_022797229.1, XP_022797216.1	XP_001623049.1
OG0001060	XP_022809214.1	XP_048579158.1, XP_048578727.1, XP_048584056.1, XP_048578821.1, XP_048575330.1, XP_048587031.1, XP_048587171.1, XP_048587294.1
OG0001061	XP_022809683.1, XP_022791543.1, XP_022784544.1	XP_048584871.1, XP_048578893.1
OG0001063	XP_022792667.1, XP_022778705.1	XP_001626562.3, XP_001625294.3, XP_048578854.1, XP_048584134.1, XP_048584156.1, XP_048576426.1, XP_032242798.1
OG0001065	XP_022793262.1, XP_022783543.1, XP_022810110.1, XP_022785064.1, XP_022801744.1, XP_022779921.1	XP_001633225.1
OG0001067	XP_022779022.1	XP_032220658.1
OG0001068	XP_022781020.1, XP_022805159.1, XP_022796840.1, XP_022807901.1, XP_022796848.1, XP_022796859.1, XP_022790348.1, XP_022796331.1	XP_032221168.2, XP_032243326.2
OG0001074	XP_022795355.1, XP_022796462.1, XP_022795376.1, XP_022789574.1, XP_022789566.1, XP_022796212.1, XP_022795367.1, XP_022796408.1, XP_022782461.1	XP_032235097.2
OG0001075	XP_022799813.1	XP_048589966.1, XP_048579038.1
OG0001075	XP_022780597.1	XP_048578020.1, XP_048589507.1, XP_048583473.1, XP_048588421.1, XP_048588417.1, XP_048577104.1
OG0001130	XP_022782610.1	XP_032241093.2, XP_048576379.1
OG0001131	XP_022784123.1	XP_048578287.1
OG0001132	XP_022779381.1	XP_001639786.3
OG0001133	XP_022785937.1, XP_022785918.1, XP_022785920.1, XP_022785891.1	XP_032233158.2
OG0001135	XP_022795674.1	XP_032228945.1
OG0001137	XP_022793389.1	XP_048587789.1
OG0001137	XP_022780510.1	XP_048587001.1
OG0001138	XP_022787804.1	XP_032219908.2
OG0001139	XP_022791771.1	XP_032232681.1
OG0001139	XP_022804460.1, XP_022804463.1, XP_022791678.1	XP_032232711.2
OG0001140	XP_022810123.1, XP_022780415.1	XP_048589769.1
OG0001141	XP_022779502.1	XP_032218422.2
OG0001141	XP_022802234.1	XP_032236267.2
OG0001143	XP_022788171.1	XP_048576149.1
OG0001146	XP_022799635.1	XP_048578885.1
OG0001148	XP_022786794.1	XP_048581962.1
OG0001149	XP_022798688.1	XP_048582497.1, XP_048582498.1, XP_048582496.1
OG0001150	XP_022798680.1	XP_032239415.2
OG0001151	XP_022803853.1, XP_022781082.1	XP_032242894.2, XP_048581552.1
OG0001152	XP_022786662.1	XP_032227746.2
OG0001154	XP_022782713.1	XP_001641098.2
OG0001156	XP_022807684.1, XP_022807683.1, XP_022807670.1, XP_022807674.1	XP_048586648.1, XP_048586650.1, XP_001627780.2
OG0001158	XP_022787323.1	XP_048579987.1, XP_048575741.1
OG0001160	XP_022788579.1	XP_048587839.1, XP_048587838.1, XP_048587691.1, XP_048587834.1, XP_032235531.2, XP_048587837.1
OG0001161	XP_022805409.1, XP_022810584.1	XP_048590712.1
OG0001163	XP_022789894.1, XP_022778702.1	XP_048590453.1
OG0001163	XP_022785453.1	XP_032239611.2
OG0001165	XP_022777814.1, XP_022797656.1	XP_032235557.2, XP_048586962.1
OG0001166	XP_022808681.1, XP_022806378.1, XP_022806391.1, XP_022780948.1, XP_022780849.1, XP_022797030.1	XP_032229417.2
OG0001169	XP_022806343.1	XP_048589455.1, XP_032234333.1
OG0001170	XP_022782393.1	XP_032221570.2, XP_032221569.1, XP_048576351.1, XP_048575985.1, XP_001640349.2, XP_048575984.1
OG0001171	XP_022803487.1	XP_001636397.3, XP_032242069.2
OG0001172	XP_022782892.1	XP_001628273.1, XP_032238745.2
OG0001172	XP_022782925.1	XP_001634811.3
OG0001173	XP_022784821.1, XP_022801356.1	XP_032227963.1, XP_032238858.1, XP_048588786.1, XP_032237657.1, XP_048589097.1
OG0001177	XP_022802702.1	XP_048584895.1, XP_048585314.1
OG0001178	XP_022791945.1, XP_022791944.1	XP_001622468.2
OG0001179	XP_022804244.1	XP_032219705.2
OG0001180	XP_022785857.1	XP_001636711.1
OG0001180	XP_022784216.1	XP_032221699.1, XP_001632147.2
OG0001181	XP_022798388.1	XP_048582112.1
OG0001181	XP_022807168.1	XP_048579822.1, XP_048580251.1
OG0001182	XP_022801472.1	XP_001622920.3, XP_048576204.1
OG0001183	XP_022795573.1	XP_048583196.1, XP_048579564.1, XP_048577135.1
OG0001184	XP_022806066.1, XP_022806065.1	XP_032218989.1, XP_032221621.2, XP_001631432.2, XP_001638919.3, XP_048575882.1
OG0001186	XP_022783653.1	XP_001629203.2
OG0001187	XP_022799249.1	XP_001634757.3
OG0001187	XP_022792148.1	XP_032227628.2
OG0001188	XP_022784039.1, XP_022785686.1, XP_022804064.1	XP_032224739.1, XP_001637576.3
OG0001190	XP_022803272.1, XP_022792420.1	XP_048586215.1
OG0001190	XP_022791346.1	XP_048583248.1, XP_048583260.1, XP_048590336.1
OG0001193	XP_022800321.1, XP_022808758.1	XP_048586228.1
OG0001194	XP_022792493.1	XP_048580435.1, XP_032239018.2
OG0001196	XP_022788423.1	XP_001634710.2
OG0001196	XP_022795456.1, XP_022795453.1, XP_022795454.1	XP_001634675.2
OG0001198	XP_022782486.1, XP_022782497.1	XP_001635635.2, XP_001629477.1, XP_032222462.2
OG0001199	XP_022780247.1	XP_048575728.1
OG0001199	XP_022780261.1	XP_048576144.1
OG0001200	XP_022786687.1	XP_032234023.1
OG0001201	XP_022795429.1	XP_001630142.2
OG0001202	XP_022781141.1, XP_022781142.1, XP_022781143.1, XP_022788254.1, XP_022781140.1	XP_032226741.2, XP_001641139.1
OG0001204	XP_022787803.1	XP_032231206.2
OG0001208	XP_022782402.1, XP_022782400.1	XP_001637902.2
OG0001208	XP_022782706.1	XP_001639675.3
OG0001210	XP_022789157.1, XP_022789132.1	XP_048587481.1
OG0001211	XP_022800764.1	XP_032228605.1, XP_048579088.1, XP_032217810.1
OG0001212	XP_022781072.1, XP_022781079.1	XP_001627114.1, XP_001627133.2
OG0001213	XP_022800767.1	XP_001623557.2
OG0001213	XP_022784492.1	XP_001636411.2
OG0001214	XP_022810613.1	XP_048585765.1, XP_048585846.1, XP_048585848.1, XP_001620975.3
OG0001216	XP_022782228.1, XP_022784874.1, XP_022788461.1, XP_022797595.1	XP_048582993.1, XP_032237174.1
OG0001219	XP_022783106.1	XP_048584308.1
OG0001219	XP_022788437.1	XP_048576154.1
OG0001219	XP_022791157.1	XP_001635127.2
OG0001222	XP_022778500.1	XP_001628922.2
OG0001223	XP_022783791.1	XP_048587686.1
OG0001223	XP_022783788.1	XP_001636309.3
OG0001224	XP_022786529.1	XP_048586454.1, XP_048578889.1, XP_048579087.1
OG0001225	XP_022792377.1	XP_032236224.1
OG0001225	XP_022779104.1, XP_022779105.1	XP_001625720.1
OG0001227	XP_022801092.1, XP_022810585.1, XP_022787242.1	XP_048587552.1, XP_001626966.2
OG0001230	XP_022810362.1	XP_048577472.1
OG0001231	XP_022801726.1	XP_032234164.1
OG0001231	XP_022800295.1	XP_048578455.1
OG0001232	XP_022791469.1, XP_022791494.1	XP_032226581.2, XP_048588834.1, XP_001622402.2
OG0001234	XP_022796031.1, XP_022796076.1, XP_022796073.1	XP_001626075.1
OG0001235	XP_022797433.1	XP_048579307.1
OG0001235	XP_022797416.1, XP_022797414.1	XP_032239763.2, XP_048580237.1
OG0001236	XP_022808036.1, XP_022803591.1	XP_001637279.1
OG0001237	XP_022794129.1, XP_022801921.1	XP_032243129.1, XP_048584400.1, XP_032225484.2
OG0001238	XP_022780800.1, XP_022780106.1, XP_022780084.1, XP_022781000.1	XP_001638621.3, XP_048587658.1
OG0001239	XP_022798302.1, XP_022784820.1	XP_032226487.2, XP_032237694.1, XP_048589012.1, XP_048589237.1, XP_048588880.1, XP_032227088.2
OG0001240	XP_022786170.1, XP_022792217.1	XP_048578986.1, XP_048578570.1, XP_048579108.1, XP_032231321.2
OG0001241	XP_022810102.1	XP_048583228.1
OG0001242	XP_022792474.1, XP_022792467.1	XP_001637091.1
OG0001242	XP_022792476.1	XP_048581142.1
OG0001243	XP_022799329.1	XP_001637415.2, XP_032218073.1, XP_032226219.1, XP_048579150.1
OG0001244	XP_022801341.1, XP_022787478.1, XP_022778379.1, XP_022809281.1, XP_022787690.1, XP_022807052.1	XP_032229033.2
OG0001246	XP_022801477.1	XP_048582066.1, XP_001641207.2
OG0001246	XP_022787184.1	XP_001632482.3
OG0001248	XP_022785068.1	XP_048587404.1
OG0001249	XP_022807557.1, XP_022782142.1	XP_001637723.3
OG0001250	XP_022793289.1	XP_032241044.1
OG0001250	XP_022804433.1	XP_001630598.2
OG0001251	XP_022799863.1, XP_022804735.1, XP_022807268.1	XP_048576753.1, XP_032236530.1, XP_048576076.1, XP_048587471.1
OG0001253	XP_022779299.1	XP_032238567.1
OG0001255	XP_022807486.1, XP_022809181.1	XP_048576644.1, XP_048587240.1
OG0001256	XP_022780301.1, XP_022780283.1, XP_022780237.1, XP_022780330.1, XP_022780219.1	XP_032221585.2
OG0001257	XP_022810144.1	XP_032237066.1, XP_048577132.1, XP_048589497.1, XP_048580359.1, XP_048580440.1
OG0001258	XP_022790328.1, XP_022800813.1, XP_022800801.1	XP_001631224.1
OG0001259	XP_022794196.1	XP_032241407.2, XP_001640915.2
OG0001260	XP_022796441.1, XP_022809279.1, XP_022779878.1, XP_022783434.1, XP_022791964.1	XP_048590355.1, XP_048583408.1
OG0001262	XP_022791722.1, XP_022791709.1, XP_022777434.1, XP_022791723.1, XP_022791689.1, XP_022802547.1	XP_032218487.2
OG0001263	XP_022780658.1	XP_048575970.1
OG0001264	XP_022785007.1, XP_022785011.1	XP_032240023.2, XP_048576257.1
OG0001265	XP_022791284.1	XP_032239493.1
OG0001266	XP_022799416.1	XP_001640960.3
OG0001266	XP_022787371.1	XP_032218917.1
OG0001267	XP_022797233.1	XP_032218565.2
OG0001268	XP_022793965.1	XP_032239660.2
OG0001270	XP_022779680.1	XP_048584029.1, XP_032229532.2, XP_048584026.1, XP_032229538.2
OG0001271	XP_022804247.1, XP_022791624.1, XP_022807574.1, XP_022807033.1, XP_022777842.1, XP_022789002.1	XP_032233946.1
OG0001272	XP_022783998.1	XP_048586467.1, XP_048578363.1, XP_048587087.1, XP_048586101.1, XP_048576885.1, XP_048589804.1, XP_048582534.1
OG0001273	XP_022794459.1, XP_022787619.1, XP_022786973.1, XP_022786972.1, XP_022789307.1, XP_022785617.1	XP_001624243.2, XP_032221657.2
OG0001274	XP_022789198.1, XP_022788134.1	XP_048580414.1, XP_048590557.1
OG0001274	XP_022780456.1, XP_022808140.1, XP_022801800.1	XP_048578931.1
OG0001275	XP_022805372.1	XP_048576977.1
OG0001277	XP_022784581.1	XP_032229531.2
OG0001278	XP_022804687.1	XP_048577298.1, XP_048578013.1, XP_048577410.1, XP_048577291.1, XP_048577625.1, XP_048577628.1
OG0001279	XP_022798729.1	XP_001635103.3, XP_032240389.2
OG0001280	XP_022777542.1	XP_048586364.1
OG0001286	XP_022791511.1, XP_022791508.1, XP_022784286.1, XP_022808236.1, XP_022806782.1, XP_022808226.1, XP_022795999.1	XP_001639027.3, XP_001633893.3
OG0001287	XP_022788852.1, XP_022788825.1, XP_022789422.1	XP_048588753.1, XP_001637773.1
OG0001289	XP_022781515.1, XP_022809722.1, XP_022792566.1	XP_048577611.1, XP_048580094.1, XP_048576169.1, XP_048590594.1, XP_048585455.1, XP_032228289.1
OG0001292	XP_022779835.1	XP_048585203.1
OG0001292	XP_022808510.1, XP_022778079.1, XP_022805806.1, XP_022810637.1, XP_022804563.1	XP_048575702.1
OG0001293	XP_022808035.1	XP_048577307.1, XP_048585267.1, XP_048581436.1, XP_048581452.1, XP_048584929.1, XP_048586624.1, XP_048576168.1, XP_048586460.1
OG0001295	XP_022790828.1, XP_022784735.1, XP_022784736.1, XP_022784771.1, XP_022807339.1, XP_022805446.1, XP_022805432.1, XP_022785485.1	XP_048577593.1
OG0001299	XP_022779733.1, XP_022779763.1, XP_022802340.1, XP_022802330.1, XP_022783243.1, XP_022807726.1, XP_022807725.1, XP_022779678.1	XP_048584212.1
OG0001349	XP_022789922.1	XP_032239817.1
OG0001350	XP_022802323.1, XP_022802326.1, XP_022778324.1, XP_022802332.1	XP_048589454.1
OG0001351	XP_022787214.1	XP_032232703.1
OG0001352	XP_022782298.1, XP_022799371.1	XP_001634458.3
OG0001352	XP_022789875.1	XP_001624330.1
OG0001354	XP_022784621.1	XP_048584565.1
OG0001354	XP_022784676.1, XP_022797756.1	XP_048585408.1
OG0001355	XP_022804681.1, XP_022804325.1, XP_022804659.1, XP_022804052.1, XP_022804034.1	XP_032241076.1
OG0001356	XP_022784737.1	XP_001633057.3
OG0001357	XP_022796193.1	XP_032223654.2
OG0001358	XP_022803556.1	XP_001638964.1, XP_001628323.2, XP_048582110.1
OG0001360	XP_022789200.1	XP_048580740.1
OG0001361	XP_022790998.1	XP_001640518.1, XP_048588166.1, XP_001632044.2
OG0001363	XP_022780345.1	XP_048583991.1
OG0001363	XP_022780353.1	XP_032235434.2
OG0001364	XP_022790186.1	XP_048587449.1
OG0001365	XP_022799625.1	XP_048578761.1
OG0001365	XP_022799644.1, XP_022799643.1	XP_048579051.1
OG0001367	XP_022791604.1	XP_001634960.2
OG0001368	XP_022802168.1	XP_032230555.2, XP_048576677.1, XP_032230540.1, XP_048576685.1
OG0001369	XP_022801655.1	XP_032225195.1
OG0001371	XP_022782587.1, XP_022782616.1, XP_022782615.1, XP_022782614.1	XP_001634928.1, XP_001635947.3
OG0001372	XP_022784867.1, XP_022786033.1	XP_048588459.1
OG0001374	XP_022795556.1, XP_022795555.1, XP_022795558.1	XP_048584766.1
OG0001375	XP_022795589.1	XP_048584904.1, XP_048580309.1, XP_032241991.1, XP_032218819.1
OG0001376	XP_022794949.1	XP_001630405.2
OG0001376	XP_022787921.1	XP_048589412.1
OG0001377	XP_022795521.1, XP_022795523.1	XP_001637601.1, XP_048583585.1
OG0001378	XP_022799687.1	XP_001633895.2
OG0001379	XP_022782858.1	XP_032220106.1
OG0001380	XP_022792071.1	XP_048582536.1
OG0001380	XP_022780487.1, XP_022780489.1	XP_032220349.2
OG0001382	XP_022804799.1, XP_022778451.1	XP_048589330.1
OG0001384	XP_022782537.1, XP_022798669.1	XP_001629816.3
OG0001385	XP_022785012.1, XP_022799314.1	XP_048582539.1
OG0001385	XP_022790988.1	XP_048585742.1, XP_048585736.1
OG0001386	XP_022790620.1, XP_022790621.1, XP_022790623.1, XP_022790633.1	XP_032238523.2
OG0001388	XP_022778127.1, XP_022789311.1, XP_022789277.1, XP_022788558.1, XP_022788559.1, XP_022783270.1	XP_048576516.1
OG0001390	XP_022800792.1	XP_048589953.1
OG0001391	XP_022805384.1	XP_032229298.2
OG0001392	XP_022785526.1	XP_048590540.1
OG0001392	XP_022802936.1, XP_022796708.1	XP_048590470.1
OG0001393	XP_022791437.1	XP_032219787.2
OG0001394	XP_022793625.1	XP_001641241.1
OG0001394	XP_022793626.1	XP_001641240.2
OG0001395	XP_022806007.1, XP_022805994.1, XP_022799408.1	XP_048589681.1
OG0001396	XP_022779334.1	XP_048583307.1, XP_048583230.1, XP_032229943.1, XP_048580930.1
OG0001398	XP_022786591.1	XP_032243329.2, XP_001631588.2
OG0001400	XP_022804580.1	XP_032235205.2
OG0001401	XP_022810203.1, XP_022784583.1, XP_022803814.1, XP_022810199.1	XP_048589951.1, XP_048589949.1
OG0001402	XP_022787912.1	XP_001633785.2
OG0001402	XP_022796946.1	XP_001639021.3
OG0001403	XP_022790585.1, XP_022790554.1, XP_022807977.1, XP_022789121.1	XP_032218245.2, XP_001629583.2
OG0001405	XP_022789631.1, XP_022789669.1	XP_001635484.3
OG0001406	XP_022796314.1, XP_022796303.1, XP_022796290.1	XP_048579675.1
OG0001410	XP_022778182.1	XP_048576244.1, XP_048576245.1
OG0001411	XP_022791997.1, XP_022792005.1	XP_001631007.2, XP_048587238.1
OG0001412	XP_022810496.1	XP_032243181.2, XP_048586498.1, XP_048586492.1, XP_048586211.1, XP_048586495.1
OG0001414	XP_022798406.1	XP_001639546.2
OG0001416	XP_022787027.1	XP_048587873.1
OG0001416	XP_022779715.1	XP_032228303.1
OG0001417	XP_022802047.1	XP_001625100.2
OG0001417	XP_022788408.1, XP_022788395.1	XP_001633537.2
OG0001418	XP_022792902.1, XP_022807550.1, XP_022801051.1	XP_032238625.2
OG0001418	XP_022781499.1	XP_001642036.2, XP_032236680.2
OG0001419	XP_022781660.1, XP_022781584.1, XP_022781662.1, XP_022796600.1, XP_022781661.1, XP_022781607.1	XP_001637964.3
OG0001420	XP_022790465.1	XP_032233276.2, XP_001629183.3
OG0001421	XP_022779057.1	XP_048588924.1
OG0001421	XP_022809635.1	XP_048590052.1
OG0001422	XP_022790912.1	XP_032231869.1, XP_001626237.1
OG0001423	XP_022807366.1, XP_022807371.1	XP_048586555.1
OG0001426	XP_022794780.1	XP_048577204.1
OG0001428	XP_022782696.1	XP_048580310.1
OG0001428	XP_022807987.1	XP_001641546.1
OG0001429	XP_022786956.1	XP_032219406.2
OG0001430	XP_022809089.1	XP_032240244.2
OG0001431	XP_022796479.1	XP_032226045.1
OG0001431	XP_022796485.1, XP_022798497.1, XP_022799142.1	XP_032235001.2
OG0001432	XP_022782396.1, XP_022782313.1	XP_001624752.2
OG0001433	XP_022808398.1, XP_022809203.1	XP_048577115.1
OG0001434	XP_022780076.1, XP_022809024.1	XP_032227914.1
OG0001434	XP_022780938.1	XP_001636230.3
OG0001435	XP_022780089.1	XP_032221879.2
OG0001436	XP_022804287.1, XP_022804270.1	XP_001629350.1, XP_032233463.1
OG0001437	XP_022793988.1	XP_001627490.1, XP_032226878.2, XP_032219993.2, XP_032232413.2
OG0001439	XP_022783649.1, XP_022793381.1	XP_001632467.1, XP_001632466.3
OG0001440	XP_022782904.1	XP_048581697.1
OG0001441	XP_022782502.1	XP_032233747.1
OG0001442	XP_022801676.1	XP_001640523.3
OG0001442	XP_022807621.1	XP_048588809.1
OG0001444	XP_022806586.1	XP_048583721.1
OG0001445	XP_022796966.1	XP_032236268.2
OG0001446	XP_022795772.1	XP_032235058.1
OG0001446	XP_022795785.1	XP_032220851.2
OG0001447	XP_022785400.1	XP_001634475.2
OG0001447	XP_022792329.1	XP_001640978.3
OG0001448	XP_022800009.1	XP_001636919.3, XP_048575873.1, XP_001636918.1
OG0001449	XP_022782367.1, XP_022780099.1	XP_048584945.1
OG0001449	XP_022798838.1	XP_032233885.1
OG0001450	XP_022796775.1, XP_022796766.1	XP_032226690.1, XP_032226691.1
OG0001451	XP_022778519.1, XP_022778684.1, XP_022778931.1	XP_048585090.1
OG0001452	XP_022784207.1	XP_001632109.2
OG0001455	XP_022784754.1	XP_032225565.2, XP_048578381.1, XP_048578979.1, XP_048576073.1, XP_048580433.1, XP_032241925.1
OG0001456	XP_022790225.1	XP_048575599.1
OG0001457	XP_022784172.1	XP_048575827.1
OG0001458	XP_022808265.1, XP_022810580.1, XP_022806172.1, XP_022784143.1	XP_001640005.1
OG0001460	XP_022788758.1, XP_022804382.1	XP_048580438.1
OG0001461	XP_022807741.1	XP_032221403.1
OG0001462	XP_022788193.1, XP_022801190.1, XP_022801161.1, XP_022788198.1, XP_022798116.1, XP_022788191.1	XP_001635979.1
OG0001463	XP_022787995.1	XP_001633833.2
OG0001463	XP_022807494.1	XP_032231499.1
OG0001464	XP_022789317.1	XP_048586187.1
OG0001465	XP_022787906.1	XP_001641884.3
OG0001465	XP_022786792.1	XP_032222676.1
OG0001466	XP_022798046.1, XP_022795187.1, XP_022792357.1	XP_001625732.1
OG0001467	XP_022785884.1	XP_001636892.1
OG0001467	XP_022798380.1	XP_001636830.1
OG0001468	XP_022800941.1, XP_022800942.1, XP_022800962.1, XP_022790844.1	XP_032237680.1
OG0001469	XP_022802621.1	XP_048578615.1
OG0001469	XP_022777548.1	XP_048590529.1
OG0001471	XP_022807143.1	XP_048580995.1
OG0001472	XP_022786749.1	XP_032223564.1, XP_001636052.1, XP_048577059.1
OG0001473	XP_022795623.1	XP_048579833.1
OG0001473	XP_022795633.1	XP_032226070.1
OG0001475	XP_022799924.1	XP_032229022.1
OG0001477	XP_022806380.1	XP_048588216.1
OG0001478	XP_022786152.1, XP_022802779.1, XP_022799900.1	XP_048577231.1, XP_048579040.1, XP_048576416.1
OG0001479	XP_022792086.1	XP_001623612.2
OG0001479	XP_022792713.1	XP_032218665.1
OG0001480	XP_022807537.1	XP_001627210.2
OG0001481	XP_022784067.1	XP_048580511.1
OG0001484	XP_022803358.1	XP_001635520.2
OG0001484	XP_022794107.1	XP_032242752.2
OG0001486	XP_022785723.1	XP_032238958.1
OG0001486	XP_022785724.1	XP_048589442.1
OG0001487	XP_022805703.1	XP_032220705.1
OG0001487	XP_022784112.1	XP_032222855.1
OG0001488	XP_022798524.1, XP_022801059.1	XP_032221962.2
OG0001489	XP_022798256.1	XP_001639203.2, XP_032219952.1, XP_032223257.1
OG0001492	XP_022808967.1	XP_032229700.2, XP_048581186.1
OG0001493	XP_022793636.1	XP_032236044.2, XP_048582206.1, XP_032237684.2
OG0001494	XP_022791671.1, XP_022793235.1	XP_032228966.1, XP_001625659.3
OG0001496	XP_022783033.1	XP_032237572.1, XP_001636051.1, XP_032241569.1, XP_032237611.1
OG0001497	XP_022803375.1, XP_022803374.1	XP_048583632.1
OG0001498	XP_022803406.1	XP_001634601.1
OG0001499	XP_022810195.1, XP_022798812.1, XP_022777688.1, XP_022798840.1, XP_022791601.1	XP_032221109.2
OG0001500	XP_022802564.1	XP_001633076.2
OG0001501	XP_022778337.1	XP_032228764.2, XP_032227696.2, XP_048582478.1, XP_032236210.2
OG0001502	XP_022791760.1, XP_022791680.1, XP_022791764.1	XP_032231653.2, XP_048586265.1, XP_048578796.1, XP_032222866.1
OG0001503	XP_022808573.1, XP_022808572.1, XP_022778540.1, XP_022777509.1, XP_022808570.1	XP_032243183.2
OG0001504	XP_022800770.1	XP_001633903.1
OG0001504	XP_022784195.1	XP_001634205.2
OG0001505	XP_022796019.1, XP_022796265.1	XP_048585315.1
OG0001507	XP_022792016.1	XP_048579561.1
OG0001507	XP_022782444.1	XP_032237358.2
OG0001509	XP_022808955.1, XP_022778549.1, XP_022794270.1, XP_022808956.1, XP_022808953.1	XP_032240200.2
OG0001510	XP_022780515.1	XP_048581843.1
