Orthogroup	spis_longest_isoform_marker	xenia_longest_isoforms
OG0000711	XP_022799839.1	Xe_019613-T1, Xe_019713-T1, Xe_019363-T1, Xe_019561-T1, Xe_019657-T1, Xe_019471-T1, Xe_019503-T1, Xe_019504-T1, Xe_006649-T1, Xe_028750-T1, Xe_006655-T1, Xe_016408-T1
OG0000712	XP_022803463.1	Xe_024547-T1, Xe_020390-T1, Xe_020391-T1, Xe_020415-T1, Xe_020425-T1, Xe_020418-T1, Xe_020389-T1, Xe_020416-T1, Xe_007551-T1, Xe_007636-T1, Xe_024071-T1, Xe_024053-T1
OG0000724	XP_022794248.1, XP_022789618.1, XP_022787869.1, XP_022783618.1	Xe_008283-T1
OG0000725	XP_022807768.1	Xe_028818-T1
OG0000727	XP_022798304.1, XP_022803574.1	Xe_013573-T1, Xe_013578-T1
OG0000728	XP_022792733.1	Xe_029082-T1
OG0000730	XP_022782483.1	Xe_024155-T1, Xe_023902-T1, Xe_010857-T1, Xe_026757-T1, Xe_021301-T1, Xe_023822-T1, Xe_004104-T1, Xe_023820-T1, Xe_023900-T1
OG0000731	XP_022788875.1	Xe_014820-T1, Xe_009860-T1, Xe_014749-T1
OG0000731	XP_022788849.1, XP_022801786.1	Xe_021826-T1
OG0000732	XP_022790428.1	Xe_028405-T1, Xe_028393-T1, Xe_028281-T1, Xe_022770-T1, Xe_023152-T1, Xe_023332-T1, Xe_023736-T1, Xe_023705-T1, Xe_023652-T1
OG0000734	XP_022798879.1, XP_022798882.1, XP_022798881.1	Xe_005005-T1
OG0000738	XP_022784093.1	Xe_018680-T1
OG0000741	XP_022794205.1, XP_022791098.1, XP_022791102.1, XP_022791093.1, XP_022791128.1, XP_022791127.1, XP_022791124.1	Xe_005274-T1, Xe_022647-T1
OG0000743	XP_022787461.1, XP_022797760.1, XP_022795140.1, XP_022782734.1, XP_022791537.1, XP_022789308.1	Xe_002028-T1
OG0000744	XP_022803491.1, XP_022803502.1, XP_022806679.1	Xe_014495-T1, Xe_013459-T1, Xe_009770-T1, Xe_009773-T1, Xe_009771-T1
OG0000745	XP_022810238.1, XP_022795039.1, XP_022806797.1	Xe_020479-T1
OG0000746	XP_022806138.1, XP_022809676.1, XP_022806510.1	Xe_019705-T1
OG0000747	XP_022806532.1, XP_022793675.1, XP_022791500.1, XP_022800416.1	Xe_006872-T1, Xe_024871-T1, Xe_026096-T1, Xe_028253-T1, Xe_023750-T1
OG0000748	XP_022779586.1, XP_022784702.1, XP_022808255.1, XP_022808347.1	Xe_013878-T1
OG0000749	XP_022806631.1, XP_022806621.1, XP_022780080.1, XP_022779975.1, XP_022780057.1, XP_022780025.1	Xe_013402-T1
OG0000752	XP_022803029.1, XP_022807451.1, XP_022803031.1, XP_022803034.1	Xe_009154-T1
OG0000755	XP_022786199.1, XP_022805770.1, XP_022786110.1, XP_022786111.1, XP_022786957.1	Xe_008656-T1, Xe_008618-T2
OG0000756	XP_022786300.1, XP_022788065.1, XP_022786322.1	Xe_027561-T1, Xe_027258-T1, Xe_027252-T1
OG0000760	XP_022799558.1	Xe_028371-T1, Xe_028297-T1, Xe_028762-T1, Xe_023824-T1, Xe_028607-T1, Xe_010595-T1, Xe_028298-T1, Xe_022412-T1, Xe_012641-T1
OG0000761	XP_022780842.1, XP_022780713.1, XP_022780840.1, XP_022780843.1, XP_022780772.1, XP_022780844.1, XP_022780761.1, XP_022780711.1, XP_022780712.1	Xe_008406-T1
OG0000763	XP_022783489.1	Xe_000303-T1
OG0000763	XP_022783510.1, XP_022783488.1, XP_022783470.1	Xe_000304-T1
OG0000764	XP_022796973.1, XP_022797363.1	Xe_003245-T1, Xe_003243-T1
OG0000765	XP_022784598.1, XP_022784591.1, XP_022790883.1, XP_022790884.1	Xe_009741-T1
OG0000766	XP_022794386.1, XP_022799068.1, XP_022799075.1, XP_022799050.1, XP_022777838.1	Xe_011948-T1
OG0000769	XP_022803401.1, XP_022794488.1, XP_022792390.1, XP_022792389.1, XP_022792391.1, XP_022796942.1	Xe_018561-T1
OG0000770	XP_022781103.1, XP_022781134.1, XP_022790213.1, XP_022778455.1	Xe_007239-T1, Xe_026111-T1, Xe_027255-T1
OG0000772	XP_022780605.1, XP_022780626.1	Xe_008439-T1, Xe_013348-T1, Xe_008864-T1
OG0000773	XP_022788744.1, XP_022785512.1, XP_022789220.1, XP_022785578.1	Xe_004952-T1
OG0000776	XP_022781136.1	Xe_010308-T1, Xe_010309-T1, Xe_010304-T1, Xe_010823-T1, Xe_010306-T1, Xe_010820-T1, Xe_010303-T1, Xe_010830-T1, Xe_010832-T1
OG0000777	XP_022807455.1, XP_022804917.1, XP_022810218.1, XP_022782134.1	Xe_004028-T1, Xe_003989-T1, Xe_004029-T1, Xe_004037-T1, Xe_003890-T1
OG0000778	XP_022792429.1, XP_022797240.1, XP_022797266.1, XP_022797286.1, XP_022797268.1, XP_022797284.1, XP_022802264.1	Xe_012694-T1
OG0000779	XP_022781672.1, XP_022781642.1	Xe_013627-T1
OG0000779	XP_022781668.1, XP_022781675.1	Xe_013961-T2
OG0000780	XP_022784310.1	Xe_003178-T1
OG0000780	XP_022778237.1	Xe_025598-T1, Xe_025569-T1, Xe_001521-T1, Xe_003179-T1, Xe_025580-T1, Xe_003187-T2, Xe_001515-T1
OG0000782	XP_022782349.1	Xe_016443-T1, Xe_016435-T1, Xe_016454-T1, Xe_016433-T1, Xe_016448-T1, Xe_016463-T1, Xe_016427-T1, Xe_016453-T1, Xe_016442-T1
OG0000784	XP_022807798.1, XP_022783173.1, XP_022807723.1	Xe_028042-T1, Xe_028034-T1
OG0000784	XP_022777811.1, XP_022778829.1	Xe_023696-T1, Xe_028404-T1, Xe_028423-T1
OG0000787	XP_022792580.1, XP_022792577.1, XP_022792601.1, XP_022792573.1, XP_022792579.1, XP_022792593.1	Xe_021671-T1, Xe_021670-T1
OG0000789	XP_022787160.1, XP_022809241.1, XP_022786423.1	Xe_006797-T1, Xe_006784-T1, Xe_006787-T1, Xe_006798-T1, Xe_006786-T1, Xe_006803-T1, Xe_006852-T1
OG0000792	XP_022801791.1	Xe_009487-T1, Xe_024611-T1, Xe_009497-T1, Xe_009499-T1, Xe_009491-T1, Xe_009492-T1, Xe_000983-T1, Xe_009488-T1, Xe_009500-T1, Xe_012261-T1
OG0000803	XP_022783535.1	Xe_020537-T1, Xe_020545-T1, Xe_020546-T1, Xe_020542-T1, Xe_020540-T1, Xe_020543-T1, Xe_020541-T1, Xe_020547-T1, Xe_020548-T1, Xe_020539-T1, Xe_020538-T1
OG0000807	XP_022796391.1, XP_022806308.1, XP_022803329.1, XP_022801884.1, XP_022801882.1, XP_022800373.1, XP_022800357.1, XP_022801893.1, XP_022803327.1, XP_022803326.1, XP_022803328.1	Xe_023161-T1
OG0000838	XP_022794190.1	Xe_006711-T1, Xe_006763-T1, Xe_006710-T1, Xe_006704-T1, Xe_006774-T1, Xe_006701-T1, Xe_006779-T1, Xe_006712-T1
OG0000839	XP_022805326.1, XP_022789943.1, XP_022803267.1	Xe_009987-T1
OG0000840	XP_022787500.1, XP_022787507.1	Xe_011924-T1
OG0000841	XP_022794182.1, XP_022805207.1, XP_022791843.1, XP_022784023.1	Xe_025305-T1, Xe_009220-T1, Xe_026217-T1, Xe_029063-T1
OG0000842	XP_022779672.1, XP_022781959.1, XP_022792245.1, XP_022793003.1, XP_022777699.1	Xe_019526-T1
OG0000843	XP_022789164.1, XP_022781818.1	Xe_024620-T1, Xe_024550-T1, Xe_024549-T1, Xe_024554-T1, Xe_024562-T1, Xe_024553-T2, Xe_024574-T1
OG0000847	XP_022800641.1, XP_022800657.1, XP_022809826.1	Xe_011574-T1, Xe_028064-T1, Xe_024378-T1, Xe_011549-T1, Xe_013180-T1, Xe_011600-T1
OG0000848	XP_022809864.1, XP_022810535.1, XP_022791662.1, XP_022799706.1	Xe_018578-T1, Xe_018579-T1
OG0000849	XP_022778390.1	Xe_024663-T1
OG0000849	XP_022778875.1, XP_022791275.1	Xe_012437-T1
OG0000852	XP_022807438.1, XP_022803357.1	Xe_018931-T1, Xe_003743-T1, Xe_027967-T1, Xe_028900-T1, Xe_029075-T1, Xe_028871-T1
OG0000854	XP_022800243.1, XP_022801568.1, XP_022788049.1, XP_022788064.1, XP_022808171.1	Xe_012022-T1
OG0000856	XP_022779437.1, XP_022791921.1, XP_022791920.1, XP_022798995.1	Xe_028966-T1
OG0000858	XP_022781023.1	Xe_005576-T1, Xe_022608-T1, Xe_023881-T1, Xe_022609-T1, Xe_023880-T1, Xe_022607-T1
OG0000859	XP_022779631.1	Xe_005368-T1
OG0000859	XP_022794827.1	Xe_007117-T1
OG0000861	XP_022807580.1	Xe_013262-T1
OG0000867	XP_022795746.1	Xe_028609-T1, Xe_010231-T1, Xe_028969-T1, Xe_023921-T1, Xe_001413-T1, Xe_018004-T1
OG0000872	XP_022800696.1, XP_022800701.1, XP_022800635.1	Xe_014367-T1, Xe_014370-T1
OG0000873	XP_022790259.1	Xe_014484-T1, Xe_014484-T2
OG0000873	XP_022790246.1	Xe_014507-T1, Xe_014485-T1
OG0000875	XP_022801771.1, XP_022796812.1	Xe_016027-T1, Xe_016026-T1, Xe_015760-T1
OG0000876	XP_022787999.1	Xe_003210-T1, Xe_021571-T1, Xe_011118-T1, Xe_025244-T1, Xe_028493-T1, Xe_017983-T1, Xe_011165-T1, Xe_011111-T1
OG0000877	XP_022799486.1, XP_022793486.1, XP_022804750.1	Xe_012677-T1
OG0000877	XP_022810076.1	Xe_024268-T1, Xe_015398-T1
OG0000879	XP_022781017.1, XP_022798839.1	Xe_005638-T1, Xe_005640-T1
OG0000880	XP_022788977.1, XP_022788978.1, XP_022782766.1	Xe_023988-T1, Xe_028619-T1, Xe_028570-T1, Xe_007913-T1
OG0000881	XP_022805434.1, XP_022788764.1, XP_022788807.1, XP_022809051.1, XP_022799179.1	Xe_012810-T1
OG0000882	XP_022784856.1, XP_022783525.1, XP_022784256.1	Xe_026332-T1, Xe_026336-T1, Xe_026340-T1, Xe_001899-T1
OG0000883	XP_022803371.1, XP_022780455.1, XP_022803399.1	Xe_023419-T1, Xe_023420-T1
OG0000884	XP_022782065.1, XP_022782066.1	Xe_000382-T1
OG0000884	XP_022800238.1	Xe_022252-T1
OG0000885	XP_022792323.1	Xe_007375-T1
OG0000885	XP_022794403.1, XP_022789127.1	Xe_008957-T1, Xe_008940-T1, Xe_008925-T1, Xe_007420-T1, Xe_008972-T1
OG0000886	XP_022782802.1	Xe_008598-T1, Xe_015353-T1, Xe_008268-T1, Xe_008058-T1, Xe_007801-T1, Xe_008060-T1, Xe_007789-T1, Xe_007793-T1
OG0000889	XP_022800409.1, XP_022800411.1, XP_022800412.1, XP_022800413.1	Xe_022088-T1
OG0000890	XP_022801625.1, XP_022801638.1	Xe_001504-T1, Xe_016243-T1, Xe_015660-T1
OG0000892	XP_022798334.1, XP_022794703.1, XP_022807667.1, XP_022789697.1, XP_022802578.1, XP_022783355.1, XP_022808109.1, XP_022783384.1, XP_022780821.1	Xe_029108-T1
OG0000893	XP_022795848.1, XP_022803217.1	Xe_013726-T1, Xe_013748-T1, Xe_013737-T1, Xe_013751-T1
OG0000895	XP_022781769.1	Xe_027715-T1, Xe_027732-T1, Xe_027684-T1, Xe_027758-T1, Xe_027725-T1, Xe_027689-T1, Xe_027686-T1, Xe_027683-T1
OG0000896	XP_022781602.1, XP_022806022.1	Xe_013141-T1, Xe_013697-T1, Xe_013619-T1, Xe_013620-T1, Xe_023889-T1
OG0000899	XP_022781509.1, XP_022781609.1, XP_022783056.1	Xe_008203-T1, Xe_020685-T1, Xe_011483-T1, Xe_020334-T1
OG0000900	XP_022789091.1, XP_022779751.1, XP_022780446.1	Xe_020028-T1, Xe_013756-T1, Xe_013754-T1, Xe_013753-T1, Xe_013755-T1
OG0000901	XP_022781844.1, XP_022781843.1	Xe_002040-T1
OG0000902	XP_022802078.1	Xe_000258-T1, Xe_000262-T1
OG0000902	XP_022802094.1, XP_022802082.1	Xe_020311-T1
OG0000904	XP_022784322.1, XP_022785178.1	Xe_021574-T1, Xe_021576-T1, Xe_007027-T1, Xe_025489-T1, Xe_021577-T1, Xe_021575-T1
OG0000905	XP_022783566.1, XP_022783564.1, XP_022783595.1, XP_022807570.1, XP_022804202.1	Xe_027992-T1, Xe_013493-T1, Xe_028017-T1, Xe_013053-T1
OG0000908	XP_022795666.1	Xe_029057-T1, Xe_015198-T1
OG0000908	XP_022790203.1, XP_022789131.1, XP_022794384.1	Xe_028934-T1
OG0000910	XP_022800106.1	Xe_013662-T1, Xe_019578-T1, Xe_019553-T1, Xe_019477-T1, Xe_019669-T1, Xe_019670-T1, Xe_019476-T1, Xe_019498-T1
OG0000916	XP_022802239.1, XP_022777461.1, XP_022802228.1, XP_022802229.1, XP_022777463.1, XP_022790909.1	Xe_016324-T2, Xe_014597-T1
OG0000921	XP_022783346.1, XP_022804339.1, XP_022806162.1, XP_022801507.1, XP_022808933.1, XP_022777862.1, XP_022793274.1, XP_022777810.1, XP_022796234.1	Xe_017908-T1
OG0000926	XP_022802209.1, XP_022780957.1	Xe_026469-T1, Xe_025660-T1, Xe_016844-T1, Xe_025942-T1, Xe_024917-T1, Xe_026209-T1, Xe_007238-T1, Xe_026112-T1, Xe_007237-T1
OG0000930	XP_022792525.1	Xe_014911-T1
OG0000930	XP_022809984.1, XP_022808323.1, XP_022808322.1, XP_022809987.1, XP_022792550.1, XP_022799796.1, XP_022809986.1	Xe_020700-T1, Xe_006137-T1
OG0000935	XP_022801222.1	Xe_013314-T1
OG0000935	XP_022797740.1	Xe_024584-T1, Xe_005917-T1, Xe_006512-T1, Xe_025474-T1, Xe_016740-T1, Xe_027097-T1, Xe_001222-T1, Xe_001219-T1
OG0000963	XP_022779388.1, XP_022779401.1	Xe_013989-T1
OG0000964	XP_022794630.1, XP_022786147.1, XP_022796694.1, XP_022783269.1	Xe_028929-T1
OG0000967	XP_022781336.1, XP_022781332.1, XP_022784797.1, XP_022784842.1	Xe_022604-T1, Xe_011271-T1, Xe_011281-T1
OG0000969	XP_022780899.1	Xe_019200-T1, Xe_018893-T1, Xe_019202-T1, Xe_019158-T1, Xe_019141-T1, Xe_025145-T1, Xe_018875-T1
OG0000970	XP_022805189.1	Xe_008514-T1
OG0000971	XP_022798114.1, XP_022800394.1	Xe_019857-T1, Xe_019833-T1, Xe_019733-T1, Xe_019855-T1, Xe_019806-T1, Xe_019856-T1
OG0000974	XP_022793009.1, XP_022793010.1, XP_022793008.1	Xe_003092-T1
OG0000974	XP_022788808.1, XP_022783718.1	Xe_003091-T1
OG0000977	XP_022793309.1, XP_022802008.1	Xe_010508-T1, Xe_023446-T1, Xe_028367-T1, Xe_025905-T1, Xe_023447-T1
OG0000978	XP_022789495.1, XP_022793306.1	Xe_009326-T1
OG0000980	XP_022790353.1	Xe_011625-T1
OG0000980	XP_022803558.1	Xe_003282-T1
OG0000981	XP_022803225.1, XP_022803237.1	Xe_010655-T1, Xe_010621-T1, Xe_028432-T1, Xe_028415-T1, Xe_010618-T1, Xe_028433-T1
OG0000985	XP_022784458.1, XP_022784494.1, XP_022806464.1, XP_022784433.1, XP_022784432.1	Xe_009996-T1, Xe_003316-T1
OG0000990	XP_022779026.1	Xe_001090-T1
OG0000990	XP_022783312.1	Xe_026666-T1
OG0000991	XP_022806468.1	Xe_021740-T1
OG0000994	XP_022781220.1, XP_022799868.1, XP_022809777.1, XP_022810041.1	Xe_026918-T1
OG0000996	XP_022792506.1	Xe_022272-T1
OG0000997	XP_022809046.1, XP_022809045.1	Xe_022699-T1
OG0001002	XP_022790735.1, XP_022790734.1, XP_022790717.1	Xe_020876-T1, Xe_020891-T1
OG0001003	XP_022777527.1	Xe_010473-T1, Xe_025926-T1
OG0001004	XP_022781009.1, XP_022807782.1, XP_022809771.1, XP_022783667.1	Xe_009507-T1
OG0001005	XP_022789303.1, XP_022784808.1	Xe_005233-T1
OG0001007	XP_022799526.1, XP_022792735.1, XP_022792682.1, XP_022792734.1	Xe_020042-T1, Xe_024720-T1
OG0001008	XP_022793237.1, XP_022793234.1	Xe_012714-T1
OG0001008	XP_022793232.1, XP_022793264.1, XP_022783437.1	Xe_012717-T1, Xe_012713-T1
OG0001010	XP_022791167.1, XP_022791170.1	Xe_011835-T1
OG0001015	XP_022785031.1, XP_022779225.1, XP_022789263.1, XP_022785027.1	Xe_008563-T1, Xe_008561-T1
OG0001016	XP_022785379.1	Xe_010263-T1, Xe_010799-T1, Xe_010807-T1, Xe_010801-T1, Xe_010811-T1, Xe_010294-T1, Xe_010287-T1
OG0001017	XP_022780052.1	Xe_017272-T1, Xe_017243-T1, Xe_017337-T1, Xe_001593-T1, Xe_001592-T1, Xe_017257-T1, Xe_001594-T1
OG0001018	XP_022781491.1, XP_022781667.1, XP_022781483.1	Xe_008111-T1
OG0001022	XP_022788883.1	Xe_028306-T1, Xe_028303-T1, Xe_010511-T1, Xe_028313-T1, Xe_028305-T1, Xe_028307-T1, Xe_028314-T1
OG0001026	XP_022778638.1, XP_022780918.1, XP_022807351.1	Xe_007066-T1, Xe_007067-T1, Xe_028547-T1, Xe_028555-T1, Xe_006851-T1
OG0001028	XP_022804607.1, XP_022810032.1, XP_022777594.1	Xe_004210-T1, Xe_004209-T1, Xe_004262-T1
OG0001032	XP_022782663.1	Xe_004896-T1, Xe_004899-T1, Xe_004891-T1
OG0001033	XP_022791185.1, XP_022791156.1, XP_022791162.1	Xe_011886-T1, Xe_011885-T1
OG0001043	XP_022779176.1	Xe_014296-T1
OG0001043	XP_022779213.1	Xe_014297-T1
OG0001044	XP_022792700.1	Xe_002342-T1
OG0001044	XP_022781047.1	Xe_001731-T1
OG0001047	XP_022788438.1, XP_022794904.1, XP_022794880.1, XP_022794907.1, XP_022794903.1, XP_022794878.1, XP_022794873.1	Xe_001363-T1
OG0001049	XP_022785382.1, XP_022785504.1, XP_022779112.1	Xe_002309-T1
OG0001050	XP_022801933.1	Xe_023405-T1, Xe_023409-T1, Xe_023396-T1, Xe_010841-T1, Xe_026105-T1
OG0001052	XP_022781454.1, XP_022781452.1, XP_022781462.1, XP_022781451.1, XP_022781324.1, XP_022781214.1	Xe_000346-T1
OG0001055	XP_022781427.1	Xe_010531-T1
OG0001055	XP_022788912.1, XP_022805941.1	Xe_005252-T1
OG0001056	XP_022802847.1	Xe_012828-T1, Xe_004000-T1, Xe_026676-T1, Xe_021102-T1, Xe_017608-T1, Xe_007371-T1, Xe_007983-T1, Xe_008845-T1
OG0001063	XP_022792667.1, XP_022778705.1	Xe_024746-T1
OG0001065	XP_022793262.1, XP_022783543.1, XP_022810110.1, XP_022785064.1, XP_022801744.1, XP_022779921.1	Xe_003552-T1, Xe_003548-T1, Xe_003536-T1
OG0001067	XP_022779022.1	Xe_027962-T1, Xe_015678-T1, Xe_015675-T1, Xe_014853-T1, Xe_003230-T1, Xe_014629-T1, Xe_015448-T1, Xe_014899-T1
OG0001082	XP_022782611.1, XP_022784284.1, XP_022784283.1	Xe_026664-T1, Xe_017691-T1, Xe_025171-T1, Xe_025520-T1, Xe_009246-T1, Xe_022513-T1, Xe_026761-T1
OG0001088	XP_022791105.1, XP_022807465.1, XP_022791109.1, XP_022787787.1	Xe_013390-T1, Xe_010968-T1, Xe_010967-T1, Xe_013389-T1, Xe_013388-T1, Xe_010971-T1
OG0001090	XP_022804485.1, XP_022804500.1, XP_022800708.1, XP_022801187.1, XP_022801145.1, XP_022804495.1, XP_022804491.1, XP_022804479.1, XP_022804481.1	Xe_020726-T1
OG0001091	XP_022802443.1	Xe_006530-T1, Xe_006547-T1, Xe_017181-T1, Xe_018178-T1, Xe_028656-T1, Xe_001436-T1, Xe_018179-T1, Xe_017182-T1, Xe_006548-T1
OG0001092	XP_022809068.1	Xe_005961-T1, Xe_005960-T1, Xe_005935-T1, Xe_005855-T1, Xe_005849-T1, Xe_005850-T1, Xe_005962-T1, Xe_005934-T1, Xe_005856-T1
OG0001130	XP_022782610.1	Xe_010545-T1
OG0001132	XP_022779381.1	Xe_013712-T1, Xe_013706-T1, Xe_013701-T1, Xe_013708-T1, Xe_013704-T1, Xe_013710-T1
OG0001133	XP_022785937.1, XP_022785918.1, XP_022785920.1, XP_022785891.1	Xe_009631-T1, Xe_009632-T2
OG0001135	XP_022795674.1	Xe_010874-T1, Xe_010873-T1, Xe_010871-T1, Xe_010197-T1, Xe_010193-T1, Xe_010876-T1
OG0001137	XP_022793389.1	Xe_008281-T1
OG0001137	XP_022780510.1	Xe_008065-T1
OG0001138	XP_022787804.1	Xe_015600-T1, Xe_028235-T1, Xe_023806-T1
OG0001139	XP_022791771.1, XP_022804460.1, XP_022804463.1, XP_022791678.1	Xe_005318-T1
OG0001141	XP_022779502.1	Xe_005406-T1
OG0001141	XP_022802234.1	Xe_021911-T1, Xe_020705-T1
OG0001145	XP_022793238.1, XP_022786563.1	Xe_003553-T1, Xe_018496-T1
OG0001148	XP_022786794.1	Xe_000210-T1, Xe_000203-T1, Xe_000207-T1, Xe_025605-T1, Xe_000145-T1
OG0001149	XP_022786235.1, XP_022798688.1	Xe_000178-T1
OG0001150	XP_022798680.1	Xe_010675-T1, Xe_023944-T1, Xe_016069-T1, Xe_023936-T1, Xe_025391-T1, Xe_009892-T1
OG0001153	XP_022802166.1, XP_022791935.1, XP_022802170.1, XP_022802172.1	Xe_007509-T1
OG0001154	XP_022782713.1	Xe_001100-T1, Xe_001095-T1, Xe_001103-T1, Xe_001096-T1, Xe_001097-T1, Xe_001099-T1
OG0001156	XP_022807684.1, XP_022807683.1, XP_022807670.1, XP_022807674.1	Xe_012179-T1
OG0001161	XP_022805409.1, XP_022810584.1	Xe_029072-T1
OG0001162	XP_022808756.1, XP_022800010.1, XP_022808755.1	Xe_029048-T1
OG0001163	XP_022789894.1, XP_022778702.1	Xe_002782-T1
OG0001163	XP_022785453.1	Xe_029084-T1
OG0001165	XP_022777814.1, XP_022797656.1	Xe_014730-T1
OG0001166	XP_022808681.1, XP_022806378.1, XP_022806391.1, XP_022780948.1, XP_022780849.1, XP_022797030.1	Xe_029011-T1
OG0001171	XP_022803487.1	Xe_012302-T1
OG0001172	XP_022782892.1, XP_022782925.1	Xe_013516-T1
OG0001173	XP_022784821.1, XP_022801356.1	Xe_021734-T1
OG0001179	XP_022804244.1	Xe_027985-T1, Xe_027986-T1, Xe_023112-T1, Xe_000414-T1, Xe_000416-T1, Xe_000415-T1
OG0001180	XP_022785857.1	Xe_004651-T1
OG0001180	XP_022784216.1	Xe_011714-T1
OG0001181	XP_022798388.1, XP_022807168.1	Xe_016197-T1
OG0001183	XP_022795573.1	Xe_005752-T1, Xe_005754-T1, Xe_005750-T1, Xe_005759-T1
OG0001185	XP_022782837.1, XP_022799278.1, XP_022792294.1, XP_022777649.1, XP_022792263.1	Xe_025851-T1
OG0001186	XP_022783653.1	Xe_014471-T1, Xe_014470-T1, Xe_017366-T1, Xe_017372-T1, Xe_017371-T1, Xe_017364-T1
OG0001187	XP_022799188.1, XP_022784073.1, XP_022799249.1, XP_022792148.1	Xe_016560-T1
OG0001188	XP_022784039.1, XP_022785686.1, XP_022804064.1	Xe_028839-T1
OG0001198	XP_022782486.1, XP_022782497.1	Xe_021253-T1
OG0001199	XP_022780247.1, XP_022780261.1	Xe_016513-T1, Xe_016514-T1
OG0001200	XP_022786687.1, XP_022785133.1	Xe_020732-T1
OG0001201	XP_022795429.1	Xe_011029-T1, Xe_011028-T1, Xe_011019-T1, Xe_019395-T1, Xe_011021-T1, Xe_011020-T1
OG0001202	XP_022781141.1, XP_022781142.1, XP_022781143.1, XP_022788254.1, XP_022781140.1	Xe_012719-T1
OG0001204	XP_022787803.1	Xe_006574-T1, Xe_006416-T1, Xe_006489-T1, Xe_006473-T1, Xe_006551-T1, Xe_006507-T1
OG0001208	XP_022782402.1, XP_022782400.1	Xe_015593-T1
OG0001208	XP_022782706.1	Xe_005630-T1
OG0001210	XP_022789157.1, XP_022789132.1	Xe_007439-T1, Xe_007440-T1
OG0001212	XP_022781072.1, XP_022781079.1	Xe_025830-T1, Xe_010891-T1, Xe_018277-T1
OG0001213	XP_022800767.1	Xe_021722-T1
OG0001213	XP_022784492.1	Xe_004127-T1, Xe_004301-T1
OG0001214	XP_022810613.1	Xe_012203-T1
OG0001217	XP_022785618.1	Xe_018687-T1, Xe_018696-T1, Xe_018689-T1, Xe_018706-T1
OG0001218	XP_022801439.1	Xe_015564-T1, Xe_015563-T1, Xe_015562-T1
OG0001221	XP_022797578.1, XP_022808817.1, XP_022808819.1, XP_022797544.1, XP_022797579.1, XP_022797567.1	Xe_009509-T1, Xe_009753-T1
OG0001222	XP_022778500.1	Xe_025920-T1, Xe_028382-T1, Xe_028409-T1, Xe_023931-T1, Xe_028110-T1, Xe_026359-T1
OG0001223	XP_022783791.1	Xe_007939-T1
OG0001223	XP_022783788.1	Xe_007940-T1
OG0001224	XP_022786529.1	Xe_022325-T1
OG0001225	XP_022792377.1, XP_022779181.1, XP_022779104.1, XP_022779105.1	Xe_001033-T1
OG0001227	XP_022801092.1, XP_022810585.1, XP_022787242.1	Xe_001203-T1
OG0001230	XP_022810362.1, XP_022802437.1	Xe_000865-T1, Xe_017942-T1, Xe_023328-T1, Xe_022459-T1
OG0001231	XP_022801726.1, XP_022800295.1	Xe_002865-T1
OG0001233	XP_022790274.1, XP_022792552.1, XP_022809542.1, XP_022805741.1	Xe_019763-T1
OG0001234	XP_022796031.1, XP_022796076.1, XP_022796073.1	Xe_021509-T1
OG0001236	XP_022795749.1	Xe_003726-T1, Xe_003651-T1
OG0001236	XP_022808036.1, XP_022803591.1	Xe_010598-T1
OG0001237	XP_022794129.1, XP_022801921.1	Xe_004357-T1, Xe_004360-T1
OG0001238	XP_022780800.1, XP_022780106.1, XP_022780084.1, XP_022781000.1	Xe_008180-T1
OG0001241	XP_022810102.1	Xe_025463-T1, Xe_007587-T1, Xe_010476-T1, Xe_025464-T1, Xe_009844-T1, Xe_009845-T1
OG0001242	XP_022792474.1, XP_022792467.1, XP_022792476.1	Xe_021622-T1
OG0001243	XP_022799329.1	Xe_002140-T1, Xe_002139-T1
OG0001246	XP_022801477.1	Xe_014351-T1
OG0001246	XP_022787184.1	Xe_014613-T1, Xe_014350-T1
OG0001247	XP_022788367.1, XP_022804378.1, XP_022797918.1, XP_022808179.1, XP_022778372.1, XP_022793672.1, XP_022792010.1	Xe_024775-T1
OG0001248	XP_022785068.1, XP_022809970.1	Xe_029142-T1, Xe_029122-T1
OG0001249	XP_022807557.1, XP_022782142.1	Xe_024732-T1, Xe_024729-T1, Xe_024725-T2, Xe_024724-T1
OG0001250	XP_022793289.1	Xe_014711-T1
OG0001250	XP_022804433.1, XP_022800693.1	Xe_016156-T1
OG0001252	XP_022780741.1, XP_022777746.1, XP_022805179.1, XP_022796388.1, XP_022805185.1, XP_022805173.1, XP_022796390.1	Xe_001443-T1
OG0001253	XP_022779299.1	Xe_027552-T1, Xe_028254-T1, Xe_016269-T1
OG0001257	XP_022810144.1	Xe_025212-T1
OG0001259	XP_022794924.1	Xe_010049-T1
OG0001259	XP_022794196.1	Xe_010048-T1
OG0001262	XP_022791722.1, XP_022791709.1, XP_022777434.1, XP_022791723.1, XP_022791689.1, XP_022802547.1	Xe_008779-T1
OG0001263	XP_022780658.1	Xe_016290-T1, Xe_016297-T1, Xe_016298-T1
OG0001265	XP_022791284.1	Xe_024667-T1, Xe_006820-T1, Xe_022071-T1, Xe_022071-T2, Xe_022069-T1
OG0001266	XP_022799416.1, XP_022787371.1	Xe_028815-T2, Xe_028815-T1
OG0001267	XP_022797233.1, XP_022793343.1	Xe_015312-T1
