Orthogroup	spis_longest_isoform_marker	aip_longest_isoforms
OG0001169	XP_022806343.1	XP_020907304.1, XP_028516937.1, XP_020898885.1, XP_020896732.1
OG0001169	XP_022794562.1	XP_028519137.1
OG0001170	XP_022782393.1	XP_020896796.1, XP_020917664.1
OG0001171	XP_022803487.1	XP_020896990.1, XP_020896991.1, XP_020908961.1, XP_020908941.1, XP_020909287.1
OG0001172	XP_022782892.1	XP_020899906.1
OG0001172	XP_022782925.1	XP_020897383.1, XP_020897073.1
OG0001173	XP_022784821.1, XP_022801356.1	XP_020897216.1
OG0001174	XP_022795032.1, XP_022783892.1	XP_020910587.1, XP_020916443.2, XP_020897304.1, XP_028512471.1, XP_028512474.1, XP_020917876.2, XP_020917867.1
OG0001177	XP_022802702.1	XP_020897340.1, XP_028515178.1, XP_028519133.1, XP_028517881.1, XP_020913710.2, XP_028515390.1
OG0001178	XP_022791945.1, XP_022791944.1	XP_028518972.1, XP_028514055.1, XP_028514069.1, XP_028514954.1, XP_020897469.2, XP_020915320.1
OG0001179	XP_022804244.1	XP_020897533.1
OG0001180	XP_022785857.1	XP_020897612.1
OG0001180	XP_022784216.1	XP_020905692.1
OG0001181	XP_022798388.1	XP_020907743.1, XP_020897663.1
OG0001181	XP_022807168.1	XP_020897827.1
OG0001182	XP_022801472.1	XP_020907073.1, XP_020902825.1, XP_020899211.1, XP_028514123.1, XP_020897741.1, XP_028514137.1
OG0001183	XP_022795573.1	XP_020897886.1
OG0001184	XP_022806066.1, XP_022806065.1	XP_020897911.1, XP_028513931.1
OG0001185	XP_022782837.1, XP_022799278.1, XP_022792294.1, XP_022777649.1, XP_022792263.1	XP_020907863.1, XP_020912590.1, XP_020898019.1
OG0001186	XP_022783653.1	XP_020898185.1
OG0001187	XP_022799249.1	XP_020898191.1, XP_020898188.1
OG0001188	XP_022784039.1, XP_022785686.1, XP_022804064.1	XP_020898335.1, XP_020898355.1, XP_020898370.1
OG0001190	XP_022791346.1	XP_028515122.1, XP_020898407.1
OG0001193	XP_022800321.1	XP_028513425.1
OG0001193	XP_022808758.1	XP_028512966.1, XP_028514293.1, XP_028517916.1, XP_020898573.1, XP_028512967.1
OG0001194	XP_022792493.1	XP_020898821.1, XP_020915438.1, XP_028516511.1
OG0001194	XP_022784270.1, XP_022778273.1	XP_020914510.1
OG0001195	XP_022800958.1, XP_022786107.1, XP_022805848.1, XP_022809934.1, XP_022802240.1, XP_022806711.1, XP_022805996.1	XP_020898832.1, XP_020905477.1
OG0001196	XP_022788423.1	XP_020899191.1
OG0001196	XP_022795456.1, XP_022795453.1, XP_022795454.1	XP_020899110.1, XP_020899111.1
OG0001198	XP_022782486.1	XP_020917285.1
OG0001198	XP_022782497.1	XP_020899335.1, XP_020899328.1
OG0001199	XP_022780247.1	XP_020899415.1
OG0001199	XP_022780261.1	XP_020901529.1, XP_020910867.1
OG0001200	XP_022785133.1	XP_020915952.1, XP_020899445.1, XP_020902573.1
OG0001201	XP_022795429.1	XP_020899736.1
OG0001202	XP_022781141.1, XP_022781142.1, XP_022781143.1, XP_022788254.1, XP_022781140.1	XP_020899757.1
OG0001203	XP_022786985.1, XP_022786976.1, XP_022801142.1, XP_022800570.1, XP_022808985.1, XP_022808987.1, XP_022798739.1, XP_022798738.1	XP_020899840.1
OG0001204	XP_022787803.1	XP_020899859.1
OG0001208	XP_022782402.1, XP_022782400.1	XP_020900523.1
OG0001208	XP_022782706.1	XP_020914456.1
OG0001210	XP_022789157.1, XP_022789132.1	XP_020901119.1, XP_020901118.1, XP_020901117.1, XP_020901122.1
OG0001211	XP_022800764.1	XP_020901272.2, XP_020915080.2, XP_028517301.1, XP_020903293.1, XP_020904560.1
OG0001212	XP_022781072.1, XP_022781079.1	XP_020901513.1, XP_020914420.1
OG0001213	XP_022800767.1	XP_020901628.1
OG0001213	XP_022784492.1	XP_020907196.1
OG0001214	XP_022810613.1	XP_020912846.1, XP_020901800.1, XP_020912845.1
OG0001216	XP_022782228.1, XP_022784874.1, XP_022788461.1, XP_022797595.1	XP_028514543.1, XP_020912141.1, XP_020903195.1
OG0001217	XP_022785618.1	XP_020903410.2
OG0001218	XP_022801439.1	XP_020903463.1
OG0001219	XP_022783106.1	XP_020903476.1
OG0001219	XP_022788437.1	XP_020906282.1
OG0001219	XP_022791157.1	XP_020912954.1
OG0001220	XP_022798041.1, XP_022801365.1, XP_022810421.1, XP_022777714.1, XP_022805808.1, XP_022783438.1, XP_022808320.1	XP_020908366.1, XP_020903892.2
OG0001221	XP_022797578.1, XP_022808817.1, XP_022808819.1, XP_022797544.1, XP_022797579.1, XP_022797567.1	XP_020904023.1
OG0001222	XP_022778500.1	XP_020904324.1
OG0001223	XP_022783791.1	XP_028515955.1
OG0001223	XP_022783788.1	XP_020904372.1, XP_020916539.1
OG0001224	XP_022786529.1	XP_028514497.1, XP_020906563.1, XP_020906585.1, XP_020904435.1
OG0001225	XP_022792377.1	XP_020915743.1
OG0001225	XP_022779104.1, XP_022779105.1	XP_020904588.1
OG0001226	XP_022794879.1	XP_020907861.1
OG0001226	XP_022800230.1, XP_022805977.1, XP_022809038.1, XP_022790023.1, XP_022804788.1	XP_020904621.2, XP_028519521.1
OG0001227	XP_022801092.1, XP_022810585.1, XP_022787242.1	XP_028516939.1, XP_020904708.2, XP_020907964.1
OG0001230	XP_022810362.1	XP_028516404.1
OG0001230	XP_022802437.1	XP_020905904.1
OG0001231	XP_022801726.1	XP_020914059.1, XP_020905983.1, XP_020906218.1
OG0001231	XP_022800295.1	XP_028517855.1
OG0001232	XP_022791469.1, XP_022791494.1	XP_028516563.1, XP_020906511.1, XP_028516558.1, XP_020906606.1
OG0001233	XP_022792552.1	XP_028512498.1
OG0001233	XP_022809542.1	XP_020914963.1, XP_020906728.1
OG0001233	XP_022805741.1	XP_028519062.1
OG0001234	XP_022796031.1, XP_022796076.1, XP_022796073.1	XP_020906826.1, XP_020906878.1
OG0001235	XP_022797433.1	XP_020913056.1
OG0001235	XP_022797416.1, XP_022797414.1	XP_020908361.1, XP_028518220.1
OG0001236	XP_022795749.1	XP_020908703.1
OG0001236	XP_022808036.1, XP_022803591.1	XP_028517012.1
OG0001237	XP_022794129.1, XP_022801921.1	XP_020909431.1, XP_020909144.1
OG0001238	XP_022780800.1, XP_022780106.1, XP_022780084.1, XP_022781000.1	XP_020909458.2, XP_028512549.1
OG0001239	XP_022798302.1, XP_022784820.1	XP_020909540.2
OG0001240	XP_022786170.1, XP_022792217.1	XP_028512783.1, XP_020909775.2, XP_028516849.1
OG0001241	XP_022810102.1	XP_020909972.1
OG0001242	XP_022792474.1, XP_022792467.1	XP_028517580.1, XP_020916339.1
OG0001242	XP_022792476.1	XP_020909973.1
OG0001243	XP_022799329.1	XP_020917253.1, XP_020910269.1
OG0001244	XP_022801341.1, XP_022787478.1, XP_022778379.1, XP_022809281.1, XP_022787690.1, XP_022807052.1	XP_020910369.2, XP_020915380.2
OG0001246	XP_022787184.1	XP_020911192.1
OG0001247	XP_022788367.1, XP_022804378.1, XP_022797918.1, XP_022808179.1, XP_022778372.1, XP_022793672.1, XP_022792010.1	XP_020911319.1
OG0001248	XP_022785068.1	XP_028512938.1
OG0001248	XP_022809970.1	XP_020914392.1
OG0001249	XP_022807557.1, XP_022782142.1	XP_020911669.1, XP_020911670.1
OG0001250	XP_022804433.1	XP_020912431.1
OG0001250	XP_022800693.1	XP_020911698.1
OG0001251	XP_022799863.1, XP_022804735.1, XP_022807268.1	XP_020911869.1, XP_020917574.1
OG0001252	XP_022780741.1, XP_022777746.1, XP_022805179.1, XP_022796388.1, XP_022805185.1, XP_022805173.1, XP_022796390.1	XP_020911953.1
OG0001253	XP_022779299.1	XP_020912007.1, XP_020913440.1
OG0001255	XP_022807486.1, XP_022809181.1	XP_028512558.1, XP_020912552.1, XP_028516996.1, XP_028515570.1, XP_020912312.1
OG0001256	XP_022780301.1, XP_022780283.1, XP_022780237.1, XP_022780330.1, XP_022780219.1	XP_020912419.1, XP_028518293.1, XP_028518312.1
OG0001257	XP_022810144.1	XP_028512935.1, XP_020912566.1
OG0001258	XP_022790328.1, XP_022800813.1, XP_022800801.1	XP_028518644.1, XP_020917770.1, XP_020913291.1, XP_020917769.1, XP_020913553.1
OG0001259	XP_022794924.1	XP_020917407.1, XP_020913354.2
OG0001259	XP_022794196.1	XP_020917453.1
OG0001260	XP_022796441.1, XP_022809279.1, XP_022779878.1, XP_022783434.1, XP_022791964.1	XP_020915223.1, XP_020916897.1
OG0001262	XP_022791722.1, XP_022791709.1, XP_022777434.1, XP_022791723.1, XP_022791689.1, XP_022802547.1	XP_020915602.1
OG0001263	XP_022780658.1	XP_020915675.1, XP_020915674.1, XP_020915686.1, XP_020915672.1
OG0001264	XP_022785007.1, XP_022785011.1	XP_020915709.2, XP_020915711.2, XP_020915683.1, XP_020915705.2, XP_028519197.1
OG0001265	XP_022791284.1	XP_020917136.1, XP_020917164.1
OG0001266	XP_022799416.1	XP_028515704.1
OG0001266	XP_022787371.1	XP_020917254.1
OG0001267	XP_022793343.1	XP_020917442.2
OG0001268	XP_022793965.1	XP_028518827.1, XP_020917633.2
OG0001270	XP_022779680.1	XP_028514068.1, XP_028514067.1, XP_028512951.1
OG0001271	XP_022804247.1, XP_022791624.1, XP_022807574.1, XP_022807033.1, XP_022777842.1, XP_022789002.1	XP_028513100.1
OG0001272	XP_022783998.1	XP_028513167.1
OG0001273	XP_022794459.1, XP_022787619.1, XP_022786973.1, XP_022786972.1, XP_022789307.1, XP_022785617.1	XP_028514441.1
OG0001274	XP_022789198.1, XP_022788134.1	XP_028514702.1
OG0001275	XP_022805372.1	XP_028516285.1
OG0001276	XP_022791498.1	XP_028516516.1
OG0001277	XP_022784581.1	XP_028516543.1
OG0001278	XP_022804687.1	XP_028516934.1, XP_028516935.1
OG0001279	XP_022798729.1	XP_028517990.1
OG0001280	XP_022777542.1	XP_028517991.1
OG0001281	XP_022810403.1, XP_022789930.1, XP_022795606.1, XP_022789961.1, XP_022795611.1, XP_022795618.1	XP_028518052.1
OG0001282	XP_022786952.1	XP_028519426.1
OG0001349	XP_022789922.1	XP_028512860.1
OG0001350	XP_022802323.1, XP_022802326.1, XP_022778324.1, XP_022802332.1	XP_020891801.1, XP_020917864.1
OG0001351	XP_022787214.1	XP_028513438.1, XP_020891876.1, XP_020900944.1, XP_020900945.1, XP_020901957.1, XP_020907793.2
OG0001352	XP_022782298.1, XP_022799371.1	XP_020895499.1
OG0001352	XP_022789875.1	XP_020892026.1, XP_020913267.1
OG0001354	XP_022784621.1	XP_020892192.1
OG0001354	XP_022784676.1, XP_022797756.1	XP_028513937.1
OG0001355	XP_022804681.1, XP_022804325.1, XP_022804659.1, XP_022804052.1, XP_022804034.1	XP_020892249.1
OG0001356	XP_022784737.1	XP_020897155.1, XP_020910283.1, XP_028514051.1, XP_020892283.1, XP_028512635.1
OG0001357	XP_022796193.1	XP_020892315.1
OG0001358	XP_022803556.1	XP_028514189.1, XP_028517358.1, XP_020892365.1
OG0001359	XP_022799647.1, XP_022804126.1, XP_022791803.1	XP_020914992.1, XP_020908409.1, XP_020892416.1, XP_020911079.1, XP_020900369.2
OG0001360	XP_022789200.1	XP_020892461.1
OG0001360	XP_022789246.1	XP_028514790.1, XP_028514783.1, XP_028516717.1
OG0001361	XP_022790998.1	XP_020892469.1, XP_020899220.1
OG0001363	XP_022780345.1	XP_020914436.1
OG0001363	XP_022780353.1	XP_020897012.1, XP_020892652.2
OG0001364	XP_022790186.1	XP_020892700.1
OG0001365	XP_022799625.1	XP_020909827.1
OG0001365	XP_022799644.1, XP_022799643.1	XP_020907825.1
OG0001366	XP_022778458.1	XP_020893748.1, XP_020892821.1, XP_020893841.1, XP_020897633.1
OG0001366	XP_022807959.1	XP_020904715.1
OG0001367	XP_022791604.1	XP_020892897.2
OG0001368	XP_022802168.1	XP_020892955.1, XP_020892978.1
OG0001369	XP_022801655.1	XP_020893024.1
OG0001369	XP_022801649.1, XP_022801644.1, XP_022801651.1	XP_020913333.1
OG0001371	XP_022782587.1, XP_022782616.1, XP_022782615.1, XP_022782614.1	XP_020898728.1, XP_020893095.1
OG0001372	XP_022784867.1, XP_022786033.1	XP_020893331.1
OG0001373	XP_022805671.1, XP_022788931.1	XP_020893398.1, XP_028516219.1
OG0001374	XP_022795556.1, XP_022795555.1, XP_022795558.1	XP_020893447.1, XP_020901067.1, XP_020901065.1
OG0001375	XP_022795589.1	XP_020893466.2, XP_020911484.2, XP_020912817.1
OG0001376	XP_022794949.1	XP_020893627.1
OG0001376	XP_022787921.1	XP_020910028.1, XP_020906249.1
OG0001377	XP_022795521.1, XP_022795523.1	XP_020893856.1, XP_020896688.1, XP_020916029.1, XP_020916234.1
OG0001378	XP_022799687.1	XP_020893866.1
OG0001379	XP_022782858.1	XP_020897555.1
OG0001379	XP_022796122.1	XP_028516568.1, XP_020916388.2, XP_020893923.1, XP_028519517.1
OG0001380	XP_022792071.1	XP_020909126.1
OG0001380	XP_022780487.1, XP_022780489.1	XP_020893940.1
OG0001382	XP_022804799.1, XP_022778451.1	XP_020894446.2, XP_028516672.1, XP_020914496.2
OG0001384	XP_022782537.1, XP_022798669.1	XP_020894548.1
OG0001384	XP_022794821.1	XP_020895798.1
OG0001385	XP_022785012.1, XP_022799314.1	XP_020894622.1
OG0001385	XP_022790988.1	XP_020905643.1
OG0001386	XP_022790620.1, XP_022790621.1, XP_022790623.1, XP_022790633.1	XP_020894648.1, XP_020914757.1
OG0001387	XP_022792363.1	XP_020907529.1, XP_020907507.1, XP_020894856.1, XP_020894728.1, XP_028515421.1, XP_020902329.1, XP_028515420.1
OG0001388	XP_022778127.1, XP_022789311.1, XP_022789277.1, XP_022788558.1, XP_022788559.1, XP_022783270.1	XP_020894852.1
OG0001390	XP_022800792.1	XP_020895451.2
OG0001391	XP_022805384.1	XP_028513461.1
OG0001392	XP_022785526.1	XP_020895525.1
OG0001392	XP_022802936.1, XP_022796708.1	XP_020902980.1, XP_020901698.1
OG0001393	XP_022791437.1	XP_020896073.1, XP_020895536.2
OG0001394	XP_022793625.1	XP_020895600.1
OG0001394	XP_022793626.1	XP_020895585.1
OG0001395	XP_022806007.1, XP_022805994.1, XP_022799408.1	XP_020895745.2, XP_028513550.1
OG0001396	XP_022779334.1	XP_028514329.1, XP_020895789.2, XP_028514341.1
OG0001398	XP_022786591.1	XP_020911301.1, XP_020907149.2, XP_020896002.1, XP_020905526.1
OG0001399	XP_022806173.1, XP_022806178.1, XP_022806174.1	XP_020896044.2, XP_028513653.1, XP_020896116.1, XP_020908584.1, XP_020896084.1
OG0001400	XP_022804580.1	XP_020896149.1
OG0001401	XP_022810203.1, XP_022784583.1, XP_022803814.1, XP_022810199.1	XP_020896182.1
OG0001402	XP_022787912.1	XP_020902025.1
OG0001402	XP_022796946.1	XP_020896337.1
OG0001403	XP_022790585.1, XP_022790554.1, XP_022807977.1, XP_022789121.1	XP_020901553.1, XP_020896342.1
OG0001405	XP_022789631.1, XP_022789669.1	XP_020896409.1, XP_028513720.1
OG0001406	XP_022796314.1, XP_022796303.1, XP_022796290.1	XP_028513769.1, XP_028513768.1, XP_020896443.1, XP_020907174.1
OG0001407	XP_022792587.1, XP_022792594.1, XP_022806203.1, XP_022806202.1, XP_022777747.1, XP_022792591.1, XP_022806205.1	XP_020896516.2
OG0001408	XP_022794766.1, XP_022794826.1, XP_022794825.1, XP_022794770.1, XP_022802646.1	XP_020896620.1, XP_020896626.1
OG0001409	XP_022808087.1	XP_020896623.1, XP_020907637.1, XP_020907634.1, XP_020907635.1, XP_020907633.2, XP_020907629.2, XP_020907640.1
OG0001410	XP_022778182.1	XP_028513840.1, XP_020896701.2, XP_020896683.1
OG0001411	XP_022791997.1, XP_022792005.1	XP_020896857.1, XP_020896912.1
OG0001412	XP_022810496.1	XP_020905592.1, XP_020896952.2
OG0001413	XP_022778229.1, XP_022791464.1, XP_022777760.1	XP_020901104.2, XP_020897097.1, XP_020897038.1, XP_020900613.2
OG0001414	XP_022798406.1	XP_020897645.1
OG0001416	XP_022787027.1	XP_020897919.1
OG0001416	XP_022779715.1	XP_028514162.1
OG0001417	XP_022802047.1	XP_028519081.1
OG0001417	XP_022788408.1, XP_022788395.1	XP_020898086.2
OG0001418	XP_022792902.1, XP_022807550.1, XP_022801051.1	XP_020898110.1
OG0001419	XP_022781660.1, XP_022781584.1, XP_022781662.1, XP_022796600.1, XP_022781661.1, XP_022781607.1	XP_020898132.1
OG0001420	XP_022790465.1	XP_028514246.1, XP_020898172.1
OG0001421	XP_022779057.1	XP_020898184.1
OG0001421	XP_022809635.1	XP_028517407.1
OG0001422	XP_022790912.1	XP_020898192.1, XP_028518400.1, XP_020912723.1
OG0001423	XP_022807366.1, XP_022807371.1	XP_020898230.1, XP_020901904.1, XP_020906189.1, XP_028515275.1, XP_020906190.1
OG0001424	XP_022779551.1, XP_022779599.1, XP_022778486.1, XP_022778588.1, XP_022796335.1, XP_022779597.1, XP_022779600.1	XP_020898281.2
OG0001425	XP_022788804.1, XP_022792955.1	XP_020898315.1, XP_020898291.1, XP_020913446.1, XP_020913445.1
OG0001426	XP_022794780.1	XP_028517851.1, XP_020898467.2
OG0001428	XP_022782696.1	XP_020908626.1, XP_020898730.1
OG0001428	XP_022807987.1	XP_020907103.1
OG0001429	XP_022786956.1	XP_028518344.1, XP_028513537.1, XP_028519385.1, XP_020898771.1, XP_028519629.1, XP_028513075.1
OG0001430	XP_022809089.1	XP_020898854.1
OG0001431	XP_022796479.1	XP_020898877.1, XP_020914114.1
OG0001432	XP_022782396.1, XP_022782313.1	XP_028519006.1
OG0001433	XP_022808398.1	XP_020899378.1
OG0001433	XP_022809203.1	XP_028513003.1
OG0001434	XP_022780076.1, XP_022809024.1	XP_020899476.1
OG0001434	XP_022780938.1	XP_020914883.1
OG0001435	XP_022780089.1	XP_020899599.1
OG0001436	XP_022804287.1, XP_022804270.1	XP_020899658.1, XP_020899670.1
OG0001437	XP_022793988.1	XP_020916014.2, XP_020899830.1, XP_020899829.2
OG0001438	XP_022795629.1	XP_020910240.1, XP_020906036.2, XP_028516375.1, XP_020906035.1, XP_020899867.1, XP_020905935.1, XP_020916410.1
OG0001439	XP_022783649.1, XP_022793381.1	XP_020899955.1
OG0001440	XP_022782904.1	XP_028513367.1, XP_020912601.1, XP_028518359.1, XP_020900128.1, XP_020900129.1
OG0001441	XP_022782502.1	XP_020900148.1
OG0001442	XP_022801676.1	XP_020900161.1
OG0001442	XP_022807621.1	XP_020908778.1
OG0001443	XP_022798171.1	XP_020900178.1, XP_028519249.1, XP_020915901.2, XP_028515015.1, XP_028517633.1, XP_028517631.1, XP_020910095.1
OG0001444	XP_022806586.1	XP_020900311.1, XP_028513470.1, XP_020901381.2
OG0001445	XP_022796966.1	XP_020900313.1, XP_020900312.2, XP_028512767.1
OG0001446	XP_022795772.1	XP_020902718.1
OG0001446	XP_022795785.1	XP_020900377.1
OG0001447	XP_022785400.1	XP_020900441.1
OG0001447	XP_022792329.1	XP_020917244.1
OG0001448	XP_022800009.1	XP_020903103.1, XP_020900531.1, XP_020903090.1
OG0001449	XP_022782367.1, XP_022780099.1	XP_020906504.1
OG0001449	XP_022798838.1	XP_020900686.1
OG0001450	XP_022796775.1, XP_022796766.1	XP_020900765.1, XP_020900766.1, XP_020900764.1
OG0001451	XP_022778519.1, XP_022778684.1, XP_022778931.1	XP_028514634.1, XP_028515035.1, XP_020901024.1, XP_028513300.1
OG0001452	XP_022784207.1	XP_020901100.1
OG0001454	XP_022801883.1, XP_022800358.1	XP_020901200.1
OG0001455	XP_022784754.1	XP_020901236.1
OG0001456	XP_022790225.1	XP_020901399.1
OG0001457	XP_022784172.1	XP_020901409.1
OG0001458	XP_022808265.1, XP_022810580.1, XP_022806172.1, XP_022784143.1	XP_020901437.2
OG0001459	XP_022779938.1	XP_028515091.1, XP_020901600.1, XP_020901601.1, XP_028515093.1, XP_028514935.1
OG0001460	XP_022788758.1, XP_022804382.1	XP_020901637.1
OG0001461	XP_022807741.1	XP_020901687.1
OG0001462	XP_022788193.1, XP_022801190.1, XP_022801161.1, XP_022788198.1, XP_022798116.1, XP_022788191.1	XP_020901729.1
OG0001463	XP_022787995.1	XP_028512702.1, XP_020917493.1
OG0001463	XP_022807494.1	XP_020901939.1
OG0001464	XP_022789317.1	XP_020904505.1, XP_020904503.1
OG0001464	XP_022787972.1	XP_020901958.1, XP_028514089.1
OG0001465	XP_022787906.1	XP_020902160.2
OG0001465	XP_022786792.1	XP_020912213.1
OG0001466	XP_022798046.1, XP_022795187.1, XP_022792357.1	XP_020902360.1
OG0001467	XP_022785884.1	XP_020902472.1
OG0001467	XP_022798380.1	XP_020906921.1
OG0001468	XP_022800941.1, XP_022800942.1, XP_022800962.1, XP_022790844.1	XP_020904662.1, XP_020902498.1
OG0001469	XP_022802621.1	XP_020902791.1
OG0001469	XP_022777548.1	XP_028518070.1
OG0001470	XP_022786308.1, XP_022786294.1, XP_022809513.1	XP_028514729.1, XP_028519019.1, XP_020910487.1, XP_020902932.1, XP_028515596.1
OG0001471	XP_022807143.1	XP_028518603.1, XP_020903007.2, XP_028514788.1, XP_028518601.1, XP_028515615.1
OG0001472	XP_022786749.1	XP_020903190.1
OG0001472	XP_022786724.1	XP_020903194.1, XP_020903193.1
OG0001473	XP_022795623.1	XP_028514920.1, XP_028516844.1
OG0001473	XP_022795633.1	XP_020903382.1
OG0001475	XP_022799924.1	XP_020903552.1
OG0001477	XP_022806380.1	XP_020903567.1, XP_028515754.1, XP_020903695.1
OG0001477	XP_022806379.1	XP_028515755.1
OG0001478	XP_022786152.1, XP_022802779.1, XP_022799900.1	XP_020903881.1
OG0001479	XP_022792086.1	XP_020903906.1
OG0001479	XP_022792713.1	XP_020908884.1
OG0001480	XP_022807537.1	XP_020903908.1
OG0001481	XP_022784067.1	XP_020904478.1
OG0001482	XP_022799774.1, XP_022808875.1, XP_022784355.1, XP_022810639.1, XP_022796604.1, XP_022800043.1	XP_020904402.1, XP_020904391.1
OG0001484	XP_022803358.1	XP_028518407.1
OG0001484	XP_022794107.1	XP_020904711.1, XP_028517054.1
OG0001485	XP_022800272.1	XP_020904857.1
OG0001486	XP_022785723.1	XP_028516162.1
OG0001486	XP_022785724.1	XP_020905190.1
OG0001487	XP_022805703.1	XP_020913889.1
OG0001487	XP_022784112.1	XP_020914696.1, XP_020905450.1
OG0001488	XP_022798524.1, XP_022801059.1	XP_020908670.1, XP_020905511.1
OG0001489	XP_022798256.1	XP_020905540.1, XP_020910091.1
OG0001491	XP_022802103.1	XP_028518313.1, XP_020910125.1
OG0001491	XP_022783293.1, XP_022802375.1, XP_022777687.1	XP_028514344.1, XP_020905889.1
OG0001492	XP_022808967.1	XP_020905908.2, XP_020905912.1, XP_028518088.1, XP_020915651.1, XP_028517409.1
OG0001493	XP_022793636.1	XP_020905938.1, XP_020911327.1, XP_020907382.1
OG0001494	XP_022791671.1, XP_022793235.1	XP_028516353.1, XP_028516354.1, XP_020905956.1, XP_028516361.1
OG0001495	XP_022800421.1, XP_022800424.1, XP_022808650.1, XP_022808646.1, XP_022789409.1, XP_022808645.1, XP_022808644.1	XP_020906147.1
OG0001496	XP_022783033.1	XP_020906170.1, XP_020906162.1
OG0001497	XP_022803375.1	XP_020912634.2, XP_020907832.2
OG0001497	XP_022803374.1	XP_020906424.1
OG0001498	XP_022803406.1	XP_020906432.1
OG0001499	XP_022810195.1, XP_022798812.1, XP_022777688.1, XP_022798840.1, XP_022791601.1	XP_020906774.1, XP_028515982.1
OG0001500	XP_022802564.1	XP_020907315.2
OG0001501	XP_022809858.1	XP_020907506.1
OG0001501	XP_022778337.1	XP_020908571.1
OG0001502	XP_022791760.1, XP_022791680.1, XP_022791764.1	XP_020907638.2
OG0001503	XP_022808573.1, XP_022808572.1, XP_022778540.1, XP_022777509.1, XP_022808570.1	XP_020908119.2
OG0001504	XP_022800770.1	XP_020908174.1
OG0001504	XP_022784195.1	XP_020917645.1
OG0001505	XP_022796019.1, XP_022796265.1	XP_020908369.1, XP_028518865.1
OG0001505	XP_022799887.1, XP_022784022.1	XP_020908743.1
OG0001507	XP_022792016.1	XP_028516131.1
OG0001507	XP_022782444.1	XP_028517159.1, XP_020908676.1
OG0001508	XP_022795303.1	XP_020908930.1
OG0001508	XP_022788961.1, XP_022807255.1, XP_022795282.1, XP_022809206.1, XP_022810256.1	XP_028517254.1
OG0001509	XP_022808955.1, XP_022778549.1, XP_022794270.1, XP_022808956.1, XP_022808953.1	XP_020909142.1
OG0001510	XP_022780515.1	XP_020911918.2, XP_020909685.1
OG0001510	XP_022807869.1	XP_028513266.1
OG0001512	XP_022803526.1, XP_022802724.1	XP_020909787.1, XP_020909772.1, XP_020909771.1
OG0001513	XP_022799614.1	XP_020910290.1
OG0001513	XP_022808430.1	XP_020909959.1
OG0001514	XP_022785841.1, XP_022785832.1, XP_022785831.1	XP_028513282.1, XP_020910085.1, XP_028514005.1
OG0001515	XP_022795860.1, XP_022795821.1	XP_020910451.1
OG0001516	XP_022799405.1, XP_022795986.1	XP_020910706.1
OG0001518	XP_022794553.1, XP_022803020.1, XP_022807947.1	XP_028514956.1, XP_020910833.1
OG0001519	XP_022778603.1	XP_020910853.1
OG0001520	XP_022794824.1, XP_022809197.1, XP_022778432.1	XP_020911000.1, XP_020911050.1
OG0001521	XP_022797613.1	XP_020911021.1
OG0001521	XP_022797899.1	XP_020911022.1, XP_028519738.1
OG0001522	XP_022783832.1	XP_020911066.1
OG0001522	XP_022796856.1, XP_022796858.1, XP_022790133.1	XP_028512914.1
OG0001523	XP_022793180.1	XP_020913478.1
OG0001523	XP_022793177.1, XP_022781152.1	XP_020911328.1
OG0001524	XP_022786436.1, XP_022786406.1, XP_022786405.1	XP_020911512.2, XP_020911517.1
OG0001526	XP_022806273.1	XP_020911583.2, XP_028514031.1
OG0001527	XP_022788830.1	XP_028518095.1, XP_020911611.1, XP_020911608.1
OG0001528	XP_022804323.1	XP_020911741.1
OG0001528	XP_022797399.1	XP_028519672.1
OG0001529	XP_022780467.1	XP_028518487.1, XP_028518485.1, XP_028518486.1, XP_020912986.1, XP_020911824.1, XP_028518484.1
OG0001531	XP_022792982.1	XP_020911954.1
OG0001532	XP_022807161.1	XP_020912578.1, XP_028518338.1, XP_020912525.1, XP_028513826.1, XP_028518137.1, XP_028517565.1, XP_020912023.1
OG0001533	XP_022795548.1, XP_022807194.1, XP_022809086.1, XP_022795547.1, XP_022809979.1, XP_022809087.1	XP_020912073.1
OG0001534	XP_022780117.1	XP_028519134.1, XP_028514610.1, XP_028519642.1, XP_020912126.1, XP_028517186.1, XP_020915925.2
OG0001535	XP_022786580.1	XP_020912338.1
OG0001537	XP_022785429.1	XP_020916584.1, XP_020912623.1, XP_020916589.1
OG0001538	XP_022795944.1	XP_020915355.1
OG0001538	XP_022789275.1	XP_020913072.1
OG0001539	XP_022807313.1	XP_020913171.1, XP_020913264.1, XP_028518571.1
OG0001540	XP_022798478.1, XP_022791614.1	XP_020913359.1, XP_020913405.1, XP_028512651.1, XP_028518595.1
OG0001541	XP_022780623.1	XP_020913388.1, XP_028518583.1
OG0001542	XP_022790980.1, XP_022790981.1, XP_022786859.1, XP_022786857.1	XP_020913429.1, XP_028518516.1
OG0001543	XP_022790382.1	XP_020913522.1
OG0001544	XP_022794042.1, XP_022794041.1, XP_022794044.1, XP_022800305.1, XP_022800224.1	XP_020914025.1
OG0001545	XP_022794635.1, XP_022781663.1, XP_022794646.1, XP_022809615.1	XP_020914236.2
OG0001546	XP_022795186.1	XP_020914307.1
OG0001548	XP_022806485.1, XP_022806484.1	XP_028515646.1, XP_020914624.1
OG0001548	XP_022791377.1, XP_022780923.1	XP_028515647.1
