gene.ID	PFAM	gene_name	total.UMIs	X..UMIs	median.fc	tf	cell_type
Spis_XP_022779822_1	BCCT/	uncharacterized protein LOC111321256	725	10.41	2.58	no	digestive_filaments
Spis_XP_022784780_1	Peptidase_M13_N/Peptidase_M13/	endothelin_converting_enzyme_1	172	35.17	2.42	no	digestive_filaments
Spis_XP_022788591_1		signal_peptide_CUB_domain_and_EGF_like_domain_containing_2	780	10.67	2.33	no	digestive_filaments
Spis_XP_022789725_1	RFX_DNA_binding/	RFX.RFX4/RFX6/RFX8	210	34.83	2.33	yes	digestive_filaments
Spis_XP_022798775_1	Sfi1/Sfi1/	uncharacterized protein LOC111336869	171	25.33	2.3	no	digestive_filaments
Spis_XP_022806535_1		uncharacterized protein LOC111343619	352	10.65	2.28	no	digestive_filaments
Spis_XP_022807059_1	PH/BTK/Pkinase_Tyr/	Pkinase.HG24.1:like:BMX/BTK/ITK/TEC/TXK:likeclu:3	151	43.52	2.23	no	digestive_filaments
Spis_XP_022806534_1		sushi_von_Willebrand_factor_type_A_EGF_and_pentraxin_domain_containing_1	373	10.57	2.16	no	digestive_filaments
Spis_XP_022805580_1		LOW QUALITY PROTEIN: trichohyalin-like	294	11.2	2.05	no	digestive_filaments
Spis_XP_022806349_1	F-box-like/WD40/WD40/WD40/WD40/WD40/WD40/	F_box_and_WD_repeat_domain_containing_7	902	7.32	2.03	no	digestive_filaments
Spis_XP_022795138_1	Sushi/FXa_inhibition/Zona_pellucida/	oncoprotein_induced_transcript_3	148	57.81	2	no	digestive_filaments
Spis_XP_022798424_1	An_peroxidase/	peroxidasin	14314	70.35	21.31	no	epidermis_1
Spis_XP_022786238_1	MAM/fn3/fn3/fn3/Trypsin/MAM/MAM/fn3/fn3/fn3/fn3/fn3/Trypsin/MAM/MAM/	fibronectin.HG8.0:F12/HGFAC/PLAT	2224	57.74	6.69	no	epidermis_1
Spis_XP_022801475_1		centrosome-associated protein CEP250-like	2333	35.07	4.25	no	epidermis_1
Spis_XP_022803773_1		uncharacterized skeletal organic matrix protein 5-like	1735	72.35	3.72	no	epidermis_1
Spis_XP_022789892_1	Pkinase/	myosin_light_chain_kinase	2153	48.06	3.58	no	epidermis_1
Spis_XP_022803774_1		uncharacterized skeletal organic matrix protein 5-like	1490	70.48	3.44	no	epidermis_1
Spis_XP_022794543_1	TIG/PA14/TIG/TIG/TIG/TIG/TIG/TIG/TIG/TIG/TIG/TIG/G8/G8/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/	PKHD1_like_1	1097	61.15	3.36	no	epidermis_1
Spis_XP_022780954_1	Transferrin/	melanotransferrin	1035	29.2	3.05	no	epidermis_1
Spis_XP_022788453_1	DOMON/DOMON/	monooxygenase_DBH_like_1	1145	18.62	2.83	no	epidermis_1
Spis_XP_022804844_1		uncharacterized protein LOC111342071	733	51.26	2.65	no	epidermis_1
Spis_XP_022786254_1	Trypsin/MAM/MAM/fn3/fn3/fn3/fn3/fn3/Trypsin/MAM/MAM/fn3/	fibronectin.HG8.0:F12/HGFAC/PLAT	720	59.95	2.56	no	epidermis_1
Spis_XP_022801462_1	Band_3_cyto/HCO3_cotransp/	solute_carrier_family_4_member_10	1187	28.47	2.51	no	epidermis_1
Spis_XP_022798766_1	p450/	CYP.HG1.16:CYP17A1/CYP21A2	1003	27.55	2.48	no	epidermis_1
Spis_XP_022800496_1	EF-hand_5/EF-hand_5/EF-hand_8/	reticulocalbin_1	834	28.27	2.48	no	epidermis_1
Spis_XP_022793177_1	I-set/Ig_3/Ig_3/Ig_3/fn3/fn3/	fibronectin.HG16.0:like:LY75/MMP9/MRC1/MRC2/NCAM1/NCAM2/PLA2R1/SEL1L:likeclu:3/7/8	1119	24.81	2.4	no	epidermis_1
Spis_XP_022794139_1	CUB/cEGF/Zona_pellucida/	uromodulin	617	70.84	2.4	no	epidermis_1
Spis_XP_022786186_1	BCCT/PLAC8/	uncharacterized protein LOC111326449	885	29.66	2.38	no	epidermis_1
Spis_XP_022788591_1		signal_peptide_CUB_domain_and_EGF_like_domain_containing_2	1578	21.59	2.37	no	epidermis_1
Spis_XP_022797264_1		protein MLP1-like	2327	26.07	2.34	no	epidermis_1
Spis_XP_022778020_1	EGF/	versican core protein-like	756	44.63	2.32	no	epidermis_1
Spis_XP_022779869_1	Catalase/Catalase-rel/	catalase	1274	19.18	2.3	no	epidermis_1
Spis_XP_022802583_1	HEPN_DZIP3/TPR_8/zf-CHY/	DAZ_interacting_zinc_finger_protein_3	986	20.24	2.26	no	epidermis_1
Spis_XP_022808030_1	RRM_1/	RRM.HG2.10:RBM24/RBM38	886	35.96	2.25	no	epidermis_1
Spis_XP_022788581_1		uncharacterized protein LOC111328421	2314	16.65	2.19	no	epidermis_1
Spis_XP_022798140_1	Tropomyosin/	uncharacterized protein LOC111336328	549	30.37	2.16	no	epidermis_1
Spis_XP_022785414_1	Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/	Spectrin.HG3.0:like:DMD/DRP2/UTRN:likeclu:2	1205	14.71	2.07	no	epidermis_1
Spis_XP_022787100_1	SRCR/	deleted_in_malignant_brain_tumors_1	347	66.22	2.01	no	epidermis_1
Spis_XP_022779869_1	Catalase/Catalase-rel/	catalase	1563	23.53	5.47	no	epidermis_2
Spis_XP_022786238_1	MAM/fn3/fn3/fn3/Trypsin/MAM/MAM/fn3/fn3/fn3/fn3/fn3/Trypsin/MAM/MAM/	fibronectin.HG8.0:F12/HGFAC/PLAT	807	20.95	4.87	no	epidermis_2
Spis_XP_022782222_1	HSP20/HSP20/HSP20/HSP20/	crystallin_alpha_B	2115	47.7	4.25	no	epidermis_2
Spis_XP_022803853_1	DOMON/Cu2_monooxygen/Cu2_monoox_C/	monooxygenase_DBH_like_1	668	41.91	3.71	no	epidermis_2
Spis_XP_022801475_1		centrosome-associated protein CEP250-like	968	14.55	3.58	no	epidermis_2
Spis_XP_022778020_1	EGF/	versican core protein-like	503	29.69	3.23	no	epidermis_2
Spis_XP_022788453_1	DOMON/DOMON/	monooxygenase_DBH_like_1	1080	17.57	3.18	no	epidermis_2
Spis_XP_022798424_1	An_peroxidase/	peroxidasin	1493	7.34	3.12	no	epidermis_2
Spis_XP_022798140_1	Tropomyosin/	uncharacterized protein LOC111336328	422	23.34	3.09	no	epidermis_2
Spis_XP_022788415_1	Collagen/EPTP/EPTP/EPTP/EPTP/EPTP/	Collagen.HG17.0:NA	294	19.18	2.82	no	epidermis_2
Spis_XP_022797141_1	PB1/ZZ/UBA_5/	sequestosome_1	1369	37.13	2.82	no	epidermis_2
Spis_XP_022786186_1	BCCT/PLAC8/	uncharacterized protein LOC111326449	801	26.84	2.77	no	epidermis_2
Spis_XP_022805253_1	GST_N/GST_C_3/	hematopoietic_prostaglandin_D_synthase	797	39.99	2.76	no	epidermis_2
Spis_XP_022794543_1	TIG/PA14/TIG/TIG/TIG/TIG/TIG/TIG/TIG/TIG/TIG/TIG/G8/G8/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/	PKHD1_like_1	281	15.66	2.74	no	epidermis_2
Spis_XP_022810075_1		uncharacterized protein LOC111347079	372	10.58	2.74	no	epidermis_2
Spis_XP_022780954_1	Transferrin/	melanotransferrin	430	12.13	2.72	no	epidermis_2
Spis_XP_022805241_1	GST_N/GST_C_3/GST_N/GST_C_3/GST_N/GST_C_3/	hematopoietic_prostaglandin_D_synthase	726	30.15	2.69	no	epidermis_2
Spis_XP_022791409_1	zf-CHY/zf-RING_2/	zinc finger CCCH domain-containing protein 13-like	1110	18.61	2.68	no	epidermis_2
Spis_XP_022788581_1		uncharacterized protein LOC111328421	1228	8.84	2.66	no	epidermis_2
Spis_XP_022804844_1		uncharacterized protein LOC111342071	418	29.23	2.54	no	epidermis_2
Spis_XP_022781838_1	GST_N_3/CENP-B_N/HTH_Tnp_Tc5/GST_N_3/GST_C_2/	glutathione_S_transferase_omega_1	751	31.61	2.52	no	epidermis_2
Spis_XP_022798766_1	p450/	CYP.HG1.16:CYP17A1/CYP21A2	594	16.32	2.47	no	epidermis_2
Spis_XP_022807481_1	ZU5/	netrin receptor UNC5C-like isoform X1	311	16.56	2.43	no	epidermis_2
Spis_XP_022798607_1	Spond_N/	spondin_1	530	45.42	2.4	no	epidermis_2
Spis_XP_022780380_1	Homeodomain/OAR/	Homeodomains.like:PRD_OTP/PRD_PROP1	257	26.04	2.37	yes	epidermis_2
Spis_XP_022798601_1	Spond_N/	spondin_2	626	16.11	2.32	no	epidermis_2
Spis_XP_022790207_1	Ribosomal_L16/	ribosomal_protein_L10	1084	12.27	2.31	no	epidermis_2
Spis_XP_022796208_1		LOW QUALITY PROTEIN: uncharacterized protein LOC111334664	971	6.38	2.31	no	epidermis_2
Spis_XP_022789892_1	Pkinase/	myosin_light_chain_kinase	369	8.24	2.3	no	epidermis_2
Spis_XP_022800496_1	EF-hand_5/EF-hand_5/EF-hand_8/	reticulocalbin_1	418	14.17	2.26	no	epidermis_2
Spis_XP_022803774_1		uncharacterized skeletal organic matrix protein 5-like	182	8.61	2.18	no	epidermis_2
Spis_XP_022797366_1	Preseq_ALAS/Aminotran_1_2/	5_aminolevulinate_synthase_1	524	13.47	2.17	no	epidermis_2
Spis_XP_022797443_1	DOMON/Cu2_monooxygen/Cu2_monoox_C/	monooxygenase_DBH_like_1	1121	38.34	2.16	no	epidermis_2
Spis_XP_022805251_1	GST_N/GST_C_3/	hematopoietic_prostaglandin_D_synthase	494	60.39	2.15	no	epidermis_2
Spis23273_1	Laminin_G_3/	Laminin.HG28.0:NA	161	35.62	2.13	no	epidermis_2
Spis_XP_022785432_1	UPA/	unc_5_netrin_receptor_C	520	12.88	2.13	no	epidermis_2
Spis_XP_022808261_1		uncharacterized protein LOC111345249	371	15.5	2.12	no	epidermis_2
Spis_XP_022792089_1		uncharacterized protein LOC111331281	437	25.92	2.11	no	epidermis_2
Spis_XP_022793177_1	I-set/Ig_3/Ig_3/Ig_3/fn3/fn3/	fibronectin.HG16.0:like:LY75/MMP9/MRC1/MRC2/NCAM1/NCAM2/PLA2R1/SEL1L:likeclu:3/7/8	459	10.18	2.1	no	epidermis_2
Spis_XP_022797547_1	APP_N/APP_Cu_bd/APP_E2/APP_amyloid/	amyloid_beta_precursor_like_protein_2	476	8.74	2.1	no	epidermis_2
Spis_XP_022786254_1	Trypsin/MAM/MAM/fn3/fn3/fn3/fn3/fn3/Trypsin/MAM/MAM/fn3/	fibronectin.HG8.0:F12/HGFAC/PLAT	198	16.49	2.07	no	epidermis_2
Spis_XP_022796983_1	SH3_1/PX/SH3_1/SH3_1/SH3_1/	SH3_and_PX_domains_2A	262	25.41	2.07	no	epidermis_2
Spis_XP_022783432_1	EGF/EGF/EGF/EGF/EGF/VWA/EGF_CA/VWA/hEGF/EGF/EGF_CA/VWA/EGF/VWA/EGF/EGF/EGF/EGF/VWA/EGF/hEGF/EGF/VWA/EGF/F5_F8_type_C/VWA/F5_F8_type_C/fn2/VWA/VWA/EGF/EGF/F5_F8_type_C/	fibronectin.HG4.1:like:ELSPBP1:likeclu:0	214	26.92	2.04	no	epidermis_2
Spis_XP_022786172_1	Cytochrom_B561/	ferric_chelate_reductase_1	269	13.57	2.04	no	epidermis_2
Spis_XP_022781082_1	DOMON/Cu2_monooxygen/Cu2_monoox_C/	monooxygenase_DBH_like_1	175	21.69	2.03	no	epidermis_2
Spis_XP_022790246_1	Ferritin/	ferritin_heavy_chain_1	2006	7.75	2.03	no	epidermis_2
Spis_XP_022793300_1	DOMON/	uncharacterized protein LOC111332266	296	28.35	2.02	no	epidermis_2
Spis_XP_022797226_1		uncharacterized protein LOC111335557 isoform X2	153	27.87	2.02	no	epidermis_2
Spis_YP_002149713_1	COX1/	mitochondrially_encoded_cytochrome_c_oxidase_I	2164	9.1	2.02	no	epidermis_2
Spis_XP_022783415_1	F5_F8_type_C/TSP_1/TSP_1/VWA/VWA/VWA/TSP_1/F5_F8_type_C/	hemicentin_1	4674	86.36	16.05	no	calicoblast
Spis_XP_022793606_1		uncharacterized protein LOC111332517 isoform X1	4561	87.43	8.52	no	calicoblast
Spis_XP_022801333_1	cEGF/EGF_CA/	mucin-like protein	2887	85.67	5.91	no	calicoblast
Spis_XP_022788453_1	DOMON/DOMON/	monooxygenase_DBH_like_1	2714	44.14	5.72	no	calicoblast
Spis_XP_022803870_1		uncharacterized protein DDB_G0290685-like isoform X1	1996	79.68	5.34	no	calicoblast
Spis_XP_022781863_1		uncharacterized protein LOC111322909 isoform X1	1074	72.37	4.94	no	calicoblast
Spis_XP_022807726_1		uncharacterized protein LOC111344738 isoform X1	1840	31.31	4.88	no	calicoblast
Spis_XP_022798766_1	p450/	CYP.HG1.16:CYP17A1/CYP21A2	1308	35.93	4.04	no	calicoblast
Spis_XP_022784314_1	PG_binding_1/Peptidase_M10/Hemopexin/Hemopexin/Hemopexin/	matrix_metallopeptidase_3	1924	29.5	3.94	no	calicoblast
Spis_XP_022799527_1		LOW QUALITY PROTEIN: uncharacterized protein LOC111337480	1438	27.06	3.71	no	calicoblast
Spis_XP_022790491_1	7tm_1/	GPCR-rhodopsin.HG3.80:NA	1795	38.19	3.7	no	calicoblast
Spis_XP_022784340_1	Peptidase_M10/Hemopexin/Hemopexin/	matrix_metallopeptidase_25	1683	36.48	3.64	no	calicoblast
Spis_XP_022805361_1		vascular endothelial growth factor C-like isoform X2	955	53.29	3.59	no	calicoblast
Spis_XP_022803859_1		histone H3.v1-like, partial	1358	28.42	3.45	no	calicoblast
Spis_XP_022786110_1	Insulin/	uncharacterized protein LOC111326394	997	59.1	3.37	no	calicoblast
Spis_XP_022783243_1		uncharacterized protein LOC111324028	736	42.94	3.3	no	calicoblast
Spis_XP_022786186_1	BCCT/PLAC8/	uncharacterized protein LOC111326449	914	30.63	3.27	no	calicoblast
Spis_XP_022780954_1	Transferrin/	melanotransferrin	1619	45.67	3.16	no	calicoblast
Spis_XP_022807725_1		uncharacterized protein LOC111344737	818	54.14	3.16	no	calicoblast
Spis_XP_022789892_1	Pkinase/	myosin_light_chain_kinase	853	19.04	3.1	no	calicoblast
Spis_XP_022803662_1		uncharacterized protein LOC111340998 isoform X2	630	44.12	3.06	no	calicoblast
Spis_XP_022810075_1		uncharacterized protein LOC111347079	1322	37.59	3.05	no	calicoblast
Spis_XP_022799082_1		CUB domain-containing protein-like isoform X1	3296	84.9	3.03	no	calicoblast
Spis_XP_022786939_1		glycoprotein_2	607	77.52	2.95	no	calicoblast
Spis_XP_022789440_1	MNNL/DSL/EGF/EGF/EGF/	DSL.HG1.0:DLL1/DLL4/JAG1/JAG2	809	37.87	2.95	no	calicoblast
Spis_XP_022806382_1	ShK/ShK/CAP/	GLI_pathogenesis_related_2	1719	85.14	2.94	no	calicoblast
Spis_XP_022802583_1	HEPN_DZIP3/TPR_8/zf-CHY/	DAZ_interacting_zinc_finger_protein_3	780	16.01	2.77	no	calicoblast
Spis_XP_022787092_1	DUF3504/	uncharacterized protein LOC111327226	710	61.05	2.76	no	calicoblast
Spis_XP_022787678_1	CAP/	GLI_pathogenesis_related_2	2244	67.84	2.75	no	calicoblast
Spis_XP_022804608_1	Ig_3/Ig_3/Bravo_FIGEY/	neuronal_cell_adhesion_molecule	1348	21.41	2.74	no	calicoblast
Spis_XP_022785997_1		uncharacterized protein LOC111326297	761	85.31	2.73	no	calicoblast
Spis_XP_022796523_1	CUB/CUB/	cubilin	806	87.7	2.73	no	calicoblast
Spis_XP_022803836_1	Pkinase_Tyr/	Pkinase.HG5.7:like:EPHA1/EPHA2/EPHA3/EPHA4/EPHA5/EPHA6/EPHA7/EPHA8/EPHA10/EPHB1/EPHB2/EPHB3/EPHB4/EPHB6:likeclu:1	591	77.97	2.69	no	calicoblast
Spis_XP_022798601_1	Spond_N/	spondin_2	1469	37.8	2.64	no	calicoblast
Spis_XP_022804303_1	Astacin/	meprin_A_subunit_alpha	2058	87.06	2.64	no	calicoblast
Spis_XP_022799529_1		nephronectin	727	23.35	2.62	no	calicoblast
Spis_XP_022788808_1	Forkhead/	Forkhead.NA	542	79.59	2.61	yes	calicoblast
Spis_XP_022783421_1	fn3/Pkinase_Tyr/	Pkinase.HG2.13:TEK/TIE1	1221	16.46	2.59	no	calicoblast
Spis_XP_022800496_1	EF-hand_5/EF-hand_5/EF-hand_8/	reticulocalbin_1	797	27.02	2.59	no	calicoblast
Spis_XP_022781165_1	L_HMGIC_fpl/	LHFPL_tetraspan_subfamily_member_4	488	78.21	2.52	no	calicoblast
Spis_XP_022796983_1	SH3_1/PX/SH3_1/SH3_1/SH3_1/	SH3_and_PX_domains_2A	432	41.9	2.52	no	calicoblast
Spis7630_1			612	45.13	2.5	no	calicoblast
Spis_XP_022796208_1		LOW QUALITY PROTEIN: uncharacterized protein LOC111334664	1530	10.06	2.5	no	calicoblast
Spis_XP_022791118_1		uncharacterized protein LOC111330517	560	58.21	2.46	no	calicoblast
Spis_XP_022779869_1	Catalase/Catalase-rel/	catalase	1429	21.51	2.44	no	calicoblast
Spis_XP_022801462_1	Band_3_cyto/HCO3_cotransp/	solute_carrier_family_4_member_10	983	23.58	2.44	no	calicoblast
Spis_XP_022804580_1	Ferric_reduct/FAD_binding_8/NAD_binding_6/	cytochrome_b_245_beta_chain	485	45.12	2.42	no	calicoblast
Spis18492_1			487	81.71	2.41	no	calicoblast
Spis_XP_022794883_1		uncharacterized protein LOC111333548	434	67.6	2.41	no	calicoblast
Spis_XP_022810032_1	I-set/I-set/Ig_2/	contactin_2	781	32.57	2.39	no	calicoblast
Spis15868_1			323	41.68	2.36	no	calicoblast
Spis_XP_022793831_1		uncharacterized protein LOC111332681	760	51.18	2.35	no	calicoblast
Spis_XP_022796205_1	EF-hand_7/EF-hand_7/EF-hand_5/	reticulocalbin_1	329	35.92	2.31	no	calicoblast
Spis_XP_022798140_1	Tropomyosin/	uncharacterized protein LOC111336328	527	29.15	2.29	no	calicoblast
Spis_XP_022786172_1	Cytochrom_B561/	ferric_chelate_reductase_1	414	20.89	2.26	no	calicoblast
Spis_XP_022802239_1	VWA/	cache_domain_containing_1	476	53.6	2.26	no	calicoblast
Spis_XP_022779802_1	Lipase/	pancreatic_lipase_related_protein_1	451	72.39	2.14	no	calicoblast
Spis_XP_022784720_1	TIMP/	uncharacterized protein LOC111325220 isoform X1	747	26.12	2.14	no	calicoblast
Spis_XP_022781854_1	CH/GAS2/	growth_arrest_specific_2_like_2	414	18.35	2.13	no	calicoblast
Spis_XP_022795168_1	TSP_1/VWA/	collagen_type_XIV_alpha_1_chain	573	19.79	2.12	no	calicoblast
Spis_XP_022788596_1	CH/CH/CH/Filamin/Filamin/Filamin/Filamin/Filamin/Filamin/Filamin/Filamin/Filamin/Filamin/Filamin/	filamin_A	263	40.9	2.1	no	calicoblast
Spis_XP_022797732_1		uncharacterized protein LOC111335985	469	57.41	2.1	no	calicoblast
Spis_XP_022793177_1	I-set/Ig_3/Ig_3/Ig_3/fn3/fn3/	fibronectin.HG16.0:like:LY75/MMP9/MRC1/MRC2/NCAM1/NCAM2/PLA2R1/SEL1L:likeclu:3/7/8	752	16.67	2.09	no	calicoblast
Spis_XP_022807817_1	F5_F8_type_C/F5_F8_type_C/fn3/fn3/fn3/PTP_tm/	protein_tyrosine_phosphatase_receptor_type_D	457	24.35	2.08	no	calicoblast
Spis_XP_022797547_1	APP_N/APP_Cu_bd/APP_E2/APP_amyloid/	amyloid_beta_precursor_like_protein_2	1004	18.43	2.07	no	calicoblast
Spis_XP_022791446_1	EGF_3/Fasciclin/Fasciclin/EGF_3/EGF_3/Fasciclin/Fasciclin/EGF_3/EGF_3/Fasciclin/Fasciclin/EGF_3/Fasciclin/	stabilin_2	526	49.86	2.06	no	calicoblast
Spis_XP_022780307_1	ANF_receptor/Pkinase_Tyr/Guanylate_cyc/	ANF_receptor.HG3.13:like:GUCY2D/GUCY2F/NPR1/NPR2/NPR3:likeclu:1/7	313	24.23	2.05	no	calicoblast
Spis_XP_022807637_1		uncharacterized protein LOC111344656	320	78.24	2.05	no	calicoblast
Spis_XP_022783445_1	Cupin_8/	CupinJmjC.HG2.3:NA	486	76.18	2.04	no	calicoblast
Spis_XP_022785414_1	Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/Spectrin/	Spectrin.HG3.0:like:DMD/DRP2/UTRN:likeclu:2	2839	34.65	9.98	no	neuron_1
Spis_XP_022788474_1		uncharacterized protein LOC111328337	4305	86.05	9.86	no	neuron_1
Spis_XP_022809335_1	zf-C4/Hormone_recep/	zf-C4_Nuclear_receptors.like:NR2E1/NR2E3/NR2F1/NR2F2/NR2F6	1389	76.57	9.43	yes	neuron_1
Spis_XP_022786297_1		LOW QUALITY PROTEIN: uncharacterized protein LOC111326553	993	42.49	5.85	no	neuron_1
Spis_XP_022786096_1	PKD_channel/Fer4_24/	ion-NaKCa.HG2.2:PKD2/PKD2L1/PKD2L2	1479	17.18	5.79	no	neuron_1
Spis_XP_022784214_1	Ion_trans/Ion_trans/Ion_trans/Ion_trans/	ion-NaKCa.HG18.0:CACNA1G/CACNA1H/CACNA1I	839	33.91	5.77	no	neuron_1
Spis_XP_022780302_1	PKD/REJ/GPS/PLAT/PKD_channel/	polycystin_1_like_2_gene_pseudogene_	848	32.55	5.29	no	neuron_1
Spis_XP_022794446_1	CUB/Ig_2/LRR_8/LRR_8/LRR_8/LRR_8/7tm_1/	GPCR-rhodopsin.HG73.2:NA	730	73.51	4.96	no	neuron_1
Spis_XP_022785423_1	CH/CH/	dystrophin	662	35.48	4.95	no	neuron_1
Spis_XP_022786584_1	Ank_2/Ank/Ank_2/Ank_2/Ank_2/Ank_2/Ion_trans/	ion-NaKCa.HG4.1:TRPA1	751	51.9	4.93	no	neuron_1
Spis_XP_022792017_1	SEA/EGF_CA/	uromodulin_like_1	929	50.11	4.91	no	neuron_1
Spis_XP_022800085_1	DUF3456/	canopy_FGF_signaling_regulator_4	569	49.56	4.48	no	neuron_1
Spis_XP_022801955_1	zf-RING_UBOX/zf-B_box/NHL/NHL/DUF5128/	tripartite_motif_containing_55	741	78.5	4.28	no	neuron_1
Spis_XP_022780503_1	Ion_trans/Ion_trans/Ion_trans/Ion_trans/GPHH/Ca_chan_IQ/	ion-NaKCa.HG6.2:CACNA1A/CACNA1B/CACNA1C/CACNA1D/CACNA1E/CACNA1F/CACNA1S	669	27.72	4.24	no	neuron_1
Spis_XP_022797670_1	HLH/	HLH.TCF12/TCF3/TCF4	799	33.68	4.14	yes	neuron_1
Spis_XP_022804963_1	COLFI/	Collagen.HG1.14:like:FCN1/MSR1/SCARA5:likeclu:15	410	65.6	3.96	no	neuron_1
Spis_XP_022788581_1		uncharacterized protein LOC111328421	2200	15.83	3.82	no	neuron_1
Spis_XP_022804345_1	Ion_trans_2/	ion-glutamate.HG2.0:NA	404	69.06	3.76	no	neuron_1
Spis24530_1	Ig_3/Pkinase_Tyr/	Pkinase.HG47.0:NA	485	46.77	3.55	no	neuron_1
Spis_XP_022803240_1	WD40/WD40/WD40/WD40/	peroxisomal_biogenesis_factor_7	1253	60.24	3.54	no	neuron_1
Spis_XP_022779877_1	CAP/CAP/CAP/CAP/CAP/	GLI_pathogenesis_related_2	464	36.02	3.38	no	neuron_1
Spis_XP_022797029_1	7tm_1/	GPCR-rhodopsin.HG73.2:NA	490	63.31	3.38	no	neuron_1
Spis_XP_022786760_1	Pyrid_oxidase_2/	cellular_repressor_of_E1A_stimulated_genes_2	805	32.23	3.27	no	neuron_1
Spis_XP_022798884_1	Ion_trans/Ion_trans/Ion_trans/Ion_trans/GPHH/Ca_chan_IQ/	ion-NaKCa.HG6.2:CACNA1A/CACNA1B/CACNA1C/CACNA1D/CACNA1E/CACNA1F/CACNA1S	417	48.83	3.11	no	neuron_1
Spis_XP_022795627_1	CUB/Ig_3/Ion_trans_2/	ion-NaKCa.HG3.6:NA	316	23.72	3.07	no	neuron_1
Spis_XP_022787965_1	VWA_N/VWA/	calcium_voltage_gated_channel_auxiliary_subunit_alpha2delta_2	400	32.36	2.99	no	neuron_1
Spis_XP_022778040_1		cilia- and flagella-associated protein 251-like	297	72.44	2.89	no	neuron_1
Spis_XP_022798188_1	Ank_2/Ion_trans/	ion-NaKCa.HG4.1:TRPA1	269	62.27	2.87	no	neuron_1
Spis_XP_022781715_1		uncharacterized protein LOC111322804	349	48.68	2.86	no	neuron_1
Spis_XP_022809917_1	Ig_3/I-set/Ig_3/Ig_3/Pkinase_Tyr/	NCam.HG6.0:NA	323	29.99	2.85	no	neuron_1
Spis_XP_022784955_1	AAA_11/AAA_11/AAA_12/RNB/AAA_11/AAA_12/	helicase_with_zinc_finger_2	308	44.83	2.84	no	neuron_1
Spis_XP_022787605_1	Neur_chan_LBD/Neur_chan_memb/	ion-neuro-gated.HG1.3:AC243734/AC254952/CHRFAM7A/CHRNA1/CHRNA2/CHRNA3/CHRNA4/CHRNA5/CHRNA6/CHRNA7/CHRNB1/CHRNB2/CHRNB3/CHRNB4/CHRND/CHRNE/CHRNG	291	53.2	2.83	no	neuron_1
Spis_XP_022809906_1	I-set/Ig_3/	roundabout_guidance_receptor_1	337	32.31	2.77	no	neuron_1
Spis_XP_022789260_1		cilia- and flagella-associated protein 251-like isoform X2	437	68.6	2.75	no	neuron_1
Spis_XP_022800065_1	GPS/7tm_2/	GPCR-secretin.HG1.5:ADGRD2	340	22.79	2.75	no	neuron_1
Spis_XP_022790625_1	cwf21/	serine_arginine_repetitive_matrix_2	472	18.76	2.74	no	neuron_1
Spis_XP_022807516_1	HATPase_c_3/Morc6_S5/zf-CW/	zf-CW.HG1.3:MORC1/MORC2	759	15.01	2.74	no	neuron_1
Spis_XP_022804268_1	PAN_1/Fibrinogen_C/	ficolin_1	363	44.54	2.72	no	neuron_1
Spis_XP_022805245_1	7tm_2/	GPCR-secretin.HG1.17:like:ADGRD1:likeclu:14	304	46.2	2.71	no	neuron_1
Spis_XP_022809370_1	SRCR/Ig_3/Ig_3/Ig_3/I-set/Ig_3/	NCam.HG6.0:NA	276	41.32	2.71	no	neuron_1
Spis_XP_022792081_1	Carb_anhydrase/	carbonic_anhydrase_12	582	23.37	2.68	no	neuron_1
Spis_XP_022805441_1	7tm_1/	GPCR-rhodopsin.HG42.0:NA	452	19.21	2.64	no	neuron_1
Spis_XP_022803680_1	RRM_1/RRM_1/	RRM.HG1.20:HNRNPAB/HNRNPD/HNRNPDL	579	13.39	2.63	no	neuron_1
Spis_XP_022783761_1	BK_channel_a/	potassium_sodium_activated_channel_subfamily_T_member_1	288	28.8	2.62	no	neuron_1
Spis_XP_022784671_1	LRR_8/LRR_8/7tm_1/	GPCR-rhodopsin.HG73.2:NA	285	45.6	2.61	no	neuron_1
Spis_XP_022799736_1	EF-hand_7/2OG-FeII_Oxy_3/	prolyl_4_hydroxylase_transmembrane	302	30.75	2.61	no	neuron_1
Spis_XP_022810031_1	Bravo_FIGEY/	neuronal_cell_adhesion_molecule	329	25.68	2.61	no	neuron_1
Spis_XP_022809671_1	I-set/	NCam.HG6.0:NA	445	23.76	2.6	no	neuron_1
Spis_XP_022801381_1	SRCR/Ig_2/Ig_3/I-set/I-set/I-set/Ig_3/Pkinase_Tyr/	NCam.HG6.0:NA	390	53.87	2.58	no	neuron_1
Spis_XP_022783578_1		uncharacterized protein LOC111324313	228	73.55	2.55	no	neuron_1
Spis_XP_022777592_1	COLFI/	Collagen.HG1.14:like:FCN1/MSR1/SCARA5:likeclu:15	229	64.15	2.54	no	neuron_1
