aip_LOC	aip_cluster	nvec	nvec_cluster	spis	spis_cell_type	xenia	xenia_cluster
LOC110236135	9	XP_032229560.1	NA	XP_022802951.1	NA	Xe_002776	11
LOC110236139	NA	XP_048590317.1	NA	XP_022801211.1	NA	Xe_002549	NA
LOC110236140	NA	XP_001628728.3	NA	XP_022801218.1	NA	Xe_002550	NA
LOC110236144	NA	XP_001624985.1	NA	XP_022788853.1	NA	Xe_002630	10
LOC110236148	NA	XP_001628715.1	NA	XP_022794991.1	germline_sperm	Xe_002813	NA
LOC110236151	NA	XP_032232779.2	NA	XP_022798326.1	NA	Xe_014426	2, 12
LOC110236164	NA	XP_032228219.2	NA	XP_022788855.1	NA	Xe_002538	NA
LOC110236174	NA	XP_048584980.1	NA	XP_022783688.1	NA	Xe_013080	NA
LOC110236181	NA	XP_048584547.1	NA	XP_022789370.1	NA	Xe_013152	NA
LOC110236184	NA	XP_001640887.3	NA	XP_022783746.1	germline_sperm	Xe_016145	NA
LOC110236185	NA	XP_001628947.3	NA	XP_022797784.1	germline_sperm	Xe_013075	7
LOC110236190	NA	XP_032237257.2	NA	XP_022802919.1	NA	Xe_013158	16
LOC110236192	NA	XP_048585245.1	NA	XP_022789361.1	NA	Xe_013154	NA
LOC110236193	NA	XP_032222101.1	NA	XP_022782913.1	NA	Xe_013039	5, 10
LOC110236198	NA	XP_001629159.2	NA	XP_022805712.1	NA	Xe_013054	NA
LOC110236200	NA	XP_048585454.1	NA	XP_022797774.1	NA	Xe_013245	14
LOC110236214	NA	XP_032231801.2	NA	XP_022805063.1	NA	Xe_013684	NA
LOC110236216	NA	XP_001630988.2	NA	XP_022789404.1	NA	Xe_013155	NA
LOC110236219	NA	XP_001640799.2	NA	XP_022783734.1	NA	Xe_013216	NA
LOC110236222	NA	XP_048585473.1	NA	XP_022779441.1	NA	Xe_013234	NA
LOC110236230	NA	XP_001632414.3	NA	XP_022789369.1	NA	Xe_013157	NA
LOC110236234	NA	XP_001624593.2	NA	XP_022805068.1	NA	Xe_013845	10
LOC110236244	NA	XP_048583909.1	NA	XP_022809140.1	NA	Xe_002130	NA
LOC110236247	NA	XP_048584059.1	NA	XP_022803584.1	NA	Xe_002186	10
LOC110236248	NA	XP_001631596.1	NA	XP_022803585.1	NA	Xe_002187	2
LOC110236249	NA	XP_001638185.2	NA	XP_022795171.1	NA	Xe_002284	NA
LOC110236250	NA	XP_032218673.2	NA	XP_022795218.1	NA	Xe_002361	NA
LOC110236255	NA	XP_048584047.1	NA	XP_022780371.1	NA	Xe_002253	NA
LOC110236258	NA	XP_032218544.2	NA	XP_022805549.1	NA	Xe_001963	15
LOC110236266	NA	XP_001626398.1	NA	XP_022779140.1	NA	Xe_003072	NA
LOC110236269	2	XP_032229863.2	NA	XP_022784869.1	germline_sperm	Xe_002127	7
LOC110236270	NA	XP_001638180.2	NA	XP_022779732.1	NA	Xe_003068	NA
LOC110236277	NA	XP_001637830.2	NA	XP_022783877.1	germline_sperm	Xe_028847	1, 2, 4, 7, 14
LOC110236278	NA	XP_048583838.1	NA	XP_022799310.1	NA	Xe_003062	NA
LOC110236288	NA	XP_001634343.1	NA	XP_022780465.1	NA	Xe_002255	10
LOC110236296	NA	XP_048584061.1	NA	XP_022803563.1	NA	Xe_002178	NA
LOC110236299	NA	XP_032218692.2	NA	XP_022795213.1	NA	Xe_002203	10
LOC110236306	NA	XP_048587400.1	NA	XP_022789162.1	NA	Xe_008351	NA
LOC110236308	NA	XP_048587854.1	NA	XP_022797047.1	NA	Xe_000510	NA
LOC110236310	NA	XP_032241548.2	NA	XP_022803014.1	NA	Xe_000512	NA
LOC110236311	13	XP_001635970.1	NA	XP_022803015.1	neuron_13	Xe_000511	NA
LOC110236312	NA	XP_032243149.2	NA	XP_022810028.1	NA	Xe_001375	NA
LOC110236317	NA	XP_032243030.1	NA	XP_022796943.1	neuron_13	Xe_001206	14
LOC110236319	NA	XP_001632622.1	NA	XP_022783032.1	NA	Xe_001030	NA
LOC110236321	NA	XP_032232152.2	NA	XP_022779020.1	NA	Xe_000893	NA
LOC110236323	NA	XP_001637219.1	NA	XP_022797050.1	NA	Xe_001189	NA
LOC110236324	NA	XP_048582720.1	NA	XP_022785228.1	NA	Xe_010183	2, 10
LOC110236325	NA	XP_032237610.1	ectoderm.embryonic	XP_022783067.1	NA	Xe_001029	NA
LOC110236326	NA	XP_001637164.2	NA	XP_022797059.1	NA	Xe_001190	NA
LOC110236329	NA	XP_048581610.1	NA	XP_022796925.1	NA	Xe_001077	NA
LOC110236331	NA	XP_048585992.1	NA	XP_022792382.1	NA	Xe_028802	8
LOC110236339	NA	XP_001637198.2	NA	XP_022796945.1	NA	Xe_000431	NA
LOC110236361	NA	XP_032243085.2	NA	XP_022803008.1	NA	Xe_000514	NA
LOC110236362	NA	XP_032243089.2	NA	XP_022798556.1	NA	Xe_000569	15
LOC110236372	NA	XP_048581599.1	NA	XP_022799172.1	NA	Xe_021792	NA
LOC110236378	NA	XP_001627837.2	NA	XP_022807121.1	germline_sperm	Xe_021777	NA
LOC110236379	NA	XP_048581786.1	NA	XP_022804355.1	NA	Xe_021603	NA
LOC110236384	NA	XP_048581604.1	cnidocyte.mature	XP_022799159.1	neuron_2	Xe_029089	9
LOC110236388	NA	XP_032236225.1	NA	XP_022801709.1	neuron_3, gland_1, gland_8	Xe_022304	NA
LOC110236389	NA	XP_048581694.1	NA	XP_022797986.1	NA	Xe_022379	NA
LOC110236392	NA	XP_048580628.1	NA	XP_022807744.1	NA	Xe_000413	NA
LOC110236400	NA	XP_001633510.1	NA	XP_022790349.1	NA	Xe_022381	NA
LOC110236402	NA	XP_032238121.2	NA	XP_022799942.1	neuron_13	Xe_021791	NA
LOC110236405	NA	XP_048581298.1	NA	XP_022804354.1	NA	Xe_000263	8
LOC110236418	NA	XP_032238634.2	NA	XP_022797993.1	NA	Xe_022322	NA
LOC110236421	NA	XP_001630564.2	NA	XP_022804366.1	NA	Xe_021604	2, 12
LOC110236433	NA	XP_001636251.2	NA	XP_022796199.1	NA	Xe_019815	NA
LOC110236435	NA	XP_032220321.2	NA	XP_022802095.1	NA	Xe_020047	NA
LOC110236442	NA	XP_001636648.2	NA	XP_022785856.1	NA	Xe_004652	NA
LOC110236446	NA	XP_001639597.3	NA	XP_022796217.1	NA	Xe_020344	2, 10, 12
LOC110236448	NA	XP_048582264.1	NA	XP_022790700.1	NA	Xe_020709	NA
LOC110236454	8	XP_001639581.1	NA	XP_022783918.1	NA	Xe_005068	NA
LOC110236455	NA	XP_001622276.2	NA	XP_022798401.1	NA	Xe_004603	NA
LOC110236457	NA	XP_001633233.2	NA	XP_022780886.1	NA	Xe_004978	NA
LOC110236459	NA	XP_032234162.2	NA	XP_022786830.1	NA	Xe_020731	14
LOC110236462	NA	XP_032225548.1	NA	XP_022798389.1	NA	Xe_004604	NA
LOC110236467	NA	XP_032242293.2	NA	XP_022785854.1	NA	Xe_004650	10, 14, 16
LOC110236468	NA	XP_032225538.2	NA	XP_022798391.1	germline_sperm	Xe_004605	NA
LOC110236470	NA	XP_048581906.1	NA	XP_022802104.1	NA	Xe_004003	NA
LOC110236475	NA	XP_001636710.2	NA	XP_022785858.1	NA	Xe_004653	10
LOC110236476	NA	XP_001636645.1	NA	XP_022785862.1	NA	Xe_004654	NA
LOC110236478	NA	XP_048582833.1	NA	XP_022780881.1	NA	Xe_004976	NA
LOC110236479	NA	XP_001633234.1	NA	XP_022780882.1	NA	Xe_004975	NA
LOC110236484	NA	XP_048582315.1	NA	XP_022796235.1	NA	Xe_000218	NA
LOC110236489	NA	XP_048582926.1	NA	XP_022796201.1	NA	Xe_019814	NA
LOC110236500	NA	XP_048580033.1	NA	XP_022782625.1	NA	Xe_009735	NA
LOC110236505	NA	XP_032232865.1	NA	XP_022781028.1	NA	Xe_005574	NA
LOC110236514	NA	XP_048576895.1	NA	XP_022779595.1	NA	Xe_005371	NA
LOC110236515	NA	XP_048576403.1	NA	XP_022779637.1	NA	Xe_005327	NA
LOC110236517	NA	XP_032230121.1	NA	XP_022786668.1	NA	Xe_028500	NA
LOC110236520	NA	XP_048577153.1	NA	XP_022804856.1	NA	Xe_005351	NA
LOC110236523	NA	XP_001638465.1	NA	XP_022791094.1	NA	Xe_005499	NA
LOC110236524	NA	XP_048577170.1	NA	XP_022800075.1	NA	Xe_005413	NA
LOC110236525	NA	XP_048576852.1	NA	XP_022791067.1	NA	Xe_005297	NA
LOC110236534	NA	XP_032232726.2	NA	XP_022810485.1	germline_sperm	Xe_005349	NA
LOC110236535	NA	XP_001639413.2	NA	XP_022800068.1	NA	Xe_006827	NA
LOC110236541	NA	XP_001639383.2	NA	XP_022789997.1	NA	Xe_005398	NA
LOC110236543	NA	XP_001639373.1	NA	XP_022798973.1	NA	Xe_006927	15
LOC110236549	NA	XP_032218471.1	NA	XP_022791077.1	NA	Xe_005600	NA
LOC110236551	NA	XP_001628780.2	NA	XP_022804836.1	NA	Xe_005312	NA
LOC110236554	NA	XP_032222487.1	NA	XP_022805592.1	neuron_8, neuron_9, neuron_12, neuron_13	Xe_005352	NA
LOC110236556	NA	XP_048576768.1	NA	XP_022785778.1	NA	Xe_005350	NA
LOC110236557	NA	XP_001628027.2	NA	XP_022785089.1	germline_sperm	Xe_005216	NA
LOC110236558	NA	XP_001638076.1	NA	XP_022809093.1	neuron_10	Xe_005218	4
LOC110236559	NA	XP_001628047.1	NA	XP_022785100.1	NA	Xe_005217	NA
LOC110236562	NA	XP_048576900.1	NA	XP_022791312.1	NA	Xe_006071	NA
LOC110236567	NA	XP_032224813.1	NA	XP_022781068.1	NA	Xe_005418	NA
LOC110236568	NA	XP_032224816.1	NA	XP_022781044.1	NA	Xe_005419	NA
LOC110236570	NA	XP_032237522.1	NA	XP_022787767.1	NA	Xe_021173	NA
LOC110236571	NA	XP_001622522.2	NA	XP_022783147.1	NA	Xe_000402	NA
LOC110236575	NA	XP_001633642.3	NA	XP_022781013.1	NA	Xe_005686	NA
LOC110236583	NA	XP_048577001.1	NA	XP_022796372.1	NA	Xe_000870	7
LOC110236548	NA	XP_032242037.2	NA	XP_022784446.1	NA	Xe_003791	NA
LOC110236585	NA	XP_001622095.2	NA	XP_022781002.1	NA	Xe_005425	NA
LOC110236589	NA	XP_001641389.2	NA	XP_022804837.1	NA	Xe_008190	NA
LOC110236597	NA	XP_001625135.2	NA	XP_022779650.1	neuron_10	Xe_005733	10
LOC110236606	NA	XP_001638414.2	NA	XP_022799965.1	NA	Xe_002519	NA
LOC114574146	8	XP_048576853.1	NA	XP_022780989.1	neuron_13	Xe_005280	2
LOC110236618	NA	XP_048577160.1	NA	XP_022781001.1	NA	Xe_005420	NA
LOC110236621	NA	XP_032225428.2	NA	XP_022805879.1	NA	Xe_005526	NA
LOC110236635	NA	XP_001628789.3	NA	XP_022789966.1	NA	Xe_005402	NA
LOC110236639	NA	XP_048590208.1	NA	XP_022807394.1	neuron_7, neuron_11, neuron_14	Xe_002810	NA
LOC110236646	NA	XP_001631305.1	NA	XP_022805423.1	NA	Xe_005206	NA
LOC110236647	NA	XP_001641401.2	NA	XP_022804886.1	NA	Xe_005611	NA
LOC110236648	NA	XP_001624482.1	NA	XP_022792791.1	NA	Xe_012483	NA
LOC110236656	NA	XP_032217893.2	NA	XP_022799972.1	NA	Xe_002518	NA
LOC110236661	NA	XP_048576453.1	NA	XP_022788781.1	NA	Xe_005347	NA
LOC110236664	NA	XP_048576995.1	NA	XP_022804832.1	NA	Xe_005577	NA
LOC110236668	NA	XP_032232689.2	NA	XP_022791101.1	NA	Xe_005785	NA
LOC110236665	13	XP_048589915.1	NA	XP_022810152.1	NA	Xe_002848	NA
LOC110236677	NA	XP_001629227.2	NA	XP_022810151.1	NA	Xe_002847	NA
LOC110236683	NA	XP_032243023.2	NA	XP_022792379.1	neuron_13	Xe_009199	NA
LOC110236685	3	XP_001640903.2	ectoderm.pharyngeal	XP_022783289.1	neuron_10	Xe_000397	2, 12
LOC110236688	14	XP_032236645.1	gland.mucous	XP_022801217.1	gland_7, gland_10	Xe_002391	15
LOC110236700	NA	XP_048587887.1	NA	XP_022783283.1	NA	Xe_000396	NA
LOC110236701	NA	XP_048587871.1	NA	XP_022779711.1	NA	Xe_000503	NA
LOC110236706	NA	XP_001637143.2	NA	XP_022799758.1	NA	Xe_000438	NA
LOC110236707	NA	XP_001637201.1	NA	XP_022799750.1	NA	Xe_000579	10
LOC110236714	NA	XP_001625017.2	NA	XP_022799316.1	NA	Xe_008130	NA
LOC110236732	NA	XP_001631135.3	NA	XP_022793917.1	NA	Xe_003920	NA
LOC110236733	NA	XP_032235701.2	NA	XP_022804752.1	NA	Xe_003919	10
LOC110236735	NA	XP_032221253.1	NA	XP_022805100.1	NA	Xe_008400	NA
LOC110236737	NA	XP_048588225.1	NA	XP_022781216.1	neuron_10	Xe_012408	14
LOC110236738	NA	XP_001637488.1	endomesoderm.embryonic	XP_022806466.1	NA	Xe_003596	NA
LOC110236741	NA	XP_032234722.1	NA	XP_022796961.1	NA	Xe_003926	NA
LOC110236745	NA	XP_001624605.1	NA	XP_022795788.1	NA	Xe_004287	NA
LOC110236748	NA	XP_032221217.2	NA	XP_022802270.1	NA	Xe_013343	NA
LOC110236749	NA	XP_048590037.1	NA	XP_022786366.1	NA	Xe_002570	NA
LOC110236755	NA	XP_048580198.1	NA	XP_022802272.1	NA	Xe_010160	NA
LOC110236760	NA	XP_001639015.2	NA	XP_022783497.1	NA	Xe_013259	NA
LOC110236762	NA	XP_001638943.1	NA	XP_022783429.1	NA	Xe_004042	10
LOC110236764	NA	XP_048584382.1	NA	XP_022806274.1	NA	Xe_014885	NA
LOC110236771	NA	XP_032221969.2	NA	XP_022809673.1	NA	Xe_003406	NA
LOC110236772	NA	XP_032219706.2	NA	XP_022791788.1	NA	Xe_003593	NA
LOC110236776	NA	XP_001631110.1	NA	XP_022803394.1	neuron_13	Xe_003921	2, 9
LOC110236784	NA	XP_032221256.1	NA	XP_022805099.1	NA	Xe_003296	NA
LOC110236786	NA	XP_048590612.1	NA	XP_022803716.1	NA	Xe_004284	NA
LOC110236787	NA	XP_048590656.1	NA	XP_022795493.1	NA	Xe_003574	NA
LOC110236449	NA	XP_032242055.1	NA	XP_022784441.1	NA	Xe_003790	NA
LOC110236798	NA	XP_032218836.2	NA	XP_022809311.1	NA	Xe_003399	16
LOC110236800	NA	XP_032218838.2	NA	XP_022809312.1	NA	Xe_003398	NA
LOC110236811	NA	XP_032225598.2	NA	XP_022807396.1	germline_sperm	Xe_013868	14
LOC110236830	NA	XP_048575776.1	NA	XP_022781358.1	NA	Xe_016284	NA
LOC110236832	NA	XP_001632873.3	NA	XP_022786003.1	mitotic_host_cells	Xe_015798	NA
LOC110236833	NA	XP_001632824.2	NA	XP_022786161.1	NA	Xe_016139	NA
LOC110236834	NA	XP_048589132.1	NA	XP_022786171.1	NA	Xe_016165	10
LOC110236837	NA	XP_032238922.1	NA	XP_022800711.1	neuron_10, neuron_13	Xe_015489	NA
LOC110236838	NA	XP_032240202.1	NA	XP_022807387.1	NA	Xe_007091	10
LOC110236842	NA	XP_048589386.1	NA	XP_022787171.1	NA	Xe_016166	NA
LOC110236845	NA	XP_001633840.2	NA	XP_022785991.1	NA	Xe_015452	NA
LOC110236850	NA	XP_032242252.1	NA	XP_022800244.1	NA	Xe_016016	NA
LOC110236859	NA	XP_001627521.1	NA	XP_022786014.1	NA	Xe_015799	NA
LOC110236856	NA	XP_032219060.2	NA	XP_022804597.1	NA	Xe_002475	NA
LOC110236861	NA	XP_001627520.2	NA	XP_022805133.1	NA	Xe_015756	NA
LOC110236863	NA	XP_001633851.1	NA	XP_022801656.1	germline_sperm	Xe_016021	NA
LOC110236884	9	XP_048579971.1	cnidocyte	XP_022803842.1	NA	Xe_003638	13
LOC110236898	NA	XP_032221329.2	NA	XP_022803857.1	NA	Xe_003363	14
LOC110236903	NA	XP_001637454.2	NA	XP_022806161.1	NA	Xe_003465	NA
LOC110236935	NA	XP_032231870.2	NA	XP_022796242.1	NA	Xe_018418	NA
LOC110236936	NA	XP_001628016.3	NA	XP_022799113.1	neuron_12	Xe_013808	13
LOC110236938	11	XP_048584818.1	NA	XP_022784614.1	NA	Xe_013819	NA
LOC110236939	NA	XP_048585614.1	NA	XP_022784617.1	NA	Xe_013846	NA
LOC110236940	NA	XP_001627979.2	NA	XP_022792938.1	NA	Xe_013220	NA
LOC110236941	NA	XP_032231865.2	NA	XP_022792937.1	NA	Xe_013219	NA
LOC110236944	NA	XP_001624444.2	NA	XP_022785960.1	germline_sperm	Xe_013867	NA
LOC110236946	NA	XP_032233256.1	NA	XP_022790469.1	NA	Xe_013469	NA
LOC110236950	NA	XP_032233279.1	NA	XP_022785912.1	NA	Xe_013543	NA
LOC110236951	NA	XP_032233281.1	NA	XP_022790468.1	NA	Xe_013549	NA
LOC110236954	NA	XP_048584784.1	NA	XP_022790463.1	NA	Xe_013533	NA
LOC110236957	NA	XP_001627384.1	NA	XP_022781582.1	NA	Xe_013391	NA
LOC110236965	NA	XP_001629167.1	NA	XP_022801279.1	NA	Xe_013400	NA
LOC110236972	NA	XP_048584853.1	NA	XP_022790517.1	NA	Xe_013847	NA
LOC110236976	NA	XP_048584952.1	NA	XP_022797763.1	NA	Xe_013809	NA
LOC110236977	NA	XP_001627370.2	NA	XP_022781604.1	NA	Xe_013397	NA
LOC110236993	NA	XP_001641292.2	NA	XP_022781623.1	NA	Xe_013528	NA
LOC110236996	NA	XP_032222517.2	NA	XP_022781571.1	NA	Xe_028976	NA
LOC110236998	9	XP_001641179.2	cnidocyte	XP_022789364.1	NA	Xe_013530	11
LOC110237003	5	XP_048583449.1	NA	XP_022804718.1	NA	Xe_002029	NA
LOC110237011	NA	XP_048583687.1	NA	XP_022804712.1	NA	Xe_002032	NA
LOC110237015	NA	XP_032239403.2	NA	XP_022803755.1	NA	Xe_001886	NA
LOC110237016	NA	XP_001624074.2	NA	XP_022783896.1	NA	Xe_002987	NA
LOC110237021	NA	XP_048584106.1	NA	XP_022785150.1	NA	Xe_002900	13
LOC110237024	NA	XP_048583922.1	NA	XP_022779743.1	NA	Xe_002250	10
LOC110237057	NA	XP_032221366.2	NA	XP_022797727.1	neuron_8	Xe_003339	NA
LOC110237061	NA	XP_001640222.3	NA	XP_022801905.1	NA	Xe_003288	NA
LOC110237062	NA	XP_001640298.2	NA	XP_022797707.1	NA	Xe_003338	NA
LOC110237064	NA	XP_001640296.3	NA	XP_022801920.1	NA	Xe_003287	14
LOC110237098	NA	XP_048590138.1	NA	XP_022784753.1	NA	Xe_002561	NA
LOC110237104	NA	XP_048589947.1	NA	XP_022783891.1	NA	Xe_011763	16
LOC110237114	NA	XP_048583591.1	NA	XP_022804716.1	NA	Xe_003009	NA
LOC110237139	NA	XP_048589959.1	NA	XP_022786299.1	NA	Xe_010135	NA
LOC110237141	NA	XP_032228876.1	NA	XP_022788880.1	NA	Xe_002728	2
LOC110237142	NA	XP_001625547.1	NA	XP_022807200.1	germline_sperm	Xe_002772	NA
LOC110237152	NA	XP_032236403.2	NA	XP_022788773.1	neuron_13	Xe_012622	16
LOC110237157	NA	XP_001626402.1	NA	XP_022806575.1	NA	Xe_002958	NA
LOC110237158	NA	XP_032242974.1	NA	XP_022789600.1	NA	Xe_012698	NA
LOC110237159	NA	XP_032242939.1	NA	XP_022789573.1	NA	Xe_012695	NA
LOC110237177	NA	XP_001639803.2	NA	XP_022804721.1	NA	Xe_002986	NA
LOC110237180	NA	XP_032239658.1	NA	XP_022793485.1	NA	Xe_012678	10
LOC110237153	NA	XP_001639836.2	NA	XP_022790285.1	NA	Xe_021627	NA
LOC110237192	11	XP_001636999.1	NA	XP_022800986.1	NA	Xe_012644	NA
LOC110237193	NA	XP_001626487.2	ectoderm.embryonic	XP_022781899.1	germline_sperm	Xe_002195	NA
LOC110237208	NA	XP_048583487.1	NA	XP_022793884.1	NA	Xe_002061	NA
LOC110237210	NA	XP_001637069.2	NA	XP_022800991.1	neuron_10	Xe_012643	10
LOC110237215	NA	XP_048583814.1	NA	XP_022781846.1	NA	Xe_002136	10
LOC110237216	NA	XP_032218103.1	NA	XP_022805025.1	NA	Xe_002248	NA
LOC110237217	NA	XP_032236415.2	NA	XP_022789541.1	NA	Xe_012623	NA
LOC110237223	NA	XP_001626503.1	NA	XP_022781897.1	NA	Xe_003093	NA
LOC110237224	NA	XP_001637663.1	NA	XP_022789016.1	NA	Xe_006296	NA
LOC110237228	NA	XP_048583331.1	NA	XP_022781828.1	neuron_8, neuron_12	Xe_003099	NA
LOC110237229	NA	XP_048584072.1	NA	XP_022781871.1	NA	Xe_002344	10
LOC110237233	NA	XP_032229891.2	NA	XP_022781858.1	NA	Xe_003101	NA
LOC110237241	NA	XP_001631645.2	NA	XP_022789857.1	neuron_13	Xe_013013	10
LOC110237243	NA	XP_032236434.1	NA	XP_022789858.1	NA	Xe_013012	11
LOC110237259	NA	XP_032236419.1	NA	XP_022789828.1	Immune_2	Xe_012960	NA
LOC110237260	NA	XP_001632761.2	NA	XP_022789827.1	NA	Xe_012958	NA
LOC110237261	NA	XP_032236424.2	NA	XP_022789831.1	neuron_13	Xe_012959	NA
LOC110237264	NA	XP_032219446.2	NA	XP_022808520.1	NA	Xe_012757	NA
LOC110237250	NA	XP_032241546.2	NA	XP_022784592.1	NA	Xe_003452	NA
LOC110237309	NA	XP_001622758.3	NA	XP_022804831.1	NA	Xe_010571	NA
LOC110237336	NA	XP_032236297.1	NA	XP_022786641.1	NA	Xe_001152	NA
LOC110237339	NA	XP_032236147.2	NA	XP_022795565.1	NA	Xe_000827	NA
LOC110237340	NA	XP_001627036.1	NA	XP_022806896.1	NA	Xe_001213	NA
LOC110237341	NA	XP_001630324.1	NA	XP_022795570.1	NA	Xe_000826	NA
LOC110237373	NA	XP_032222179.2	NA	XP_022788534.1	NA	Xe_001115	10
LOC110237381	NA	XP_001625014.1	NA	XP_022806617.1	NA	Xe_021794	NA
LOC110237384	NA	XP_032230453.1	NA	XP_022787520.1	NA	Xe_012438	NA
LOC110237386	NA	XP_032219247.2	NA	XP_022806009.1	NA	Xe_022372	NA
LOC110237392	NA	XP_001639950.3	NA	XP_022803170.1	NA	Xe_016010	NA
LOC110237413	NA	XP_032222050.1	ectoderm.embryonic, endomesoderm.embryonic	XP_022787712.1	NA	Xe_013765	NA
LOC110237421	NA	XP_001634615.1	NA	XP_022798796.1	NA	Xe_000841	2, 8, 12
LOC110237428	NA	XP_032239870.1	NA	XP_022798783.1	NA	Xe_000958	NA
LOC110237436	NA	XP_048579969.1	NA	XP_022795122.1	NA	Xe_009877	2
LOC110237438	NA	XP_001629616.1	NA	XP_022795125.1	NA	Xe_009876	NA
LOC110237439	NA	XP_001637876.1	NA	XP_022795129.1	NA	Xe_001296	15
LOC110237440	NA	XP_032228774.2	NA	XP_022807584.1	NA	Xe_021478	16
LOC110237442	NA	XP_032222365.2	NA	XP_022809680.1	NA	Xe_021420	NA
LOC110237446	NA	XP_048580183.1	NA	XP_022785125.1	NA	Xe_021581	NA
LOC110237447	NA	XP_048580185.1	NA	XP_022785170.1	NA	Xe_021580	NA
LOC110237453	NA	XP_001641625.2	NA	XP_022804456.1	NA	Xe_009182	NA
LOC110237452	NA	XP_048585673.1	NA	XP_022802249.1	NA	Xe_003592	NA
LOC110237455	NA	XP_032240273.1	NA	XP_022807585.1	NA	Xe_021567	NA
LOC110237457	NA	XP_048579532.1	NA	XP_022795634.1	NA	Xe_021483	2, 12
LOC110237460	NA	XP_001634486.1	NA	XP_022805333.1	NA	Xe_009920	10, 14
LOC110237464	NA	XP_032228413.2	NA	XP_022804257.1	NA	Xe_009292	2, 10, 14
LOC110237469	NA	XP_001640999.2	NA	XP_022804307.1	NA	Xe_009273	NA
LOC110237471	NA	XP_032239572.1	NA	XP_022804238.1	NA	Xe_009291	NA
LOC110237472	NA	XP_001636389.3	NA	XP_022806603.1	germline_sperm	Xe_003878	NA
LOC110237485	1	XP_032239848.2	NA	XP_022795630.1	neuron_8	Xe_022134	3, 5, 9, 15
LOC110237483	NA	XP_001626809.3	NA	XP_022806604.1	NA	Xe_003879	NA
LOC110237487	NA	XP_001634303.3	NA	XP_022803939.1	NA	Xe_001383	NA
LOC110237489	7	XP_032222924.1	NA	XP_022804823.1	Immune_2	Xe_011036	2, 12, 15
LOC110237490	NA	XP_001634294.2	NA	XP_022804646.1	NA	Xe_009256	5
LOC110237491	NA	XP_001634245.1	NA	XP_022803834.1	NA	Xe_009278	NA
LOC110237495	NA	XP_048580136.1	NA	XP_022789962.1	NA	Xe_021377	14
LOC110237493	NA	XP_032242095.2	NA	XP_022806609.1	NA	Xe_003877	NA
LOC110237499	NA	XP_048579826.1	NA	XP_022787317.1	NA	Xe_000455	NA
LOC110237500	NA	XP_001641635.1	NA	XP_022785300.1	NA	Xe_022154	NA
LOC110237509	NA	XP_032221185.2	NA	XP_022802000.1	NA	Xe_003254	2
LOC110237513	NA	XP_032228420.1	NA	XP_022787456.1	NA	Xe_010017	NA
LOC110237515	NA	XP_032241395.2	NA	XP_022795128.1	NA	Xe_025035	NA
LOC110237517	NA	XP_001629681.1	NA	XP_022787354.1	NA	Xe_011381	NA
LOC110237518	NA	XP_048583590.1	NA	XP_022788344.1	NA	Xe_009712	NA
LOC110237529	NA	XP_001629608.1	NA	XP_022785348.1	NA	Xe_022255	NA
LOC110237531	NA	XP_032241163.1	NA	XP_022779325.1	NA	Xe_010188	NA
LOC110237532	NA	XP_001635718.1	NA	XP_022785897.1	NA	Xe_009742	2
LOC110237534	NA	XP_032218264.2	NA	XP_022800475.1	NA	Xe_000689	NA
LOC110237537	NA	XP_001641608.3	retractor muscle	XP_022805332.1	NA	Xe_000911	NA
LOC110237541	NA	XP_001637913.1	NA	XP_022805336.1	germline_sperm	Xe_009671	NA
LOC110237543	NA	XP_001641011.1	NA	XP_022787295.1	NA	Xe_000453	NA
LOC110237578	1, 14	XP_032240216.1	NA	XP_022806315.1	NA	Xe_002698	NA
LOC110237583	NA	XP_048590595.1	NA	XP_022804131.1	NA	Xe_002697	NA
LOC110237586	NA	XP_001635956.1	NA	XP_022802019.1	neuron_13	Xe_003352	NA
LOC110237601	NA	XP_048581574.1	NA	XP_022803439.1	NA	Xe_020666	NA
LOC110237602	NA	XP_001633096.1	NA	XP_022803453.1	NA	Xe_020671	NA
LOC110237603	NA	XP_001639966.3	NA	XP_022808517.1	NA	Xe_012597	NA
LOC110237617	NA	XP_048581704.1	NA	XP_022784005.1	NA	Xe_020659	16
LOC110237626	NA	XP_001630516.2	NA	XP_022799216.1	NA	Xe_020757	NA
LOC110237629	9	XP_048580559.1	cnidocyte	XP_022807232.1	NA	Xe_020332	NA
LOC110237632	NA	XP_048575703.1	NA	XP_022788432.1	NA	Xe_017424	NA
LOC110237636	NA	XP_048580401.1	NA	XP_022797897.1	NA	Xe_000761	NA
LOC110237640	NA	XP_032226562.2	NA	XP_022795417.1	NA	Xe_016567	14
LOC110237642	NA	XP_001639848.2	ectoderm.embryonic	XP_022800178.1	NA	Xe_020698	NA
LOC110237643	NA	XP_048575762.1	NA	XP_022802888.1	NA	Xe_018007	NA
LOC110237644	NA	XP_048575372.1	NA	XP_022803972.1	NA	Xe_016352	2, 12
LOC110237649	NA	XP_048575852.1	NA	XP_022795405.1	NA	Xe_018476	NA
LOC110237651	NA	XP_001640072.1	NA	XP_022795457.1	NA	Xe_016587	NA
LOC110237653	NA	XP_048575935.1	NA	XP_022806696.1	NA	Xe_018450	NA
LOC110237665	NA	XP_048576151.1	NA	XP_022802864.1	NA	Xe_018625	NA
LOC110237666	NA	XP_001625271.1	NA	XP_022784028.1	NA	Xe_020669	13
