Orthogroup	aip_longest_isoforms	nvec_longest_isoform
OG0000764	XP_020913424.2	XP_032240750.1
OG0000765	XP_020907198.1, XP_020907199.1, XP_020907259.1	XP_032230604.1
OG0000765	XP_020907217.1	XP_032230581.1
OG0000766	XP_020917568.1	XP_032231671.2, XP_001626001.2, XP_048587719.1
OG0000766	XP_020907376.1	XP_001635435.2
OG0000768	XP_020914917.1	XP_048587229.1
OG0000768	XP_020907731.2, XP_020907733.1	XP_048582177.1
OG0000769	XP_020907833.1	XP_032218011.1
OG0000769	XP_020913115.1, XP_020908692.1	XP_032231249.2
OG0000770	XP_028517104.1, XP_028515939.1, XP_020911939.1	XP_048585045.1
OG0000772	XP_020908553.1, XP_020908552.1	XP_032222486.2
OG0000772	XP_020908549.2	XP_001632411.1, XP_048584452.1, XP_048584453.1
OG0000773	XP_028517317.1	XP_032225402.2, XP_032233121.2, XP_048588868.1
OG0000773	XP_020909013.2	XP_032237653.2, XP_048589011.1
OG0000774	XP_028515350.1, XP_020909695.1, XP_028515887.1, XP_028515896.1, XP_028519615.1, XP_028515886.1, XP_028515895.1, XP_028515885.1, XP_028518749.1, XP_020913904.1, XP_028518756.1	XP_032240503.2
OG0000775	XP_020910080.1	XP_048576635.1, XP_032219827.2, XP_032229325.2
OG0000776	XP_020910337.1	XP_048577704.1
OG0000777	XP_028514945.1, XP_020912270.1	XP_048577894.1
OG0000778	XP_020912277.1	XP_048577261.1, XP_048578099.1
OG0000779	XP_020913616.1	XP_001635198.3
OG0000779	XP_020913607.1	XP_032240537.1
OG0000779	XP_020913672.1	XP_032240634.2
OG0000780	XP_020914347.1	XP_048583520.1
OG0000781	XP_020914361.1, XP_028518968.1	XP_048578851.1, XP_048581644.1, XP_048589713.1, XP_048586253.1, XP_048581802.1, XP_048588195.1, XP_048588053.1, XP_048588202.1, XP_048585675.1, XP_048579757.1
OG0000782	XP_020915657.2	XP_048575965.1
OG0000783	XP_020916008.1, XP_020916288.2	XP_048578000.1, XP_048577998.1, XP_032232088.2, XP_001638495.3, XP_048590431.1, XP_048586575.1, XP_048590426.1, XP_048576006.1, XP_048590204.1, XP_001636083.2
OG0000784	XP_020916250.1	XP_048579329.1
OG0000785	XP_020916728.1	XP_048583876.1, XP_048582170.1, XP_048578265.1, XP_048586643.1, XP_048583330.1, XP_048582688.1, XP_048579044.1, XP_048582251.1
OG0000785	XP_028514608.1	XP_048588879.1
OG0000786	XP_028512552.1	XP_032240116.2, XP_032234201.1, XP_001632441.2, XP_032218175.2, XP_048580768.1, XP_032225021.1, XP_048581409.1, XP_048581004.1, XP_048575677.1, XP_048581513.1
OG0000787	XP_028513250.1, XP_028513236.1, XP_028513251.1	XP_001625276.3
OG0000788	XP_028516323.1	XP_048582106.1, XP_048583854.1, XP_048589654.1, XP_048578980.1, XP_048578380.1, XP_048576277.1, XP_048580813.1, XP_048582657.1, XP_048590428.1, XP_048585059.1, XP_048578929.1
OG0000789	XP_028517431.1	XP_048585980.1
OG0000835	XP_020912006.2, XP_028519408.1, XP_028519409.1	XP_048581503.1
OG0000835	XP_020916503.1	XP_001633539.2
OG0000835	XP_020892218.1	XP_048589010.1
OG0000836	XP_020892475.1	XP_032239144.2, XP_048586611.1, XP_048576422.1, XP_048581591.1, XP_048579804.1, XP_001639919.2
OG0000838	XP_020892963.1	XP_048577213.1
OG0000839	XP_020917433.1	XP_032218237.1
OG0000839	XP_020893172.1	XP_032239816.1
OG0000839	XP_020902625.1, XP_020913416.1	XP_032222870.1
OG0000840	XP_028512892.1, XP_020893177.1	XP_032218294.2
OG0000840	XP_020902600.2	XP_048578739.1
OG0000840	XP_020902511.1, XP_028515468.1	XP_048579490.1
OG0000841	XP_020893303.1, XP_020908197.1	XP_048583764.1
OG0000843	XP_020893651.1	XP_001639798.3
OG0000845	XP_020893950.2	XP_001641172.2, XP_048580039.1, XP_048589590.1, XP_048581774.1
OG0000846	XP_028516344.1, XP_028516342.1, XP_020895286.2, XP_020894038.2, XP_028517245.1, XP_020901670.1, XP_020894031.1, XP_028513121.1	XP_048590636.1, XP_048590635.1, XP_048579992.1
OG0000847	XP_020894597.1	XP_032241228.2
OG0000848	XP_020894818.1	XP_048590350.1
OG0000848	XP_020894835.1	XP_048590669.1
OG0000849	XP_020917347.1	XP_048579657.1
OG0000849	XP_020917348.1	XP_001635157.1
OG0000849	XP_020894958.1	XP_032240710.1
OG0000850	XP_028513225.1, XP_020895223.1, XP_020895234.1	XP_032229801.2, XP_032229471.1
OG0000853	XP_020914355.1, XP_020896033.2, XP_028518864.1, XP_028519383.1, XP_028517971.1, XP_028519392.1, XP_028519486.1, XP_020906399.1, XP_028516281.1	XP_048585672.1, XP_048586188.1
OG0000854	XP_020896975.1	XP_032221810.2
OG0000854	XP_028513195.1	XP_048586269.1, XP_001633335.2
OG0000856	XP_020897352.1, XP_020897356.1	XP_001630979.3, XP_001634771.3
OG0000856	XP_020899930.1	XP_048585631.1
OG0000857	XP_020897589.1, XP_020898530.1	XP_048583958.1, XP_048586227.1, XP_032221311.2
OG0000857	XP_020914280.2	XP_048585750.1, XP_048576175.1, XP_032238429.1
OG0000858	XP_020897703.2, XP_020897828.1, XP_020897693.1	XP_032232859.1
OG0000859	XP_028514158.1, XP_020897853.1	XP_048576498.1, XP_001628672.2, XP_048576503.1
OG0000859	XP_020911016.1	XP_001639414.2
OG0000860	XP_028514221.1, XP_020898094.1, XP_028514223.1, XP_020898093.1, XP_028514222.1, XP_020898092.1	XP_032226560.2, XP_048576148.1, XP_032233085.1, XP_001640095.3, XP_032226552.2
OG0000861	XP_028515902.1	XP_048589134.1, XP_048584535.1, XP_048578989.1, XP_048584536.1
OG0000861	XP_020898306.1	XP_032240089.2
OG0000863	XP_020898652.1	XP_048582690.1, XP_048583612.1, XP_032232749.2, XP_032227965.2, XP_048577424.1, XP_032222625.1, XP_032230025.2, XP_048590376.1, XP_032227954.1
OG0000864	XP_020899197.1, XP_020899188.1, XP_020907066.1, XP_020915668.1, XP_020913189.1	XP_032221130.1, XP_032221131.2
OG0000865	XP_020900306.1, XP_020900294.1, XP_020913311.1, XP_020900297.1, XP_028514818.1, XP_028514820.1, XP_020913404.2	XP_001634131.3
OG0000866	XP_020900480.2	XP_048590631.1, XP_048590628.1, XP_048590500.1, XP_048590627.1, XP_048590364.1, XP_048590497.1, XP_048590499.1, XP_048590626.1
OG0000869	XP_020905657.1, XP_020901147.2, XP_020911447.2, XP_020905058.1, XP_028515069.1, XP_020901149.2, XP_020901148.2, XP_028515065.1, XP_020901172.1, XP_028515067.1	XP_001626997.2
OG0000870	XP_020911454.1, XP_020901530.1, XP_020908597.1	XP_048581428.1
OG0000871	XP_020911631.1, XP_020901775.1, XP_020917647.2, XP_028515373.1, XP_020901784.1, XP_028515352.1	XP_048584529.1
OG0000872	XP_020902017.1	XP_048589127.1
OG0000872	XP_020902019.1	XP_048589215.1
OG0000872	XP_028517941.1	XP_001639101.3
OG0000873	XP_020908035.1	XP_001627335.3
OG0000873	XP_020902358.1	XP_001624357.2, XP_001627474.1
OG0000874	XP_020907356.1, XP_020907357.1, XP_020902390.1, XP_020908067.1	XP_001637716.1, XP_048589109.1
OG0000874	XP_020903634.1, XP_028515759.1	XP_048589110.1
OG0000874	XP_028519625.1	XP_032242516.1
OG0000875	XP_020902627.1	XP_001641442.2, XP_001635570.2
OG0000875	XP_020914268.1, XP_020913399.1	XP_032232253.1
OG0000876	XP_020903445.1	XP_032237314.2
OG0000877	XP_020903655.1	XP_048587947.1
OG0000877	XP_020916971.1	XP_032233730.2
OG0000879	XP_020904702.1	XP_001628790.1
OG0000879	XP_020904525.1	XP_001637915.1
OG0000880	XP_020904599.1	XP_048587574.1
OG0000880	XP_020916247.2	XP_048586922.1
OG0000881	XP_020904696.1	XP_048584342.1, XP_048584348.1, XP_032234697.2, XP_032239369.2
OG0000882	XP_020904764.1	XP_001624618.1
OG0000882	XP_020912355.1	XP_001636013.1
OG0000883	XP_020904932.1	XP_001629503.3
OG0000883	XP_020904798.2	XP_032225479.2
OG0000884	XP_020910651.1	XP_001639038.1
OG0000884	XP_020905745.2	XP_048577032.1
OG0000884	XP_020908395.1	XP_001638294.1
OG0000885	XP_020906653.1	XP_001624845.1
OG0000886	XP_020907726.1	XP_048587296.1
OG0000887	XP_020915689.1, XP_028516948.1, XP_020908064.1, XP_020908055.2, XP_020908065.1, XP_028512573.1	XP_001624295.1
OG0000888	XP_020914404.1, XP_020908929.1	XP_048588384.1, XP_048576166.1, XP_032223808.2
OG0000889	XP_028513602.1, XP_020914774.1, XP_020916504.1, XP_020909349.1	XP_032237156.1, XP_032240386.2
OG0000890	XP_028517918.1	XP_032219868.2
OG0000890	XP_028517905.1, XP_020911227.1	XP_032219870.2
OG0000891	XP_020910315.2	XP_048586618.1, XP_048577473.1, XP_032220294.2, XP_032238952.1, XP_048581429.1, XP_048578055.1, XP_048583370.1, XP_048575395.1
OG0000893	XP_020910510.1, XP_020910455.1	XP_001641133.3
OG0000893	XP_028519510.1	XP_032222886.2
OG0000894	XP_028514825.1	XP_001638933.2
OG0000894	XP_028514824.1, XP_020912117.1	XP_048586960.1
OG0000895	XP_020912481.1	XP_001627427.2
OG0000896	XP_028518653.1	XP_032222526.1
OG0000896	XP_020913633.1	XP_032222523.2
OG0000897	XP_020913933.1	XP_048585758.1, XP_048586314.1, XP_048582669.1, XP_048577956.1, XP_048582320.1, XP_048586824.1, XP_048585087.1, XP_048582021.1, XP_048583975.1, XP_048583875.1
OG0000899	XP_028519018.1	XP_001640450.1
OG0000899	XP_020914250.1	XP_048577379.1
OG0000900	XP_020916047.1, XP_020915968.1	XP_048584002.1
OG0000901	XP_028512568.1, XP_028512577.1	XP_032232203.2, XP_048584124.1, XP_048583422.1, XP_032229849.2
OG0000901	XP_020915994.2	XP_048576428.1
OG0000902	XP_020917039.2	XP_032236190.2
OG0000902	XP_020917040.1	XP_032236219.2
OG0000903	XP_020917246.1	XP_048581379.1
OG0000904	XP_020917646.1	XP_001637848.2
OG0000905	XP_028513923.1	XP_048583030.1
OG0000906	XP_028514187.1	XP_048575962.1, XP_048586769.1, XP_048586107.1, XP_048587445.1, XP_032227972.1, XP_048586081.1, XP_048586093.1, XP_048583604.1, XP_048583616.1, XP_048586100.1
OG0000908	XP_028517064.1	XP_032237067.2
OG0000909	XP_028518858.1	XP_048576932.1, XP_048583426.1
OG0000910	XP_028517158.1	XP_001640775.3
OG0000911	XP_028518066.1	XP_048583257.1, XP_048579012.1, XP_048576451.1, XP_048590434.1
OG0000962	XP_020891839.1, XP_028516625.1, XP_028512506.1, XP_028517079.1, XP_020912001.1, XP_028518204.1	XP_048581090.1
OG0000963	XP_020914673.1, XP_020892255.2	XP_032231002.1
OG0000963	XP_020892224.1	XP_048584507.1
OG0000963	XP_020892263.1	XP_032231006.2
OG0000964	XP_028514703.1	XP_048579022.1
OG0000964	XP_020892402.1	XP_032238886.2
OG0000965	XP_020892501.1, XP_028512680.1, XP_028512696.1, XP_028515897.1, XP_028512699.1, XP_028515890.1	XP_048580468.1, XP_048580785.1, XP_048575358.1, XP_032236982.1
OG0000966	XP_020892849.1	XP_001628531.2
OG0000966	XP_020892890.1	XP_032241060.2
OG0000967	XP_020893581.1, XP_020893582.1	XP_048577926.1
OG0000968	XP_028517103.1, XP_020916353.2, XP_020910144.1, XP_020910104.1, XP_020893681.1	XP_048583262.1
OG0000969	XP_020893759.1	XP_032238474.2
OG0000970	XP_020893874.1	XP_048578654.1
OG0000970	XP_020901772.1, XP_020901765.2	XP_001630372.2, XP_048578713.1
OG0000971	XP_020893937.1	XP_048583061.1
OG0000972	XP_020894030.1	XP_048589930.1, XP_032240198.2
OG0000972	XP_028513113.1, XP_020894008.1	XP_048589977.1
OG0000973	XP_020913355.2, XP_020913384.1, XP_020909085.1, XP_028514568.1, XP_020899299.1, XP_020907450.1, XP_020901760.1, XP_020894067.1, XP_020896297.1	XP_048580399.1
OG0000974	XP_020894072.1	XP_032242838.2
OG0000976	XP_028513215.1, XP_020894362.1, XP_020894364.1, XP_020894867.1, XP_028517871.1	XP_001625867.1, XP_032229273.2
OG0000977	XP_020894766.1, XP_020904254.1	XP_032243271.2
OG0000978	XP_020915822.1	XP_032230073.2, XP_032230075.1
OG0000978	XP_020894770.1, XP_020894775.1	XP_048586811.1
OG0000979	XP_020911912.2, XP_028517833.1, XP_020910742.1, XP_020896488.1, XP_020898361.1, XP_020898359.1, XP_020894926.1	XP_032230740.2, XP_048587527.1
OG0000980	XP_020895630.1, XP_020895631.1	XP_001634103.3
OG0000980	XP_020903257.1	XP_048584456.1
OG0000981	XP_020895694.1	XP_032219410.2
OG0000982	XP_028513750.1	XP_032220115.1
OG0000982	XP_020896360.1, XP_020906364.1, XP_020906600.1	XP_048587740.1, XP_048587743.1
OG0000983	XP_028516204.1, XP_028516906.1, XP_028518036.1, XP_028517178.1, XP_020896550.1, XP_028518176.1, XP_028513184.1, XP_028518368.1	XP_048587493.1
OG0000985	XP_020905061.1, XP_020896817.1	XP_032239949.2
OG0000986	XP_020898693.1, XP_020915612.1, XP_020915512.1, XP_020910457.1, XP_020896851.1, XP_020896859.1, XP_020897000.1, XP_020896850.1	XP_048577052.1, XP_032220237.2
OG0000988	XP_028515305.1	XP_032224162.1
OG0000988	XP_020897203.1	XP_048583775.1, XP_048583715.1, XP_048590147.1
OG0000989	XP_020897426.1, XP_020899101.1	XP_032233697.2
OG0000990	XP_020897526.1	XP_032232164.2
OG0000990	XP_028514405.1	XP_048579328.1
OG0000991	XP_020898018.1, XP_020913106.1, XP_028518491.1, XP_028518492.1	XP_048587906.1
OG0000991	XP_020897978.1	XP_032218833.1
OG0000992	XP_020898267.1, XP_028518719.1, XP_020904736.1, XP_020898123.1, XP_028514385.1, XP_028514345.1, XP_020898083.2, XP_028513807.1, XP_028518715.1	XP_032233096.1
OG0000993	XP_020898408.1	XP_032230538.1
OG0000993	XP_020902230.2, XP_020904002.1	XP_048577004.1
OG0000994	XP_020898608.1, XP_028516136.1	XP_048586034.1
OG0000994	XP_020898550.2	XP_048588479.1
OG0000996	XP_020904239.1, XP_020898632.1, XP_028515924.1, XP_020904231.1, XP_020904229.2, XP_020898633.1	XP_001632924.3, XP_048581357.1
OG0000997	XP_020899001.1, XP_020914118.1	XP_032238078.2
OG0000997	XP_020914119.1	XP_048581074.1
OG0000997	XP_020916755.1	XP_001634768.1
OG0001000	XP_020908848.1	XP_032234905.1
OG0001000	XP_020900032.1	XP_048590477.1
OG0001000	XP_020909958.1	XP_001630358.3
OG0001000	XP_020899270.1	XP_001632002.2, XP_032217838.2
OG0001001	XP_020900400.1, XP_020900403.2, XP_020900374.2, XP_020900402.1, XP_020899528.1, XP_020899536.1	XP_048589205.1
OG0001002	XP_020899707.1	XP_048582629.1
OG0001002	XP_020899710.1	XP_048582887.1, XP_001633356.3
OG0001003	XP_028513606.1, XP_028515965.1, XP_028518642.1, XP_020899777.2	XP_032226841.1
OG0001004	XP_028514742.1, XP_020917777.1, XP_020899989.1, XP_028514737.1	XP_048584691.1
OG0001005	XP_020913069.1	XP_048576730.1
OG0001005	XP_020900069.1	XP_048576985.1
OG0001005	XP_020900065.1	XP_001638547.2, XP_048576733.1
OG0001006	XP_020900068.1, XP_020912966.1	XP_048577829.1
OG0001008	XP_020900461.1	XP_048580948.1
OG0001009	XP_020900468.2, XP_020901902.1	XP_048578417.1
OG0001010	XP_020900572.1, XP_020900571.1	XP_048585691.1, XP_048586541.1
OG0001011	XP_020900715.2	XP_001622053.2
OG0001014	XP_028519003.1	XP_032230569.1
OG0001014	XP_020901224.1	XP_032225758.2
OG0001015	XP_020915722.1	XP_048578869.1
OG0001016	XP_020902261.1	XP_048577957.1
OG0001017	XP_020902276.1	XP_032232975.1
OG0001018	XP_020903198.1, XP_020904997.1	XP_032228690.2
OG0001018	XP_028515114.1	XP_001638399.2
OG0001019	XP_028515870.1, XP_020904022.1, XP_028515880.1	XP_048577659.1, XP_048577660.1
OG0001019	XP_028519436.1	XP_048588242.1
OG0001020	XP_020904075.1, XP_020905090.1, XP_020910170.1	XP_048577013.1, XP_048589802.1
OG0001022	XP_020904121.1	XP_048577927.1
OG0001023	XP_028516114.1, XP_020905083.2, XP_020905097.1	XP_048582884.1
OG0001025	XP_020906327.1	XP_048589972.1
OG0001025	XP_028517129.1	XP_048589269.1
OG0001026	XP_020906572.1	XP_001624524.2
OG0001027	XP_020907042.2	XP_032237924.1
OG0001028	XP_020908871.1, XP_028516734.1	XP_048584487.1
OG0001029	XP_020907368.1, XP_020915529.1, XP_028519163.1	XP_048584848.1, XP_001639752.3
OG0001032	XP_028517295.1	XP_001627015.2, XP_032221506.2, XP_032232444.1
OG0001032	XP_020907876.1	XP_048577714.1
OG0001033	XP_020909320.1	XP_032231960.2, XP_032232888.1
OG0001034	XP_020909747.2, XP_020909703.2, XP_020909639.1, XP_020909744.1	XP_032225261.1, XP_048582041.1, XP_032225376.2
OG0001035	XP_020911243.1, XP_028513676.1	XP_048583937.1
OG0001036	XP_020916857.1, XP_020910417.1, XP_028519566.1	XP_001637925.1, XP_032223569.1, XP_048590136.1, XP_048590339.1, XP_032229766.2, XP_048590331.1
OG0001037	XP_020910634.1, XP_020910773.1, XP_020910760.1, XP_020910795.2, XP_020910818.1, XP_020910828.1, XP_020910784.1, XP_020910807.1	XP_048577517.1
OG0001038	XP_020910676.1	XP_001632158.2
OG0001039	XP_020911111.2, XP_020912622.1	XP_048576192.1
OG0001040	XP_020911821.1	XP_032231137.1, XP_048588445.1, XP_032225088.2, XP_032235749.1
OG0001041	XP_020912582.1, XP_028517650.1, XP_028516714.1	XP_048583640.1, XP_032226972.1
OG0001042	XP_020913300.1, XP_020916496.1, XP_020913303.1, XP_020915718.1, XP_020913301.1, XP_028518532.1, XP_020913187.1, XP_020915701.1	XP_032221476.1
OG0001043	XP_028518629.1	XP_048587915.1, XP_048587917.1
OG0001043	XP_020913453.1	XP_048587909.1, XP_048588873.1
OG0001044	XP_020916094.1	XP_032230226.2, XP_048584142.1, XP_048583359.1
OG0001044	XP_020916085.1	XP_032239436.2
OG0001045	XP_020916123.1	XP_032229857.1, XP_032229852.2, XP_048584184.1, XP_032229850.1
OG0001047	XP_020916401.1	XP_032221565.2
OG0001049	XP_028519762.1	XP_001628684.2
OG0001049	XP_020917654.1	XP_001628685.3
OG0001049	XP_020917668.1	XP_001624610.2
OG0001050	XP_028512640.1	XP_032225612.2
OG0001050	XP_028519381.1	XP_048577134.1
OG0001051	XP_028517690.1, XP_028512812.1	XP_048576998.1, XP_048586130.1, XP_048586890.1
OG0001052	XP_028513288.1	XP_048577661.1, XP_048578026.1
OG0001054	XP_028514449.1	XP_032226091.2, XP_048585844.1, XP_048585766.1, XP_048578209.1, XP_048584560.1, XP_048578161.1, XP_048578084.1, XP_048581061.1
OG0001055	XP_028515877.1	XP_048577392.1
OG0001055	XP_028514458.1	XP_048588087.1
OG0001057	XP_028514813.1	XP_001630977.2, XP_001630976.3
OG0001058	XP_028516604.1	XP_001629657.1
OG0001059	XP_028517018.1	XP_001623049.1
OG0001060	XP_028517066.1	XP_048579158.1, XP_048578727.1, XP_048584056.1, XP_048578821.1, XP_048575330.1, XP_048587031.1, XP_048587171.1, XP_048587294.1
OG0001061	XP_028518887.1	XP_048584871.1, XP_048578893.1
OG0001130	XP_020891918.1, XP_028516868.1, XP_020907745.1, XP_020900670.1, XP_020891932.1	XP_032241093.2, XP_048576379.1
OG0001131	XP_028512499.1, XP_020894762.2, XP_020892138.1, XP_020901347.1, XP_020910134.1, XP_020908438.2, XP_028513619.1	XP_048578287.1
OG0001132	XP_020892188.1	XP_001639786.3
OG0001133	XP_020892215.1, XP_020892207.1	XP_032233158.2
OG0001135	XP_020892523.1	XP_032228945.1
OG0001137	XP_020910418.1, XP_020892731.1	XP_048587789.1
OG0001137	XP_020906771.1	XP_048587001.1
OG0001138	XP_020911204.2	XP_032219908.2
OG0001139	XP_020893026.1	XP_032232681.1
OG0001139	XP_020893027.1	XP_032232711.2
OG0001140	XP_020906297.1, XP_020893040.1, XP_020893921.1, XP_028519026.1, XP_028513088.1, XP_020914283.1	XP_048589769.1
OG0001141	XP_020893258.1	XP_032218422.2
OG0001141	XP_020906480.1	XP_032236267.2
OG0001143	XP_020912971.1, XP_028512942.1, XP_020901193.1, XP_020898271.2, XP_028514050.1, XP_020912972.2, XP_020893421.1	XP_048576149.1
OG0001146	XP_020911859.1, XP_020909009.1, XP_028518157.1, XP_020913166.1, XP_020893619.1, XP_020911862.1, XP_020909011.1	XP_048578885.1
OG0001147	XP_020897632.2, XP_020893838.1, XP_020917063.1, XP_020896173.1, XP_028513046.1, XP_020893755.1, XP_028513061.1	XP_032232148.2, XP_032225107.2
OG0001148	XP_020898522.1, XP_020893768.1	XP_048581962.1
OG0001149	XP_020893823.1	XP_048582497.1, XP_048582498.1, XP_048582496.1
OG0001150	XP_020893832.1	XP_032239415.2
OG0001151	XP_020898258.1, XP_028513138.1, XP_020894083.1, XP_028513145.1, XP_028513141.1	XP_032242894.2, XP_048581552.1
OG0001152	XP_020894121.1	XP_032227746.2
OG0001154	XP_020894215.1	XP_001641098.2
OG0001155	XP_028516750.1, XP_020908502.1, XP_020900081.1, XP_020911223.2, XP_028516737.1, XP_020895150.1, XP_020894671.1, XP_028513463.1	XP_048581473.1
OG0001156	XP_020894965.1	XP_048586648.1, XP_048586650.1, XP_001627780.2
OG0001158	XP_020895127.1	XP_048579987.1
OG0001158	XP_020912404.1, XP_020912460.1	XP_048575741.1
OG0001160	XP_020895211.1, XP_020895208.1	XP_048587839.1, XP_048587838.1, XP_048587691.1, XP_048587834.1, XP_032235531.2, XP_048587837.1
OG0001161	XP_028517915.1, XP_020895254.1, XP_020911977.1, XP_020903884.1, XP_020914629.1	XP_048590712.1
OG0001163	XP_020895344.1	XP_048590453.1
OG0001163	XP_020916162.1	XP_032239611.2
OG0001165	XP_020914961.1, XP_020912980.2	XP_032235557.2
OG0001165	XP_020917558.1, XP_020895676.1	XP_048586962.1
OG0001166	XP_020895695.1	XP_032229417.2
OG0001168	XP_020896628.2, XP_028514380.1	XP_048588771.1, XP_048588770.1, XP_001632993.2, XP_048588949.1, XP_001627728.3, XP_048588768.1, XP_048588825.1
OG0001169	XP_020907304.1, XP_028516937.1, XP_020898885.1, XP_020896732.1	XP_048589455.1, XP_032234333.1
OG0001170	XP_020896796.1, XP_020917664.1	XP_032221570.2, XP_032221569.1, XP_048576351.1, XP_048575985.1, XP_001640349.2, XP_048575984.1
OG0001171	XP_020896990.1, XP_020896991.1, XP_020908961.1, XP_020908941.1, XP_020909287.1	XP_001636397.3, XP_032242069.2
OG0001172	XP_020899906.1	XP_001628273.1, XP_032238745.2
OG0001172	XP_020897383.1, XP_020897073.1	XP_001634811.3
OG0001173	XP_020897216.1	XP_032227963.1, XP_032238858.1, XP_048588786.1, XP_032237657.1, XP_048589097.1
OG0001177	XP_020897340.1	XP_048584895.1
OG0001177	XP_028515178.1, XP_028519133.1, XP_028517881.1, XP_020913710.2, XP_028515390.1	XP_048585314.1
OG0001178	XP_028518972.1, XP_028514055.1, XP_028514069.1, XP_028514954.1, XP_020897469.2, XP_020915320.1	XP_001622468.2
OG0001179	XP_020897533.1	XP_032219705.2
OG0001180	XP_020897612.1	XP_001636711.1
OG0001180	XP_020905692.1	XP_032221699.1
OG0001181	XP_020907743.1, XP_020897663.1	XP_048582112.1
OG0001181	XP_020897827.1	XP_048579822.1, XP_048580251.1
OG0001182	XP_020907073.1, XP_020902825.1, XP_020899211.1, XP_028514123.1, XP_020897741.1, XP_028514137.1	XP_001622920.3, XP_048576204.1
OG0001183	XP_020897886.1	XP_048583196.1, XP_048579564.1, XP_048577135.1
OG0001184	XP_020897911.1, XP_028513931.1	XP_032218989.1, XP_032221621.2, XP_001631432.2, XP_001638919.3, XP_048575882.1
OG0001186	XP_020898185.1	XP_001629203.2
OG0001187	XP_020898191.1, XP_020898188.1	XP_001634757.3
OG0001188	XP_020898335.1, XP_020898355.1	XP_032224739.1
OG0001188	XP_020898370.1	XP_001637576.3
OG0001189	XP_020915836.1, XP_020900059.1, XP_020898338.1, XP_028518329.1, XP_028516991.1, XP_028518739.1, XP_020899463.1, XP_020906048.1	XP_048587494.1
OG0001190	XP_028515122.1, XP_020898407.1	XP_048583248.1, XP_048583260.1, XP_048590336.1
OG0001193	XP_028513425.1, XP_028512966.1, XP_028514293.1, XP_028517916.1, XP_020898573.1, XP_028512967.1	XP_048586228.1
OG0001194	XP_020898821.1, XP_020915438.1, XP_028516511.1	XP_048580435.1, XP_032239018.2
OG0001196	XP_020899191.1	XP_001634710.2
OG0001196	XP_020899110.1, XP_020899111.1	XP_001634675.2
OG0001198	XP_020917285.1, XP_020899335.1, XP_020899328.1	XP_001635635.2, XP_001629477.1, XP_032222462.2
OG0001199	XP_020899415.1	XP_048575728.1
OG0001199	XP_020901529.1, XP_020910867.1	XP_048576144.1
OG0001200	XP_020916762.1	XP_001623853.1
OG0001201	XP_020899736.1	XP_001630142.2
OG0001202	XP_020899757.1	XP_032226741.2, XP_001641139.1
OG0001204	XP_020899859.1	XP_032231206.2
OG0001208	XP_020900523.1	XP_001637902.2
OG0001208	XP_020914456.1	XP_001639675.3
OG0001210	XP_020901119.1, XP_020901118.1, XP_020901117.1, XP_020901122.1	XP_048587481.1
OG0001211	XP_020901272.2	XP_032228605.1
OG0001211	XP_020915080.2, XP_028517301.1, XP_020903293.1, XP_020904560.1	XP_048579088.1, XP_032217810.1
OG0001212	XP_020901513.1, XP_020914420.1	XP_001627114.1, XP_001627133.2
OG0001213	XP_020901628.1	XP_001623557.2
OG0001213	XP_020907196.1	XP_001636411.2
OG0001214	XP_020912846.1, XP_020901800.1, XP_020912845.1	XP_048585765.1, XP_048585846.1, XP_048585848.1, XP_001620975.3
OG0001216	XP_028514543.1	XP_048582993.1
OG0001216	XP_020912141.1, XP_020903195.1	XP_032237174.1
OG0001217	XP_028519674.1	XP_048582404.1
OG0001218	XP_020904253.1	XP_001635538.2
OG0001218	XP_020908162.1	XP_001630203.2
OG0001219	XP_020903476.1	XP_048584308.1
OG0001219	XP_020906282.1	XP_048576154.1
OG0001219	XP_020912954.1	XP_001635127.2
OG0001222	XP_020904324.1	XP_001628922.2
OG0001223	XP_028515955.1	XP_048587686.1
OG0001223	XP_020904372.1, XP_020916539.1	XP_001636309.3
OG0001224	XP_028514497.1	XP_048586454.1
OG0001224	XP_020906563.1, XP_020906585.1	XP_048578889.1
OG0001224	XP_020904435.1	XP_048579087.1
OG0001225	XP_020915743.1	XP_032236224.1
OG0001225	XP_020904588.1	XP_001625720.1
OG0001227	XP_028516939.1, XP_020904708.2, XP_020907964.1	XP_048587552.1, XP_001626966.2
OG0001228	XP_020905081.2	XP_048588226.1, XP_032233079.2, XP_032220648.2, XP_001629453.1, XP_048587600.1, XP_048588224.1, XP_048586571.1, XP_048586810.1
OG0001230	XP_028516404.1	XP_048577472.1
OG0001231	XP_020914059.1, XP_020905983.1, XP_020906218.1	XP_032234164.1
OG0001231	XP_028517855.1	XP_048578455.1
OG0001232	XP_028516563.1, XP_020906511.1, XP_028516558.1, XP_020906606.1	XP_032226581.2, XP_048588834.1, XP_001622402.2
OG0001234	XP_020906825.1	XP_032229519.1
OG0001234	XP_020906826.1, XP_020906878.1	XP_001626075.1
OG0001235	XP_020913056.1	XP_048579307.1
OG0001235	XP_020908361.1	XP_032239763.2
OG0001235	XP_028518220.1	XP_048580237.1
OG0001236	XP_028517012.1	XP_001637279.1
OG0001237	XP_020909431.1, XP_020909144.1	XP_032243129.1, XP_048584400.1, XP_032225484.2
OG0001238	XP_020909458.2, XP_028512549.1	XP_001638621.3, XP_048587658.1
