Orthogroup	aip_longest_isoforms	xenia_longest_isoforms
OG0001156	XP_020894965.1	Xe_012179-T1
OG0001161	XP_028517915.1, XP_020895254.1, XP_020911977.1, XP_020903884.1, XP_020914629.1	Xe_029072-T1
OG0001162	XP_020898568.2, XP_020895307.1, XP_028518342.1, XP_028516392.1, XP_028516097.1	Xe_029048-T1
OG0001163	XP_020895344.1	Xe_002782-T1
OG0001163	XP_020916162.1	Xe_029084-T1
OG0001165	XP_020914961.1, XP_020912980.2, XP_020917558.1, XP_020895676.1	Xe_014730-T1
OG0001166	XP_020895695.1	Xe_029011-T1
OG0001171	XP_020896990.1, XP_020896991.1, XP_020908961.1, XP_020908941.1, XP_020909287.1	Xe_012302-T1
OG0001172	XP_020899906.1, XP_020897383.1, XP_020897073.1	Xe_013516-T1
OG0001173	XP_020897216.1	Xe_021734-T1
OG0001179	XP_020897533.1	Xe_027985-T1, Xe_027986-T1, Xe_023112-T1, Xe_000414-T1, Xe_000416-T1, Xe_000415-T1
OG0001180	XP_020897612.1	Xe_004651-T1
OG0001180	XP_020905692.1	Xe_011714-T1
OG0001181	XP_020907743.1, XP_020897663.1, XP_020897827.1	Xe_016197-T1
OG0001183	XP_020897886.1	Xe_005752-T1, Xe_005754-T1, Xe_005750-T1, Xe_005759-T1
OG0001185	XP_020907863.1, XP_020912590.1, XP_020898019.1	Xe_025851-T1
OG0001186	XP_020898185.1	Xe_014471-T1, Xe_014470-T1, Xe_017366-T1, Xe_017372-T1, Xe_017371-T1, Xe_017364-T1
OG0001187	XP_020898191.1, XP_020898188.1	Xe_016560-T1
OG0001188	XP_020898335.1, XP_020898355.1, XP_020898370.1	Xe_028839-T1
OG0001198	XP_020917285.1, XP_020899335.1, XP_020899328.1	Xe_021253-T1
OG0001199	XP_020899415.1, XP_020901529.1, XP_020910867.1	Xe_016513-T1, Xe_016514-T1
OG0001200	XP_020915952.1, XP_020899445.1, XP_020902573.1, XP_020916762.1	Xe_020732-T1
OG0001201	XP_020899736.1	Xe_011029-T1, Xe_011028-T1, Xe_011019-T1, Xe_019395-T1, Xe_011021-T1, Xe_011020-T1
OG0001202	XP_020899757.1	Xe_012719-T1
OG0001204	XP_020899859.1	Xe_006574-T1, Xe_006416-T1, Xe_006489-T1, Xe_006473-T1, Xe_006551-T1, Xe_006507-T1
OG0001206	XP_020912561.1, XP_020900092.2	Xe_027075-T1, Xe_025889-T1, Xe_017933-T1, Xe_024062-T1, Xe_009137-T1, Xe_025961-T1, Xe_025301-T1
OG0001208	XP_020900523.1	Xe_015593-T1
OG0001208	XP_020914456.1	Xe_005630-T1
OG0001210	XP_020901119.1, XP_020901118.1, XP_020901117.1, XP_020901122.1	Xe_007439-T1, Xe_007440-T1
OG0001212	XP_020901513.1, XP_020914420.1	Xe_025830-T1, Xe_010891-T1, Xe_018277-T1
OG0001213	XP_020901628.1	Xe_021722-T1
OG0001213	XP_020907196.1	Xe_004127-T1, Xe_004301-T1
OG0001214	XP_020912846.1, XP_020901800.1, XP_020912845.1	Xe_012203-T1
OG0001217	XP_028519674.1	Xe_000847-T1
OG0001217	XP_020903410.2	Xe_018687-T1, Xe_018696-T1, Xe_018689-T1, Xe_018706-T1
OG0001218	XP_020904253.1, XP_020903463.1, XP_020908162.1	Xe_015564-T1, Xe_015563-T1, Xe_015562-T1
OG0001221	XP_020904023.1	Xe_009509-T1, Xe_009753-T1
OG0001222	XP_020904324.1	Xe_025920-T1, Xe_028382-T1, Xe_028409-T1, Xe_023931-T1, Xe_028110-T1, Xe_026359-T1
OG0001223	XP_028515955.1	Xe_007939-T1
OG0001223	XP_020904372.1, XP_020916539.1	Xe_007940-T1
OG0001224	XP_028514497.1, XP_020906563.1, XP_020906585.1, XP_020904435.1	Xe_022325-T1
OG0001225	XP_020915743.1, XP_020904588.1	Xe_001033-T1
OG0001227	XP_028516939.1, XP_020904708.2, XP_020907964.1	Xe_001203-T1
OG0001230	XP_028516404.1, XP_020905904.1	Xe_000865-T1, Xe_017942-T1, Xe_023328-T1, Xe_022459-T1
OG0001231	XP_020914059.1, XP_020905983.1, XP_020906218.1, XP_028517855.1	Xe_002865-T1
OG0001233	XP_028512498.1, XP_020914963.1, XP_020906728.1, XP_028519062.1	Xe_019763-T1
OG0001234	XP_020906825.1, XP_020906826.1, XP_020906878.1	Xe_021509-T1
OG0001236	XP_020908703.1	Xe_003726-T1, Xe_003651-T1
OG0001236	XP_028517012.1	Xe_010598-T1
OG0001237	XP_020909431.1, XP_020909144.1	Xe_004357-T1, Xe_004360-T1
OG0001238	XP_020909458.2, XP_028512549.1	Xe_008180-T1
OG0001241	XP_020909972.1	Xe_025463-T1, Xe_007587-T1, Xe_010476-T1, Xe_025464-T1, Xe_009844-T1, Xe_009845-T1
OG0001242	XP_028517580.1, XP_020916339.1, XP_020909973.1	Xe_021622-T1
OG0001243	XP_020917253.1, XP_020910269.1	Xe_002140-T1, Xe_002139-T1
OG0001245	XP_020910378.1, XP_020914390.1	Xe_017730-T1, Xe_019387-T1, Xe_006659-T1, Xe_006503-T1, Xe_017554-T1, Xe_025820-T1, Xe_004567-T1
OG0001246	XP_020911192.1	Xe_014613-T1, Xe_014350-T1
OG0001247	XP_020911319.1	Xe_024775-T1
OG0001248	XP_028512938.1, XP_020914392.1, XP_020911498.1	Xe_029142-T1, Xe_029122-T1
OG0001249	XP_020911669.1, XP_020911670.1	Xe_024732-T1, Xe_024729-T1, Xe_024725-T2, Xe_024724-T1
OG0001250	XP_020912431.1, XP_020911698.1	Xe_016156-T1
OG0001252	XP_020911953.1	Xe_001443-T1
OG0001253	XP_020913931.1, XP_020912007.1, XP_020913440.1	Xe_027552-T1, Xe_028254-T1, Xe_016269-T1
OG0001257	XP_028512935.1, XP_020912566.1	Xe_025212-T1
OG0001259	XP_020917407.1, XP_020913354.2	Xe_010049-T1
OG0001259	XP_020917453.1	Xe_010048-T1
OG0001261	XP_020915373.2, XP_020915364.1	Xe_019424-T1, Xe_019412-T1, Xe_019438-T1, Xe_008585-T1, Xe_029055-T1, Xe_019425-T1, Xe_008586-T1
OG0001262	XP_020915602.1	Xe_008779-T1
OG0001263	XP_020915675.1, XP_020915674.1, XP_020915686.1, XP_020915672.1	Xe_016290-T1, Xe_016297-T1, Xe_016298-T1
OG0001265	XP_020917136.1, XP_020917164.1	Xe_024667-T1, Xe_006820-T1, Xe_022071-T1, Xe_022071-T2, Xe_022069-T1
OG0001266	XP_028514171.1, XP_028515704.1, XP_020917254.1	Xe_028815-T2, Xe_028815-T1
OG0001267	XP_020917442.2, XP_028515752.1	Xe_015312-T1
OG0001268	XP_028518827.1, XP_020917633.2	Xe_012779-T1, Xe_012775-T1, Xe_012770-T1, Xe_012774-T1, Xe_012772-T1
OG0001270	XP_028514068.1, XP_028514067.1, XP_028512951.1	Xe_002644-T1
OG0001271	XP_028513100.1	Xe_029025-T1
OG0001275	XP_028516285.1	Xe_026396-T1, Xe_026397-T1, Xe_015294-T1, Xe_018173-T1, Xe_001915-T1, Xe_015293-T1
OG0001276	XP_028516516.1	Xe_008753-T1, Xe_019826-T1, Xe_011200-T1, Xe_006203-T1, Xe_024907-T1, Xe_029062-T1, Xe_029002-T1
OG0001277	XP_028516543.1	Xe_003510-T1, Xe_003501-T1, Xe_003512-T1, Xe_003496-T1, Xe_003497-T1, Xe_003487-T1
OG0001279	XP_028517990.1	Xe_007781-T1, Xe_007784-T1, Xe_007783-T1, Xe_007782-T1, Xe_007780-T1
OG0001280	XP_028517991.1	Xe_028760-T1, Xe_004103-T1, Xe_028758-T1, Xe_012365-T1, Xe_004102-T1, Xe_028759-T1
OG0001281	XP_028518052.1	Xe_015860-T1, Xe_003248-T1
OG0001282	XP_028519426.1	Xe_005192-T1, Xe_023926-T1, Xe_006853-T1, Xe_006857-T1, Xe_028717-T1, Xe_022645-T1, Xe_022514-T1
OG0001283	XP_028519442.1	Xe_025026-T1, Xe_023804-T1, Xe_001671-T1, Xe_001648-T1, Xe_006382-T1, Xe_022423-T1, Xe_018365-T1, Xe_011077-T1
OG0001349	XP_028512860.1	Xe_022001-T1, Xe_022000-T1
OG0001349	XP_020891796.1	Xe_002944-T1
OG0001350	XP_020891801.1, XP_020917864.1	Xe_014330-T1
OG0001354	XP_020892192.1, XP_028513937.1	Xe_013058-T1
OG0001355	XP_020892249.1	Xe_000426-T1
OG0001356	XP_020897155.1, XP_020910283.1, XP_028514051.1, XP_020892283.1, XP_028512635.1	Xe_012718-T1
OG0001357	XP_020892315.1	Xe_020276-T1, Xe_009210-T1, Xe_020632-T1, Xe_020275-T1, Xe_020631-T1
OG0001358	XP_028514189.1, XP_028517358.1, XP_020892365.1	Xe_003300-T1
OG0001360	XP_020892461.1, XP_028514790.1, XP_028514783.1, XP_028516717.1	Xe_022356-T1
OG0001361	XP_020892469.1, XP_020899220.1	Xe_014018-T1, Xe_027415-T1
OG0001363	XP_020914436.1, XP_020897012.1, XP_020892652.2	Xe_002080-T1
OG0001364	XP_020892700.1	Xe_007388-T1, Xe_007350-T1, Xe_007368-T1, Xe_007389-T1, Xe_007391-T1
OG0001366	XP_020893748.1, XP_020892821.1, XP_020893841.1, XP_020897633.1, XP_020904715.1	Xe_008100-T1
OG0001367	XP_020892897.2	Xe_021587-T1, Xe_021437-T1, Xe_021591-T1, Xe_021432-T1, Xe_021439-T1
OG0001368	XP_020892955.1, XP_020892978.1	Xe_005744-T1
OG0001369	XP_020893024.1, XP_020913333.1	Xe_013617-T1
OG0001372	XP_020893331.1, XP_020911896.1, XP_020900394.1	Xe_022730-T1
OG0001373	XP_020893398.1, XP_028516219.1	Xe_015114-T1, Xe_018213-T1, Xe_009561-T1, Xe_025525-T1
OG0001374	XP_020893447.1, XP_020901067.1, XP_020901065.1	Xe_015772-T1
OG0001376	XP_020893627.1, XP_020910028.1, XP_020906249.1	Xe_001250-T1
OG0001378	XP_020893866.1	Xe_022296-T1, Xe_022301-T1, Xe_022299-T1, Xe_022298-T1, Xe_022300-T1
OG0001380	XP_020909126.1, XP_020893940.1	Xe_004637-T1
OG0001382	XP_020894446.2, XP_028516672.1, XP_020914496.2	Xe_015883-T1, Xe_015882-T1
OG0001383	XP_028512906.1, XP_028513610.1, XP_028513649.1, XP_020894465.1	Xe_018671-T1
OG0001384	XP_020894548.1, XP_020895798.1	Xe_020857-T1, Xe_020837-T1
OG0001386	XP_020894648.1, XP_020914757.1	Xe_022716-T1
OG0001390	XP_020895451.2	Xe_003460-T1, Xe_003224-T1, Xe_003223-T1, Xe_003225-T1, Xe_003462-T1
OG0001391	XP_028513461.1	Xe_002861-T1
OG0001391	XP_020895456.1, XP_020895457.1	Xe_002862-T1
OG0001393	XP_020896073.1, XP_020895536.2	Xe_004323-T1, Xe_004233-T1
OG0001394	XP_020895600.1, XP_020895585.1	Xe_013049-T1, Xe_013048-T1
OG0001395	XP_020895745.2, XP_028513550.1	Xe_020162-T2, Xe_020214-T1
OG0001397	XP_020895979.1	Xe_023903-T1, Xe_010242-T1, Xe_010847-T1, Xe_010855-T1, Xe_026755-T1, Xe_001459-T1, Xe_023898-T1
OG0001398	XP_020911301.1, XP_020907149.2, XP_020896002.1, XP_020905526.1	Xe_020578-T1
OG0001400	XP_020896149.1	Xe_010471-T1, Xe_028412-T1, Xe_026167-T1, Xe_010488-T1, Xe_010411-T1
OG0001401	XP_020896182.1	Xe_022734-T1
OG0001402	XP_020902025.1	Xe_014764-T1
OG0001402	XP_020896337.1	Xe_001053-T1
OG0001404	XP_028513561.1, XP_028514836.1, XP_020896396.1, XP_020909963.1, XP_028516726.1, XP_028518102.1	Xe_025845-T1
OG0001405	XP_020896409.1, XP_028513720.1	Xe_007516-T1, Xe_010628-T1, Xe_010646-T1
OG0001408	XP_020896620.1, XP_020896626.1	Xe_012630-T1
OG0001410	XP_028513840.1, XP_020896701.2, XP_020896683.1	Xe_006075-T1, Xe_006076-T1
OG0001411	XP_020896857.1, XP_020896912.1	Xe_011859-T2, Xe_011859-T1
OG0001413	XP_020901104.2, XP_020897097.1, XP_020897038.1, XP_020900613.2	Xe_025628-T1
OG0001414	XP_020897645.1	Xe_004563-T1, Xe_004566-T1, Xe_004564-T1, Xe_004565-T1, Xe_004591-T1
OG0001416	XP_020897919.1	Xe_000764-T1
OG0001416	XP_028514162.1	Xe_000763-T1
OG0001417	XP_028519081.1, XP_020898086.2	Xe_011906-T1
OG0001420	XP_028514246.1, XP_020898172.1	Xe_013473-T1, Xe_013474-T1, Xe_013475-T1
OG0001422	XP_020898192.1, XP_028518400.1, XP_020912723.1	Xe_014712-T1, Xe_013609-T1
OG0001425	XP_020898315.1, XP_020898291.1, XP_020913446.1, XP_020913445.1	Xe_014476-T1, Xe_005713-T1
OG0001426	XP_028517851.1, XP_020898467.2	Xe_005474-T1, Xe_005475-T1, Xe_005473-T1, Xe_005457-T1
OG0001427	XP_028515010.1, XP_028517110.1, XP_020898615.1	Xe_008878-T1
OG0001428	XP_020908626.1, XP_020898730.1, XP_020907103.1	Xe_000197-T1
OG0001430	XP_020898854.1	Xe_002694-T1, Xe_002696-T1, Xe_002693-T1, Xe_002690-T1, Xe_002691-T1
OG0001432	XP_028519006.1, XP_020899150.1	Xe_023660-T2, Xe_023451-T1
OG0001433	XP_020906409.1, XP_028518399.1, XP_020899378.1, XP_028513003.1	Xe_029090-T1
OG0001434	XP_020899476.1, XP_020914883.1	Xe_023489-T1
OG0001435	XP_020899599.1	Xe_023133-T1, Xe_023134-T1, Xe_023135-T1, Xe_023136-T1, Xe_024460-T1
OG0001436	XP_020899658.1, XP_020899670.1	Xe_009933-T1, Xe_001209-T1
OG0001439	XP_020899955.1	Xe_014233-T1, Xe_014236-T1, Xe_014266-T1
OG0001440	XP_028513367.1, XP_020912601.1, XP_028518359.1, XP_020900128.1, XP_020900129.1	Xe_021907-T1
OG0001441	XP_020900148.1	Xe_028175-T1, Xe_028186-T1, Xe_028223-T1, Xe_010383-T1, Xe_028183-T1
OG0001442	XP_020900161.1	Xe_012281-T1
OG0001442	XP_020908778.1	Xe_014363-T1
OG0001444	XP_020900311.1, XP_028513470.1, XP_020901381.2	Xe_026475-T1, Xe_018174-T1, Xe_026711-T1
OG0001445	XP_020900313.1, XP_020900312.2, XP_028512767.1	Xe_003385-T1
OG0001446	XP_020902718.1, XP_020900377.1	Xe_020092-T1, Xe_020070-T1
OG0001447	XP_020900441.1	Xe_012830-T1
OG0001447	XP_020917244.1	Xe_009929-T1
OG0001448	XP_020903103.1, XP_020900531.1, XP_020903090.1	Xe_018557-T1
OG0001449	XP_020906504.1, XP_020900686.1	Xe_022789-T1
OG0001450	XP_020900765.1, XP_020900766.1, XP_020900764.1	Xe_011608-T1
OG0001452	XP_020901100.1	Xe_018032-T1, Xe_018357-T1, Xe_018366-T1, Xe_018359-T1, Xe_018030-T1
OG0001454	XP_020901200.1	Xe_023168-T1, Xe_023120-T1, Xe_023165-T1, Xe_023116-T1, Xe_023164-T1
OG0001456	XP_020901399.1	Xe_017764-T1, Xe_017800-T1, Xe_017931-T1, Xe_017799-T1, Xe_017751-T1
OG0001457	XP_020901409.1	Xe_017361-T2, Xe_017379-T1, Xe_017365-T1, Xe_017367-T1, Xe_017374-T1
OG0001458	XP_020901437.2	Xe_015787-T1, Xe_015788-T1
OG0001459	XP_028515091.1, XP_020901600.1, XP_020901601.1, XP_028515093.1, XP_028514935.1	Xe_017649-T1, Xe_017628-T1
OG0001460	XP_020901637.1	Xe_000613-T1, Xe_000614-T1, Xe_000615-T1, Xe_000616-T1
OG0001461	XP_020917326.1	Xe_001274-T1
OG0001461	XP_020901687.1	Xe_004300-T1, Xe_004128-T1
OG0001463	XP_028512702.1, XP_020917493.1, XP_020901939.1	Xe_015928-T1
OG0001464	XP_020904505.1, XP_020904503.1, XP_020901958.1, XP_028514089.1	Xe_023413-T1
OG0001465	XP_020902160.2	Xe_015446-T1
OG0001465	XP_020912213.1	Xe_022210-T1
OG0001466	XP_020902360.1	Xe_014127-T1, Xe_014142-T1, Xe_014141-T1
OG0001467	XP_020902472.1	Xe_009850-T1
OG0001467	XP_020906921.1	Xe_021468-T1
OG0001468	XP_020904662.1, XP_020902498.1	Xe_005293-T1
OG0001469	XP_020902791.1	Xe_008109-T1
OG0001469	XP_028518070.1	Xe_002889-T1
OG0001471	XP_028518603.1, XP_020903007.2, XP_028514788.1, XP_028518601.1, XP_028515615.1	Xe_021926-T1
OG0001473	XP_028514920.1, XP_028516844.1, XP_020903382.1	Xe_021485-T1
OG0001475	XP_020903552.1, XP_020903556.1	Xe_012330-T1
OG0001478	XP_020903881.1	Xe_029143-T1
OG0001479	XP_020903906.1	Xe_014131-T1
OG0001479	XP_020908884.1	Xe_014037-T1
OG0001480	XP_020903908.1	Xe_024219-T1, Xe_008627-T1
OG0001481	XP_020904478.1	Xe_020908-T1
OG0001481	XP_028514495.1, XP_020904288.1, XP_020905717.2	Xe_020909-T1
OG0001483	XP_020904690.1, XP_020914403.2, XP_028516039.1	Xe_006828-T1
OG0001484	XP_028518407.1, XP_020904711.1, XP_028517054.1	Xe_015063-T1
OG0001485	XP_020904857.1	Xe_017476-T1, Xe_017441-T1, Xe_017477-T1, Xe_017438-T1, Xe_017439-T1, Xe_015492-T1
OG0001486	XP_028516162.1, XP_020905190.1	Xe_015789-T1, Xe_015790-T1
OG0001487	XP_020913889.1, XP_020914696.1, XP_020905450.1	Xe_003927-T1
OG0001488	XP_020908670.1, XP_020905511.1	Xe_009887-T1, Xe_010001-T1, Xe_009999-T1
OG0001489	XP_020905540.1, XP_020910091.1	Xe_014397-T1, Xe_015417-T1
OG0001493	XP_020905938.1, XP_020911327.1, XP_020907382.1	Xe_014324-T1
OG0001496	XP_020906170.1, XP_020906162.1	Xe_011710-T1
OG0001497	XP_020912634.2, XP_020907832.2	Xe_002274-T1
OG0001497	XP_020906424.1	Xe_002275-T1
OG0001498	XP_020906432.1	Xe_028854-T2
OG0001498	XP_028515925.1	Xe_021789-T1, Xe_021789-T2
OG0001500	XP_020907315.2	Xe_012877-T1, Xe_012878-T1, Xe_012885-T1, Xe_012884-T1, Xe_012883-T1
OG0001503	XP_020908119.2	Xe_028977-T1
OG0001504	XP_020908174.1	Xe_021732-T1
OG0001504	XP_020917645.1	Xe_002363-T1
OG0001507	XP_028516131.1, XP_028517159.1, XP_020908676.1	Xe_021916-T1
OG0001509	XP_020909142.1	Xe_005093-T1
OG0001510	XP_020911918.2, XP_020909685.1, XP_028513266.1	Xe_004375-T1
OG0001512	XP_020909787.1, XP_020909772.1, XP_020909771.1	Xe_008226-T1
OG0001513	XP_020910290.1	Xe_029144-T1
OG0001513	XP_020909959.1	Xe_028894-T1
OG0001514	XP_028513282.1, XP_020910085.1, XP_028514005.1	Xe_004965-T1
OG0001515	XP_020910451.1	Xe_016907-T1, Xe_016992-T1, Xe_021557-T1, Xe_017104-T1
OG0001516	XP_020910706.1	Xe_024783-T1, Xe_001286-T1, Xe_001285-T1, Xe_001283-T1
OG0001519	XP_020910853.1	Xe_010978-T1, Xe_010981-T1, Xe_005969-T1, Xe_010979-T1, Xe_010980-T1
OG0001521	XP_020911021.1, XP_020911022.1, XP_028519738.1	Xe_005745-T1
OG0001522	XP_020911066.1, XP_028512914.1	Xe_005720-T1
OG0001523	XP_020913478.1, XP_020911328.1	Xe_014990-T1
OG0001524	XP_020911512.2, XP_020911517.1	Xe_007812-T1
OG0001525	XP_020911529.1	Xe_014452-T1
OG0001526	XP_020911583.2, XP_028514031.1	Xe_003624-T1
OG0001527	XP_028518095.1, XP_020911611.1, XP_020911608.1	Xe_002731-T1, Xe_002730-T1
OG0001528	XP_020911741.1, XP_028519672.1	Xe_015691-T1
OG0001531	XP_020911954.1	Xe_002018-T1, Xe_002020-T1, Xe_002021-T1, Xe_002025-T1
OG0001537	XP_020916584.1	Xe_012551-T1
OG0001538	XP_020915355.1	Xe_012849-T1
OG0001538	XP_020913072.1	Xe_014278-T1
OG0001539	XP_020913171.1, XP_020913264.1, XP_028518571.1	Xe_004848-T1
OG0001540	XP_020913359.1, XP_020913405.1, XP_028512651.1, XP_028518595.1	Xe_008034-T1
OG0001541	XP_020913388.1, XP_028518583.1	Xe_023513-T1, Xe_023432-T1, Xe_023511-T1
OG0001542	XP_020913429.1, XP_028518516.1	Xe_028956-T1
OG0001543	XP_020913522.1	Xe_014790-T1
OG0001543	XP_020915804.1	Xe_000675-T1, Xe_000683-T1
OG0001544	XP_020914025.1	Xe_016017-T1
OG0001545	XP_020914236.2	Xe_010930-T1, Xe_010931-T1
OG0001546	XP_020914307.1	Xe_015780-T1, Xe_015778-T1, Xe_015782-T1, Xe_015781-T1, Xe_003913-T1
OG0001547	XP_020914565.1	Xe_003477-T1, Xe_003474-T1, Xe_003480-T1, Xe_003472-T1, Xe_003481-T1, Xe_025235-T1
OG0001549	XP_020914675.1, XP_020914674.1, XP_020914879.1	Xe_004725-T1
OG0001550	XP_020915551.1	Xe_005432-T1, Xe_005448-T1, Xe_005445-T1, Xe_005442-T1, Xe_005451-T1
OG0001551	XP_020915578.1	Xe_008905-T1, Xe_027310-T1
OG0001552	XP_020915607.1, XP_028519161.1	Xe_002445-T1
OG0001553	XP_020915696.1, XP_020915713.1	Xe_002380-T3
OG0001554	XP_020915826.1	Xe_000791-T1, Xe_000792-T1
OG0001555	XP_020916111.1, XP_020916142.1	Xe_002202-T1
OG0001556	XP_020916602.2	Xe_015794-T1
OG0001556	XP_028517831.1, XP_020916877.1	Xe_001980-T1
OG0001558	XP_020916854.1	Xe_002326-T1
OG0001559	XP_020917263.1	Xe_026645-T1, Xe_009311-T1, Xe_028094-T1
OG0001560	XP_020917454.1, XP_028516785.1	Xe_009978-T1, Xe_009979-T1
OG0001564	XP_028512816.1	Xe_001238-T1, Xe_001236-T1, Xe_001235-T1, Xe_001234-T1, Xe_001237-T1
OG0001566	XP_028512904.1	Xe_009501-T1, Xe_009496-T1, Xe_009498-T1, Xe_009489-T1, Xe_009493-T1
OG0001570	XP_028514340.1, XP_028518478.1, XP_028514352.1, XP_028517051.1, XP_028518477.1, XP_028517056.1	Xe_022187-T1
OG0001571	XP_028514990.1	Xe_016604-T1, Xe_016600-T1, Xe_016595-T1, Xe_016599-T1, Xe_016603-T1
OG0001572	XP_028515673.1	Xe_008448-T1, Xe_011973-T1
OG0001573	XP_028516164.1	Xe_013098-T1, Xe_013104-T1, Xe_013101-T1, Xe_013105-T1, Xe_013097-T1, Xe_013099-T2, Xe_013099-T1
OG0001574	XP_028516309.1, XP_028516310.1	Xe_014626-T1, Xe_014656-T1
OG0001580	XP_028517959.1	Xe_010661-T1, Xe_010662-T1
OG0001581	XP_028518625.1	Xe_015622-T2, Xe_015610-T1, Xe_015609-T1
OG0001583	XP_028519077.1	Xe_017109-T1, Xe_024008-T1, Xe_026518-T1, Xe_024852-T1, Xe_018049-T1, Xe_024007-T1, Xe_020722-T1
OG0001584	XP_028519410.1	Xe_022024-T1
OG0001672	XP_020912863.1, XP_020891937.1	Xe_012421-T1, Xe_012419-T1
OG0001675	XP_020892131.1	Xe_002925-T1, Xe_002926-T2, Xe_002924-T1
OG0001676	XP_020906280.1, XP_020892142.1	Xe_017347-T1
OG0001677	XP_020892220.1, XP_020892190.1	Xe_013952-T1
OG0001678	XP_020892196.1	Xe_012797-T1, Xe_012796-T1
OG0001679	XP_020892293.1, XP_020892314.1, XP_028517303.1	Xe_015890-T1
OG0001681	XP_020900667.1, XP_020901141.1, XP_020892418.1	Xe_000555-T1
OG0001682	XP_020892527.1	Xe_010503-T1
OG0001683	XP_020892733.1, XP_020895109.1	Xe_022179-T1
OG0001686	XP_020898482.1, XP_020892930.1	Xe_003031-T1
OG0001687	XP_020904734.1	Xe_003806-T1
OG0001687	XP_020893101.1	Xe_003914-T1
OG0001688	XP_020893152.1, XP_020896712.1, XP_020896385.2	Xe_008036-T1
OG0001689	XP_020893228.1	Xe_023974-T1, Xe_022640-T1, Xe_022502-T1, Xe_021524-T1
OG0001690	XP_020893257.1, XP_020910777.1	Xe_005385-T1, Xe_005388-T1
OG0001692	XP_020893285.1, XP_020911375.1, XP_020899616.1	Xe_012518-T1
OG0001694	XP_020893324.1	Xe_005897-T1, Xe_005915-T1, Xe_005907-T1, Xe_005891-T1
OG0001698	XP_020914720.1	Xe_002341-T1
OG0001698	XP_020893718.1	Xe_002337-T1, Xe_003152-T1
OG0001699	XP_020893807.1, XP_020905982.1	Xe_022224-T3
OG0001700	XP_020893902.1	Xe_008229-T1
OG0001700	XP_028516773.1	Xe_010154-T1, Xe_008230-T1
OG0001701	XP_020896951.1, XP_020893930.2	Xe_019789-T1
OG0001703	XP_020894148.1	Xe_006627-T1, Xe_006601-T1, Xe_006607-T1, Xe_006630-T1
OG0001704	XP_028518351.1, XP_020894171.1, XP_020903965.1	Xe_003289-T1, Xe_003290-T1
OG0001705	XP_020894274.1	Xe_003850-T1, Xe_003858-T1, Xe_003693-T1, Xe_011839-T1
OG0001706	XP_020894321.2	Xe_011842-T1
OG0001706	XP_028513188.1	Xe_011845-T1
OG0001709	XP_020894598.2	Xe_005116-T1, Xe_006089-T1, Xe_011653-T1, Xe_006090-T1
OG0001710	XP_020905092.1, XP_020894612.1	Xe_004967-T1
OG0001711	XP_020896301.1, XP_020894768.1	Xe_014766-T1
OG0001712	XP_020894971.1, XP_020894972.1	Xe_024831-T1
OG0001713	XP_020895066.1, XP_020895110.1	Xe_009188-T1
OG0001714	XP_020895079.2	Xe_025170-T1, Xe_025177-T1, Xe_025173-T1, Xe_025178-T1
OG0001715	XP_020895126.1, XP_020898744.1	Xe_009277-T1
OG0001716	XP_020895132.1	Xe_028600-T1, Xe_022439-T1, Xe_022441-T1, Xe_009702-T1
OG0001717	XP_028516210.1, XP_020895149.1, XP_020914989.1	Xe_027531-T1, Xe_023096-T1, Xe_018156-T1, Xe_026083-T1
OG0001718	XP_020895255.1, XP_028519092.1	Xe_022690-T1, Xe_025304-T1, Xe_001814-T1
OG0001719	XP_020895474.1, XP_020895287.1, XP_028517408.1	Xe_002675-T1
OG0001723	XP_020900655.1, XP_020899866.1, XP_020895532.2	Xe_002211-T1, Xe_002214-T1
OG0001724	XP_020895639.1	Xe_019860-T1, Xe_019735-T1, Xe_026391-T1, Xe_021054-T1, Xe_026390-T1, Xe_017900-T1
OG0001725	XP_028514424.1, XP_020895665.1	Xe_023173-T1, Xe_023160-T1, Xe_023118-T1, Xe_023174-T1
OG0001727	XP_020895710.1, XP_020903057.1	Xe_002808-T1
OG0001727	XP_020903034.1	Xe_011445-T1
OG0001728	XP_020914721.1, XP_020895725.1	Xe_015297-T1
OG0001729	XP_020897153.1, XP_020895769.1, XP_020904151.1	Xe_008619-T1
OG0001730	XP_020895819.1	Xe_009436-T1, Xe_009435-T1, Xe_009437-T1
OG0001731	XP_020895861.1, XP_020895863.1	Xe_014348-T1
OG0001732	XP_028514907.1	Xe_026479-T1, Xe_015348-T1, Xe_001865-T1
OG0001732	XP_020895937.1	Xe_015347-T1
OG0001733	XP_020895950.1, XP_020908764.1	Xe_008176-T1
OG0001737	XP_020906324.1, XP_020896074.1, XP_020896089.1	Xe_020733-T1
OG0001738	XP_020896122.1, XP_020912702.1	Xe_004836-T1, Xe_005150-T1, Xe_004837-T1
OG0001739	XP_020896132.1, XP_020908945.2, XP_028514271.1, XP_020909545.1	Xe_011248-T1
OG0001740	XP_020896247.1	Xe_010167-T1, Xe_010168-T1
OG0001741	XP_020896275.2, XP_020896323.1	Xe_009324-T1, Xe_009325-T1
OG0001742	XP_020896299.1, XP_020896293.1	Xe_000797-T1
OG0001744	XP_020896422.1, XP_020913872.1	Xe_013581-T1, Xe_013291-T1, Xe_013582-T1
OG0001746	XP_020896553.1, XP_020899681.1	Xe_028804-T1
