Orthogroup	nvec_longest_isoform	xenia_longest_isoforms
OG0001861	XP_032225528.1	Xe_008184-T1
OG0001862	XP_032240017.1, XP_001627122.2	Xe_018653-T1
OG0001863	XP_032218919.2	Xe_021955-T1
OG0001865	XP_032230198.2, XP_001626721.3	Xe_003056-T1
OG0001866	XP_048590337.1	Xe_025324-T1, Xe_008119-T1
OG0001868	XP_001627682.2, XP_032230018.2	Xe_012107-T1
OG0001870	XP_048587110.1, XP_001623941.2	Xe_007922-T1
OG0001871	XP_001636351.2	Xe_008032-T1
OG0001872	XP_001633221.3, XP_032227679.2	Xe_004279-T1
OG0001873	XP_001632400.3	Xe_024781-T1, Xe_024782-T1
OG0001874	XP_032240169.2	Xe_000522-T1, Xe_011609-T1
OG0001876	XP_048578715.1	Xe_004318-T1, Xe_004226-T1, Xe_004338-T1
OG0001880	XP_048587268.1, XP_048587267.1	Xe_007896-T1
OG0001883	XP_001624734.3, XP_001634849.2	Xe_021769-T1, Xe_021767-T1
OG0001884	XP_032235293.1, XP_032235239.2	Xe_015857-T1
OG0001885	XP_048581418.1	Xe_022525-T1
OG0001885	XP_032234294.2	Xe_014245-T1, Xe_022524-T1
OG0001886	XP_032241430.2, XP_032237976.2	Xe_015302-T1, Xe_015301-T1
OG0001890	XP_048588772.1, XP_048587927.1, XP_032231453.1	Xe_027269-T1, Xe_014480-T1
OG0001891	XP_032225580.2	Xe_009155-T1, Xe_009156-T1, Xe_009170-T1, Xe_002686-T1
OG0001893	XP_048580028.1, XP_032226629.1	Xe_004639-T1
OG0001894	XP_032223620.2, XP_048582886.1, XP_001631375.2	Xe_004874-T1
OG0001896	XP_032241727.2, XP_048586633.1, XP_032241730.2, XP_048586389.1	Xe_012019-T1
OG0001897	XP_048576360.1	Xe_024404-T1, Xe_029077-T1
OG0001898	XP_001627186.3, XP_032230734.1	Xe_005104-T1
OG0001899	XP_048583121.1, XP_032236841.1	Xe_004915-T1
OG0001901	XP_001641935.1, XP_001641875.1	Xe_014463-T1
OG0001902	XP_001639080.2, XP_032241035.2	Xe_014914-T1
OG0001904	XP_001629877.1, XP_001629878.1	Xe_002858-T1, Xe_002859-T1
OG0001907	XP_048577767.1	Xe_003973-T1, Xe_011004-T1, Xe_010956-T1, Xe_011002-T1
OG0001911	XP_048582167.1	Xe_009174-T1, Xe_009164-T1
OG0001912	XP_032222914.1	Xe_022121-T1, Xe_022106-T1, Xe_022116-T1, Xe_022099-T1
OG0001913	XP_048584933.1, XP_001633822.1	Xe_024220-T1
OG0001915	XP_032234889.2	Xe_011386-T1, Xe_011390-T1, Xe_011385-T1
OG0001917	XP_048583142.1	Xe_003263-T1
OG0001918	XP_032229955.2	Xe_002317-T1
OG0001919	XP_001630959.2, XP_032220082.2	Xe_008047-T1
OG0001921	XP_001633340.2, XP_048586693.1	Xe_012517-T1
OG0001922	XP_048584585.1	Xe_023520-T1, Xe_023440-T1
OG0001923	XP_001634963.3, XP_032222729.2	Xe_004932-T1, Xe_014366-T1, Xe_014270-T1
OG0001924	XP_048582426.1	Xe_004851-T1
OG0001924	XP_001637900.2	Xe_009583-T1
OG0001925	XP_048584932.1, XP_048585167.1	Xe_015800-T1
OG0001927	XP_048584433.1	Xe_013637-T1, Xe_013633-T1, Xe_013635-T1
OG0001928	XP_032220093.2, XP_048587274.1	Xe_028837-T1
OG0001929	XP_048581606.1, XP_048581157.1	Xe_012838-T1
OG0001930	XP_032235455.1, XP_032227336.2, XP_048578152.1	Xe_011694-T1
OG0001931	XP_048577960.1, XP_001630801.3	Xe_010393-T1
OG0001932	XP_001630040.1	Xe_002335-T2, Xe_023993-T1, Xe_018455-T1, Xe_001497-T1
OG0001933	XP_032229003.1	Xe_011519-T1
OG0001933	XP_032228971.2	Xe_013210-T1
OG0001934	XP_032233911.1, XP_001634137.1	Xe_008601-T1, Xe_008602-T1
OG0001935	XP_048583507.1	Xe_002350-T1, Xe_002347-T1, Xe_002353-T1
OG0001936	XP_048580620.1, XP_001632898.2	Xe_027190-T1
OG0001938	XP_032225826.2, XP_048579006.1, XP_001622909.2	Xe_000429-T1
OG0001939	XP_048584232.1	Xe_003149-T1, Xe_022436-T1, Xe_001567-T1, Xe_001566-T1
OG0001940	XP_048579999.1, XP_048580001.1, XP_048585201.1	Xe_001395-T1
OG0001941	XP_048585506.1, XP_001640853.3, XP_048584922.1, XP_048584923.1	Xe_022086-T1
OG0001944	XP_048581994.1, XP_048584866.1, XP_048582338.1, XP_032218340.2	Xe_029021-T1
OG0001946	XP_032236785.2	Xe_000209-T1, Xe_000211-T1, Xe_000205-T1, Xe_025601-T1
OG0001947	XP_032227534.2	Xe_002102-T1
OG0001947	XP_048583503.1	Xe_002101-T1
OG0001948	XP_001624617.3	Xe_019454-T1, Xe_019452-T1, Xe_019509-T1, Xe_019510-T1
OG0001949	XP_048584194.1	Xe_001823-T1, Xe_001824-T1, Xe_001781-T1, Xe_001801-T2
OG0001952	XP_001633871.3	Xe_027856-T1, Xe_027849-T1, Xe_027850-T1, Xe_021626-T1
OG0001953	XP_032237838.2	Xe_016064-T1
OG0001954	XP_032242318.2, XP_048581960.1	Xe_022718-T1
OG0001956	XP_032228789.2	Xe_009317-T1, Xe_023041-T1, Xe_009316-T1, Xe_023040-T1
OG0001958	XP_032222766.2, XP_048588918.1	Xe_009534-T1, Xe_009477-T1
OG0001959	XP_048586981.1	Xe_008009-T1, Xe_023818-T1, Xe_008000-T1, Xe_008011-T1
OG0001960	XP_048579287.1, XP_048585096.1	Xe_000785-T1, Xe_000605-T1
OG0001962	XP_032231950.2	Xe_023839-T1, Xe_021656-T1
OG0001963	XP_032241392.2	Xe_022170-T1
OG0001964	XP_048585708.1	Xe_011751-T1
OG0001965	XP_001639634.1	Xe_020596-T1
OG0001965	XP_032239797.2	Xe_015933-T1
OG0001967	XP_032219300.2	Xe_022277-T1
OG0001970	XP_048590347.1, XP_048590345.1	Xe_002843-T1, Xe_002844-T1
OG0001971	XP_001622977.3	Xe_008272-T1
OG0001972	XP_032235525.1	Xe_029024-T1, Xe_016879-T1, Xe_016862-T1, Xe_016858-T1
OG0001974	XP_032239869.2, XP_032239868.1	Xe_000626-T1
OG0001978	XP_048575304.1	Xe_018575-T1, Xe_022549-T1
OG0001979	XP_032243287.1	Xe_022175-T1, Xe_022174-T1
OG0001980	XP_032226514.2	Xe_008487-T1, Xe_008484-T1, Xe_008488-T1, Xe_008485-T1
OG0001981	XP_048577918.1, XP_032241709.2	Xe_022133-T1
OG0001983	XP_032240808.1	Xe_028721-T1, Xe_023837-T1, Xe_008312-T1
OG0001984	XP_032233642.1, XP_032233643.1	Xe_000708-T1
OG0001986	XP_048585084.1, XP_048584712.1	Xe_013631-T1
OG0001987	XP_032221961.2	Xe_004275-T1, Xe_004106-T1, Xe_004311-T1, Xe_004105-T1
OG0001988	XP_032219957.2	Xe_014513-T1, Xe_014505-T1, Xe_014512-T1
OG0001991	XP_048576191.1, XP_048575991.1	Xe_013768-T1
OG0001992	XP_032231171.2	Xe_016058-T1, Xe_016059-T1, Xe_016119-T1, Xe_016057-T1
OG0001995	XP_032235022.2	Xe_012579-T1, Xe_019869-T1, Xe_012580-T1
OG0001997	XP_001625487.2	Xe_023886-T1, Xe_001911-T1, Xe_018430-T1, Xe_018167-T1, Xe_025858-T1
OG0002004	XP_032239190.1	Xe_007807-T1
OG0002004	XP_032236810.1	Xe_004417-T1
OG0002014	XP_032239157.1	Xe_022396-T1, Xe_022893-T1, Xe_025998-T1, Xe_012993-T1, Xe_018466-T1, Xe_016677-T1
OG0002016	XP_048588125.1, XP_048577087.1, XP_048590661.1, XP_048586388.1, XP_048586539.1, XP_048587028.1	Xe_001941-T1
OG0002018	XP_048582044.1	Xe_025852-T1, Xe_026144-T1, Xe_027063-T1, Xe_020435-T1, Xe_026488-T1, Xe_028897-T1
OG0002019	XP_048583882.1	Xe_029162-T1, Xe_029114-T1
OG0002110	XP_048581361.1	Xe_014777-T1, Xe_014776-T1
OG0002111	XP_001639029.2	Xe_009312-T1, Xe_026671-T1, Xe_023906-T1
OG0002114	XP_032222694.1	Xe_013801-T1
OG0002115	XP_048580914.1	Xe_022260-T1, Xe_022261-T1
OG0002117	XP_032234542.2	Xe_001086-T1
OG0002118	XP_001625098.1	Xe_011781-T2, Xe_011754-T1
OG0002120	XP_048589636.1	Xe_002536-T1
OG0002122	XP_001630209.2	Xe_000471-T1
OG0002124	XP_032220663.2, XP_048585233.1	Xe_013653-T1, Xe_013657-T1
OG0002130	XP_048583155.1	Xe_020973-T1
OG0002131	XP_032235319.2, XP_032234351.1, XP_001634093.2	Xe_008287-T1
OG0002134	XP_032241473.2, XP_032219572.1	Xe_021445-T1
OG0002135	XP_048585922.1	Xe_012002-T1
OG0002136	XP_032223606.1	Xe_008503-T1
OG0002137	XP_001634531.1, XP_001639289.1	Xe_008043-T1
OG0002139	XP_048577746.1	Xe_011311-T1
OG0002141	XP_048578633.1	Xe_008460-T1
OG0002142	XP_032239574.2	Xe_009628-T1
OG0002143	XP_032229897.1	Xe_009665-T1, Xe_022659-T1
OG0002144	XP_001628652.2	Xe_005846-T1, Xe_005938-T1
OG0002146	XP_032227804.2	Xe_000808-T1
OG0002147	XP_048577024.1	Xe_005948-T1, Xe_005807-T1, Xe_006271-T1
OG0002149	XP_001641146.2, XP_001633896.2	Xe_022190-T1
OG0002150	XP_001625430.2, XP_032228879.2, XP_001641497.3	Xe_021969-T1, Xe_021967-T1
OG0002151	XP_001634318.2	Xe_022029-T1
OG0002152	XP_048580335.1, XP_048579152.1	Xe_022063-T1
OG0002154	XP_048577161.1	Xe_005322-T1
OG0002155	XP_048585441.1, XP_032233016.1	Xe_013254-T1
OG0002156	XP_032229793.2	Xe_003026-T2, Xe_013957-T1, Xe_013831-T1
OG0002157	XP_001641679.3, XP_001641661.2	Xe_016038-T1
OG0002158	XP_001641772.2, XP_048589615.1	Xe_016015-T1
OG0002161	XP_048586724.1	Xe_006248-T1
OG0002162	XP_048583170.1	Xe_004972-T1
OG0002164	XP_001627411.3	Xe_023065-T1
OG0002165	XP_032235711.1	Xe_008199-T1
OG0002166	XP_048582957.1, XP_032241191.2, XP_048581926.1	Xe_004938-T1
OG0002172	XP_048590241.1	Xe_002734-T1
OG0002173	XP_048576462.1	Xe_006165-T1, Xe_006163-T1
OG0002175	XP_032232837.2	Xe_005235-T1
OG0002177	XP_032232673.2	Xe_005861-T1, Xe_005955-T1, Xe_005929-T1
OG0002178	XP_032226470.2, XP_032229568.2	Xe_006983-T1
OG0002180	XP_001626022.1	Xe_005957-T1, Xe_005859-T1, Xe_005931-T1
OG0002181	XP_048576194.1	Xe_016311-T1
OG0002182	XP_001629794.1, XP_032238754.2	Xe_007028-T1
OG0002183	XP_001628643.2	Xe_005930-T1, Xe_005860-T1, Xe_005956-T1
OG0002184	XP_048582412.1	Xe_004390-T1
OG0002185	XP_032237892.1, XP_001632965.1	Xe_021646-T1
OG0002186	XP_001622626.1	Xe_019239-T1, Xe_019255-T1, Xe_019251-T1
OG0002187	XP_048586010.1, XP_001639127.3	Xe_010125-T1
OG0002188	XP_048583137.1	Xe_005009-T1, Xe_004911-T1
OG0002190	XP_048585471.1	Xe_013024-T1, Xe_008390-T1
OG0002192	XP_048578585.1, XP_048580894.1	Xe_000943-T1
OG0002194	XP_001626337.3, XP_032222514.1	Xe_012574-T1
OG0002195	XP_032219077.2	Xe_004095-T1, Xe_023810-T1, Xe_002499-T1
OG0002196	XP_001642024.2	Xe_020494-T1
OG0002197	XP_032222216.1	Xe_028073-T1, Xe_022204-T1
OG0002198	XP_032236656.2	Xe_002566-T1
OG0002200	XP_032218278.2, XP_032231565.2	Xe_021415-T1
OG0002202	XP_032238679.1	Xe_014609-T1
OG0002203	XP_001634398.3	Xe_012864-T1, Xe_012912-T1, Xe_012911-T1
OG0002204	XP_001626676.2	Xe_002636-T1
OG0002205	XP_048585751.1, XP_048585762.1	Xe_000863-T1, Xe_000867-T1
OG0002206	XP_048585012.1	Xe_013687-T1
OG0002207	XP_001622661.2, XP_001623389.1	Xe_001058-T1
OG0002208	XP_001623816.1	Xe_013246-T1, Xe_013143-T1
OG0002209	XP_032231015.1	Xe_005428-T1
OG0002210	XP_048577555.1	Xe_011662-T1
OG0002211	XP_048587161.1	Xe_005134-T1
OG0002213	XP_048580059.1	Xe_009685-T1, Xe_009689-T1, Xe_009690-T1
OG0002214	XP_001626426.2	Xe_003591-T1
OG0002219	XP_032231298.1	Xe_023816-T1, Xe_020627-T1, Xe_020272-T1
OG0002220	XP_048580216.1	Xe_009587-T1, Xe_009586-T1
OG0002222	XP_032226357.1	Xe_013085-T1
OG0002223	XP_001637476.1, XP_001638202.2	Xe_000946-T1
OG0002224	XP_001639674.1	Xe_027795-T1, Xe_027740-T1, Xe_027816-T1
OG0002225	XP_048588150.1	Xe_014864-T1, Xe_014883-T1, Xe_014861-T1
OG0002226	XP_048587975.1, XP_048587961.1, XP_048587960.1	Xe_015611-T1
OG0002229	XP_048577477.1	Xe_009651-T1
OG0002232	XP_048577898.1	Xe_011652-T1
OG0002233	XP_001633129.2	Xe_011508-T1, Xe_011501-T1, Xe_011510-T1
OG0002234	XP_001636723.2, XP_001636722.1	Xe_010394-T1
OG0002236	XP_032221670.2	Xe_012390-T1, Xe_012394-T1
OG0002238	XP_048577174.1	Xe_020683-T1
OG0002241	XP_001634814.3	Xe_013237-T1
OG0002242	XP_001634924.2	Xe_002582-T1
OG0002243	XP_048577252.1	Xe_010295-T1, Xe_010812-T1, Xe_010296-T1
OG0002244	XP_032218496.2, XP_001634060.2	Xe_014265-T1
OG0002246	XP_001629179.2	Xe_013996-T1, Xe_013906-T1
OG0002247	XP_001637207.1	Xe_009205-T1
OG0002248	XP_048587852.1	Xe_001277-T1
OG0002251	XP_032231591.1	Xe_021924-T1
OG0002252	XP_032219258.1	Xe_022282-T1, Xe_007836-T1, Xe_022380-T1
OG0002253	XP_001639601.2	Xe_020830-T1, Xe_020821-T1, Xe_024184-T1
OG0002254	XP_032238297.1, XP_001633212.3	Xe_002729-T1
OG0002255	XP_048580687.1	Xe_012605-T1
OG0002257	XP_048576655.1	Xe_005463-T1, Xe_005482-T1, Xe_005481-T1
OG0002258	XP_048576515.1	Xe_005666-T1, Xe_005661-T1, Xe_005656-T1
OG0002259	XP_032219820.1	Xe_000753-T1
OG0002260	XP_001637229.2, XP_048586514.1	Xe_000754-T1
OG0002261	XP_032221221.2	Xe_012793-T1, Xe_003315-T1
OG0002262	XP_001625815.2	Xe_000565-T1
OG0002265	XP_032219750.2	Xe_023917-T1, Xe_003936-T2, Xe_023919-T1
OG0002268	XP_048584899.1, XP_048585131.1	Xe_013421-T1, Xe_013405-T1
OG0002270	XP_048584431.1	Xe_013806-T1, Xe_013836-T1
OG0002271	XP_032229780.1	Xe_008210-T1, Xe_026520-T1, Xe_008211-T1
OG0002272	XP_032222518.2	Xe_013519-T1, Xe_013523-T1, Xe_013524-T1
OG0002273	XP_032239632.2	Xe_015795-T1
OG0002275	XP_032217930.2	Xe_003958-T1
OG0002276	XP_032221363.2	Xe_003341-T1
OG0002277	XP_048581349.1	Xe_000758-T1
OG0002278	XP_001638694.3	Xe_020888-T1, Xe_020901-T1
OG0002281	XP_032218287.1	Xe_009183-T1
OG0002282	XP_001634249.2, XP_032239568.2	Xe_009184-T1
OG0002283	XP_001629670.2	Xe_000450-T1, Xe_000447-T1, Xe_000451-T1
OG0002284	XP_032241619.2	Xe_003351-T1
OG0002286	XP_048590590.1	Xe_007080-T1, Xe_007081-T1, Xe_002689-T1
OG0002287	XP_032238076.2	Xe_014741-T1, Xe_014739-T1, Xe_014742-T1
OG0002288	XP_048575803.1, XP_048575806.1, XP_048575808.1	Xe_017568-T1
OG0002289	XP_001633875.3	Xe_020361-T1, Xe_020360-T1, Xe_020374-T1
OG0002290	XP_048581489.1, XP_048581486.1	Xe_020947-T1
OG0002291	XP_048577713.1	Xe_017213-T1, Xe_017208-T1, Xe_017203-T1
OG0002293	XP_032238129.2	Xe_020964-T1, Xe_020965-T1, Xe_020963-T1
OG0002295	XP_048575707.1	Xe_017578-T1, Xe_017586-T1, Xe_017616-T1
OG0002297	XP_048580654.1	Xe_020890-T1, Xe_020902-T1, Xe_020889-T1
OG0002299	XP_032230937.2, XP_048588970.1	Xe_014647-T1
OG0002300	XP_032234028.1	Xe_000409-T1, Xe_012250-T1
OG0002301	XP_048583366.1	Xe_021540-T1
OG0002301	XP_001647540.1	Xe_021541-T1
OG0002303	XP_001625916.1, XP_032239855.1, XP_032217953.1, XP_032218025.1	Xe_010013-T1
OG0002304	XP_001632376.2, XP_048584947.1	Xe_015496-T1
OG0002305	XP_032231368.2	Xe_011732-T1, Xe_014752-T1
OG0002306	XP_001640769.2	Xe_024690-T2, Xe_024692-T1, Xe_024693-T1
OG0002307	XP_048584793.1	Xe_027251-T1, Xe_027560-T1, Xe_027257-T1
OG0002308	XP_001628848.2	Xe_012207-T1, Xe_023969-T1, Xe_012206-T2
OG0002309	XP_048581758.1	Xe_020747-T1, Xe_020748-T1, Xe_020746-T1
OG0002310	XP_032236107.2, XP_048588658.1	Xe_009813-T1
OG0002311	XP_048582859.1	Xe_011378-T1, Xe_011467-T1, Xe_011466-T1
OG0002312	XP_001623582.2	Xe_004826-T1
OG0002313	XP_032226545.2	Xe_004935-T1
OG0002315	XP_048582062.1	Xe_005121-T1
OG0002317	XP_032227659.2	Xe_019902-T1, Xe_019905-T1
OG0002318	XP_001634589.3	Xe_009382-T1, Xe_023850-T1, Xe_009414-T1
OG0002320	XP_001630150.1, XP_048590565.1	Xe_001114-T1
OG0002322	XP_001634818.3	Xe_010137-T1, Xe_002038-T1
OG0002323	XP_001624753.2	Xe_026994-T2, Xe_026994-T1, Xe_018401-T1
OG0002324	XP_048584339.1, XP_001639999.2	Xe_017178-T1
OG0002325	XP_001633645.2	Xe_005774-T1, Xe_005773-T1
OG0002326	XP_048582361.1, XP_001621695.3	Xe_012150-T1, Xe_012148-T1
OG0002327	XP_001640236.3	Xe_009191-T1
OG0002328	XP_001632669.1	Xe_000410-T1, Xe_001026-T1
OG0002329	XP_032233090.2	Xe_024011-T1, Xe_018231-T1, Xe_024020-T1
OG0002331	XP_032221658.2	Xe_010072-T1, Xe_011810-T1
OG0002332	XP_048585307.1	Xe_012803-T1
OG0002334	XP_001629043.2	Xe_018788-T1
OG0002335	XP_032224638.2, XP_048576002.1, XP_048575423.1	Xe_016534-T1
OG0002336	XP_048584697.1, XP_048589687.1	Xe_015732-T1
OG0002337	XP_048581106.1, XP_001642050.2	Xe_022011-T1, Xe_022009-T1
OG0002338	XP_032238101.2	Xe_012639-T1, Xe_013194-T1
OG0002339	XP_048581336.1, XP_032223339.1	Xe_020561-T1
OG0002340	XP_001640448.1	Xe_003391-T1
OG0002341	XP_032235049.2	Xe_020896-T1, Xe_020881-T1, Xe_020895-T1
OG0002344	XP_032225413.1, XP_032226782.1, XP_001623762.1	Xe_002215-T1
OG0002348	XP_001628668.2	Xe_013004-T1, Xe_028466-T1
OG0002349	XP_032233861.1	Xe_015663-T1
OG0002350	XP_001632927.3, XP_001625427.2	Xe_016090-T1
OG0002351	XP_001629567.2	Xe_012856-T1, Xe_012855-T1
OG0002352	XP_001632379.3	Xe_024293-T1, Xe_024095-T1
OG0002353	XP_048586059.1, XP_001637504.2	Xe_000479-T1
OG0002354	XP_032239187.2, XP_032238507.2	Xe_004733-T1
OG0002355	XP_001641981.1	Xe_004399-T1
OG0002356	XP_032227082.2	Xe_016846-T1
OG0002357	XP_032220136.1	Xe_008888-T1
OG0002359	XP_032221446.2	Xe_018327-T1, Xe_006093-T1, Xe_006091-T1
OG0002361	XP_048579011.1	Xe_026751-T1, Xe_025894-T1, Xe_001813-T1
OG0002364	XP_048576325.1	Xe_016616-T1, Xe_016615-T1, Xe_016610-T1
OG0002365	XP_048576331.1	Xe_016335-T1, Xe_016340-T1, Xe_016331-T1
OG0002366	XP_048575414.1, XP_048575419.1	Xe_016572-T1, Xe_018661-T1
OG0002367	XP_048575405.1, XP_001634076.1	Xe_018034-T1
OG0002368	XP_001625552.1	Xe_016670-T1, Xe_016713-T1, Xe_010381-T1
OG0002369	XP_032221024.2	Xe_015812-T1, Xe_015813-T1
OG0002370	XP_032230362.2	Xe_029015-T1, Xe_016296-T1, Xe_016288-T1
OG0002372	XP_032221467.1	Xe_018701-T1, Xe_018700-T1, Xe_018708-T1
OG0002376	XP_032233544.1	Xe_001844-T1, Xe_003972-T1
OG0002377	XP_048579806.1, XP_048581094.1	Xe_021833-T1
OG0002378	XP_048578551.1	Xe_008516-T1
OG0002379	XP_032221821.2	Xe_012176-T1
OG0002380	XP_032231023.2, XP_032219082.1, XP_048590036.1	Xe_002621-T1
OG0002381	XP_032223286.2	Xe_028740-T1, Xe_015429-T1, Xe_028741-T1
OG0002385	XP_001638714.2	Xe_010530-T1, Xe_011007-T1, Xe_010959-T1
OG0002386	XP_048577933.1	Xe_014554-T1
OG0002387	XP_048577776.1	Xe_011515-T1
OG0002389	XP_032242665.1, XP_001627300.1	Xe_015703-T1
OG0002390	XP_001637310.2	Xe_015403-T1, Xe_015402-T1
OG0002391	XP_048579114.1	Xe_009879-T1, Xe_009886-T1, Xe_009883-T1
OG0002392	XP_001623503.2	Xe_004009-T1, Xe_004014-T1
OG0002393	XP_032229084.1	Xe_015287-T1, Xe_015628-T1, Xe_015631-T1
OG0002395	XP_001624141.2, XP_048578778.1, XP_048578777.1	Xe_008128-T1
OG0002396	XP_032241221.2	Xe_008757-T1
OG0002397	XP_032223323.1	Xe_008497-T1
OG0002400	XP_048583063.1	Xe_003428-T1
OG0002401	XP_032236314.1	Xe_003098-T1, Xe_001734-T1, Xe_018570-T1
OG0002403	XP_032219322.2	Xe_021938-T1, Xe_021934-T1
OG0002404	XP_032220370.2	Xe_019295-T1, Xe_019286-T1
OG0002408	XP_048587230.1	Xe_007788-T1
OG0002409	XP_032240680.2	Xe_004239-T1, Xe_004240-T1, Xe_004244-T1
OG0002411	XP_001633532.3	Xe_012900-T1
OG0002412	XP_048580746.1	Xe_022523-T1, Xe_012591-T1
OG0002413	XP_048577330.1	Xe_021454-T1, Xe_021443-T1
OG0002416	XP_001641766.2	Xe_015041-T1, Xe_007452-T1, Xe_015044-T1
OG0002419	XP_048587988.1	Xe_015463-T1, Xe_015465-T1
OG0002420	XP_001635561.1, XP_048581667.1	Xe_014359-T1
OG0002421	XP_032229078.2	Xe_014292-T1
OG0002423	XP_001640852.3, XP_048590359.1	Xe_010537-T1
OG0002426	XP_032227704.2	Xe_010302-T1, Xe_010819-T1
OG0002427	XP_048577562.1	Xe_011496-T1, Xe_011497-T1, Xe_011495-T1
OG0002428	XP_001641868.2	Xe_015993-T1
OG0002429	XP_001632885.2	Xe_014744-T1
OG0002430	XP_032240483.2	Xe_021657-T1
OG0002431	XP_048575870.1	Xe_018704-T1, Xe_018695-T1
OG0002432	XP_001632006.3	Xe_014282-T1, Xe_014281-T1, Xe_014287-T1
OG0002433	XP_048578814.1	Xe_019342-T1, Xe_008142-T1
OG0002435	XP_048589825.1	Xe_005023-T1
OG0002436	XP_001637815.3, XP_001637617.2	Xe_015849-T1
OG0002439	XP_048587000.1	Xe_007422-T1, Xe_007423-T1, Xe_007417-T1
OG0002440	XP_032222421.1	Xe_009455-T1, Xe_009446-T1, Xe_009457-T1
OG0002443	XP_032223282.1	Xe_015896-T1
OG0002445	XP_001630325.1	Xe_020875-T1, Xe_020854-T1, Xe_025272-T1
OG0002447	XP_001625482.3	Xe_002176-T1
OG0002448	XP_001629586.3	Xe_012686-T1, Xe_008115-T1, Xe_008114-T1
OG0002450	XP_001634414.2	Xe_013507-T1
OG0002451	XP_001641486.3	Xe_023474-T1, Xe_004085-T1, Xe_009484-T1
OG0002452	XP_001641831.2	Xe_015376-T1, Xe_015377-T1, Xe_015520-T1
OG0002453	XP_032217707.1	Xe_027212-T1, Xe_003930-T1, Xe_003565-T1
OG0002454	XP_001640519.3	Xe_004796-T1, Xe_004793-T1
OG0002455	XP_048585811.1	Xe_012032-T1
OG0002456	XP_001640626.1, XP_032236876.2	Xe_014389-T1
OG0002457	XP_048584715.1	Xe_010738-T1, Xe_010740-T1
OG0002459	XP_048577180.1, XP_048577184.1	Xe_007182-T1
OG0002460	XP_001639622.1	Xe_004519-T1
OG0002461	XP_032234182.2	Xe_007910-T1
OG0002462	XP_032235546.2	Xe_007956-T1, Xe_007953-T1
OG0002464	XP_032222456.1	Xe_022005-T1, Xe_022006-T1
OG0002465	XP_048579504.1	Xe_001389-T1
OG0002466	XP_001641143.3, XP_032222186.2	Xe_029119-T1
OG0002472	XP_048577156.1	Xe_006692-T1, Xe_006691-T1, Xe_006690-T1
OG0002473	XP_048576709.1, XP_048576714.1	Xe_020762-T1
OG0002474	XP_048576590.1, XP_032219131.2	Xe_005725-T1
OG0002475	XP_001635788.3	Xe_008369-T1
OG0002476	XP_048578827.1, XP_032234978.2	Xe_008382-T1
OG0002477	XP_032221589.1	Xe_007474-T1, Xe_007475-T1, Xe_007473-T1
OG0002479	XP_001629679.3	Xe_009208-T1, Xe_009219-T1
OG0002481	XP_048580814.1, XP_032240063.2	Xe_024433-T1
OG0002483	XP_032222950.2	Xe_022163-T1
OG0002486	XP_032233489.2	Xe_005172-T1, Xe_025401-T1, Xe_010110-T1
OG0002487	XP_032241376.1	Xe_026650-T1, Xe_028629-T1, Xe_022068-T1
OG0002488	XP_032234506.2, XP_032234508.1, XP_048576016.1	Xe_000779-T1
OG0002491	XP_032226760.1, XP_032220732.2	Xe_012109-T1
OG0002493	XP_048585389.1	Xe_013787-T1
OG0002497	XP_032241496.2	Xe_024927-T1
OG0002499	XP_032239035.2	Xe_022232-T1
OG0002500	XP_048589103.1	Xe_025405-T1, Xe_015641-T1, Xe_025406-T1
OG0002502	XP_048581928.1, XP_048582955.1, XP_048582956.1	Xe_029010-T1
OG0002504	XP_048577986.1, XP_032226807.1	Xe_013227-T1
OG0002505	XP_048589827.1	Xe_021832-T1
OG0002507	XP_032236445.2, XP_001630711.3	Xe_014639-T1
OG0002509	XP_032231539.2	Xe_021847-T1
OG0002510	XP_032235344.1	Xe_011618-T1, Xe_011619-T1
OG0002513	XP_032227075.1	Xe_017189-T1
OG0002515	XP_048578224.1	Xe_009731-T1
OG0002516	XP_048580256.1	Xe_004223-T1, Xe_004342-T1, Xe_004341-T1
OG0002517	XP_001634629.2	Xe_003433-T1
OG0002518	XP_001639131.1	Xe_004945-T1
OG0002520	XP_048586058.1	Xe_012077-T1, Xe_012072-T1
OG0002521	XP_001632289.3	Xe_001223-T1, Xe_012209-T1, Xe_023970-T1
OG0002522	XP_048586707.1, XP_032230455.1	Xe_012942-T1
OG0002523	XP_048588211.1	Xe_014854-T1, Xe_022529-T1, Xe_022530-T1
OG0002524	XP_001626198.2, XP_048587667.1	Xe_008885-T1, Xe_008884-T1
OG0002525	XP_032225938.2	Xe_007406-T1
OG0002526	XP_001631988.1	Xe_004804-T1
OG0002531	XP_048589737.1, XP_032233341.2	Xe_015011-T1
OG0002533	XP_001629933.3	Xe_022526-T1, Xe_014244-T1, Xe_025189-T1
OG0002534	XP_048589655.1, XP_048589505.1	Xe_014849-T1
OG0002536	XP_048578451.1	Xe_008730-T1
OG0002538	XP_032219569.1	Xe_015090-T1, Xe_010893-T1, Xe_015088-T1
OG0002539	XP_032230859.1	Xe_028869-T1
OG0002540	XP_001622425.2	Xe_021362-T1, Xe_021364-T1
OG0002541	XP_048579816.1	Xe_021363-T1, Xe_021365-T1
OG0002542	XP_001630719.1	Xe_015852-T1
OG0002546	XP_048576874.1	Xe_005503-T1
OG0002548	XP_032221598.1	Xe_013521-T1, Xe_013526-T1
